Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,598.328125,
1.001,0,1,1,11.6266742543047,548.2734375,0.0813867197801332
2.001,0,2,2,8.88040711338371,548.2734375,0.0621628497936859
3,21,3,3,3.99740208838276,548.2734375,0.0279818146186793
4.001,18,4,4,2.00353523792732,548.2734375,0.0140247466654913
5,14,5,5,6.65256470783377,548.2734375,0.0465679529548364
6,14,6,6,7.77274276774045,548.2734375,0.0544091993741832
7,16,7,7,5.01180530740158,548.2734375,0.0350826371518111
8.001,15,8,8,6.66483161636163,548.2734375,0.0466538213145314
9,15,9,9,4.44268366082021,548.2734375,0.0310987856257414
10,14,10,10,4.4395264357151,548.661458333333,0.0310766850500057
11,15,11,11,7.00664931019538,548.2734375,0.0490465451713676
12,1,12,12,7.99797651194248,548.2734375,0.0559858355835973
13.001,8,13,13,3.00347652407662,549.4375,0.0210243356685363
14.001,13,14,14,7.77144491366702,548.2734375,0.0544001143956691
15.001,5,15,15,4.43988369724655,549.049479166667,0.0310791858807259
16.001,7,16,16,6.00656998625096,549.049479166667,0.0420459899037567
17,11,17,17,8.00559030370908,548.2734375,0.0560391321259636
18,15,18,18,3.00006600145203,549.049479166667,0.0210004620101642
19.001,12,19,19,7.98354909872716,548.2734375,0.0558848436910901
20,4,20,20,5.0160221780411,548.661458333333,0.0351121552462877
21.001,5,21,21,13.3183708835552,548.2734375,0.0932285961848861
22,2,22,22,8.87151255296848,548.2734375,0.0621005878707793
23.001,4,23,23,7.77505046285431,548.2734375,0.0544253532399801
24.001,8,24,24,4.00773292067043,548.2734375,0.028054130444693
25.001,5,25,25,6.66251000070512,548.2734375,0.0466375700049358
26.001,4,26,26,8.9955058452797,548.2734375,0.0629685409169579
27.001,7,27,27,3.32970173863706,548.2734375,0.0233079121704594
28.001,3,28,28,4.00364531906301,548.2734375,0.028025517233441
29.001,3,29,29,4.0030318963583,548.2734375,0.0280212232745081
30.001,1,30,30,5.5551099122937,548.2734375,0.0388857693860559
31,5,31,31,3.99723351468449,548.2734375,0.0279806346027914
32.001,2,32,32,5.00325561843091,548.2734375,0.0350227893290164
32.999,1,33,33,1.99798603008168,548.2734375,0.0139859022105717
34.001,2,34,34,6.0144340402532,548.2734375,0.0421010382817724
35,0,35,35,8.87237444259308,548.2734375,0.0621066210981515
36.001,2,36,36,5.00392457804656,548.2734375,0.0350274720463259
37.001,1,37,37,7.77352824900166,548.661458333333,0.0544146977430116
38,2,38,38,10.0017543077056,548.661458333333,0.070012280153939
39.001,0,39,39,9.00812262417021,548.661458333333,0.0630568583691915
40,3,40,40,8.87766259133866,548.2734375,0.0621436381393706
41.001,0,41,41,6.66531805064775,548.2734375,0.0466572263545343
42.001,1,42,42,5.54959344233401,548.2734375,0.0388471540963381
43.001,0,43,43,5.00207235857816,549.049479166667,0.0350145065100471
44,1,44,44,5.54907793191637,548.2734375,0.0388435455234146
45,3,45,45,9.01054143242179,549.4375,0.0630737900269525
46.001,2,46,46,3.32922913364025,548.2734375,0.0233046039354818
47.001,1,47,47,5.55468347025073,548.661458333333,0.0388827842917551
48,1,48,48,8.00095691444697,548.661458333333,0.0560066984011288
49,1,49,49,2.00281856656873,548.2734375,0.0140197299659811
,0,50,50,,,
,1,51,51,,,
,0,52,52,,,
,1,53,53,,,
,1,54,54,,,
,1,55,55,,,
,0,56,56,,,
,0,57,57,,,
,0,58,58,,,
,0,59,59,,,
,1,60,60,,,
,0,61,61,,,
,0,62,62,,,
,0,63,63,,,
,0,64,64,,,
,0,65,65,,,
,0,66,66,,,
,0,67,67,,,
,0,68,68,,,
,0,69,69,,,
,2,70,70,,,
,0,71,71,,,
,0,72,72,,,
,0,73,73,,,
,0,74,74,,,
,0,75,75,,,
,0,76,76,,,
,0,77,77,,,
,0,78,78,,,
,0,79,79,,,
,0,80,80,,,
,0,81,81,,,
,0,82,82,,,
,0,83,83,,,
,0,84,84,,,
,0,85,85,,,
,0,86,86,,,
,0,87,87,,,
,0,88,88,,,
,0,89,89,,,
,0,90,90,,,
,0,91,91,,,
,0,92,92,,,
,0,93,93,,,
,1,94,94,,,
,0,95,95,,,
,0,96,96,,,
,0,97,97,,,
,0,98,98,,,
,0,99,99,,,
,0,100,100,,,
,0,101,101,,,
,0,102,102,,,
,0,103,103,,,
,0,104,104,,,
,0,105,105,,,
,0,106,106,,,
,1,107,107,,,
,0,108,108,,,
,0,109,109,,,
,0,110,110,,,
,0,111,111,,,
,0,112,112,,,
,0,113,113,,,
,0,114,114,,,
,0,115,115,,,
,0,116,116,,,
,0,117,117,,,
,0,118,118,,,
,1,119,119,,,
,0,120,120,,,
,0,121,121,,,
,0,122,122,,,
,0,123,123,,,
,0,124,124,,,
,0,125,125,,,
,0,126,126,,,
,0,127,127,,,
,1,128,128,,,
,0,129,129,,,
,0,130,130,,,
,0,131,131,,,
,0,132,132,,,
,0,133,133,,,
,0,134,134,,,
,0,135,135,,,
,0,136,136,,,
,0,137,137,,,
,0,138,138,,,
,0,139,139,,,
,0,140,140,,,
,0,141,141,,,
,0,142,142,,,
,0,143,143,,,
,0,144,144,,,
,0,145,145,,,
,0,146,146,,,
,0,147,147,,,
,0,148,148,,,
,0,149,149,,,
,0,150,150,,,
,0,151,151,,,
,0,152,152,,,
,0,153,153,,,
,0,154,154,,,
,0,155,155,,,
,0,156,156,,,
,0,157,157,,,
,0,158,158,,,
,0,159,159,,,
,0,160,160,,,
,0,161,161,,,
,0,162,162,,,
,0,163,163,,,
,0,164,164,,,
,0,165,165,,,
,0,166,166,,,
,0,167,167,,,
,0,168,168,,,
,0,169,169,,,
,0,170,170,,,
,0,171,171,,,
,0,172,172,,,
,0,173,173,,,
,0,174,174,,,
,0,175,175,,,
,0,176,176,,,
,0,177,177,,,
,0,178,178,,,
,0,179,179,,,
,0,180,180,,,
,0,181,181,,,
,0,182,182,,,
,0,183,183,,,
,0,184,184,,,
,0,185,185,,,
,0,186,186,,,
,0,187,187,,,
,0,188,188,,,
,0,189,189,,,
,0,190,190,,,
,0,191,191,,,
,0,192,192,,,
,0,193,193,,,
,0,194,194,,,
,0,195,195,,,
,0,196,196,,,
,0,197,197,,,
,0,198,198,,,
,0,199,199,,,
,0,200,200,,,
,0,201,201,,,
,0,202,202,,,
,0,203,203,,,
,0,204,204,,,
,0,205,205,,,
,0,206,206,,,
,0,207,207,,,
,0,208,208,,,
,0,209,209,,,
,0,210,210,,,
,0,211,211,,,
,0,212,212,,,
,0,213,213,,,
,0,214,214,,,
,1,215,215,,,
,0,216,216,,,
,1,217,217,,,
,0,218,218,,,
,0,219,219,,,
,0,220,220,,,
,0,221,221,,,
,0,222,222,,,
,0,223,223,,,
,0,224,224,,,
,0,225,225,,,
,0,226,226,,,
,0,227,227,,,
,0,228,228,,,
,0,229,229,,,
,0,230,230,,,
,0,231,231,,,
,0,232,232,,,
,0,233,233,,,
,0,234,234,,,
,0,235,235,,,
,0,236,236,,,
,0,237,237,,,
,0,238,238,,,
,0,239,239,,,
,0,240,240,,,
,0,241,241,,,
,0,242,242,,,
,0,243,243,,,
,0,244,244,,,
,0,245,245,,,
,0,246,246,,,
,1,247,247,,,
,0,248,248,,,
,0,249,249,,,
,0,250,250,,,
,0,251,251,,,
,0,252,252,,,
,0,253,253,,,
,0,254,254,,,
,0,255,255,,,
,1,256,256,,,
,0,257,257,,,
,0,258,258,,,
,0,259,259,,,
,0,260,260,,,
,0,261,261,,,
,0,262,262,,,
,0,263,263,,,
,0,264,264,,,
,1,265,265,,,
,0,266,266,,,
,0,267,267,,,
,0,268,268,,,
,0,269,269,,,
,0,270,270,,,
,0,271,271,,,
,0,272,272,,,
,0,273,273,,,
,0,274,274,,,
,0,275,275,,,
,0,276,276,,,
,0,277,277,,,
,0,278,278,,,
,0,279,279,,,
,0,280,280,,,
,0,281,281,,,
,0,282,282,,,
,0,283,283,,,
,0,284,284,,,
,0,285,285,,,
,0,286,286,,,
,0,287,287,,,
,0,288,288,,,
,0,289,289,,,
,0,290,290,,,
,0,291,291,,,
,0,292,292,,,
,0,293,293,,,
,0,294,294,,,
,0,295,295,,,
,0,296,296,,,
,0,297,297,,,
,0,298,298,,,
,0,299,299,,,
,1,300,300,,,
,0,301,301,,,
,0,302,302,,,
,0,303,303,,,
,0,304,304,,,
,0,305,305,,,
,0,306,306,,,
,0,307,307,,,
,0,308,308,,,
,0,309,309,,,
,0,310,310,,,
,0,311,311,,,
,0,312,312,,,
,0,313,313,,,
,0,314,314,,,
,0,315,315,,,
,0,316,316,,,
,0,317,317,,,
,0,318,318,,,
,0,319,319,,,
,0,320,320,,,
,0,321,321,,,
,0,322,322,,,
,0,323,323,,,
,0,324,324,,,
,0,325,325,,,
,0,326,326,,,
,0,327,327,,,
,0,328,328,,,
,0,329,329,,,
,0,330,330,,,
,0,331,331,,,
,0,332,332,,,
,0,333,333,,,
,0,334,334,,,
,0,335,335,,,
,0,336,336,,,
,0,337,337,,,
