Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,649.546875,
1.001,0,1,1,67.8189961856053,701.541666666667,0.474732973299237
2.001,1,2,2,92.0614233816803,701.153645833333,0.644429963671762
3,86,3,3,103.241723510672,703.481770833333,0.722692064574701
4,76,4,4,94.3343248425782,700.765625,0.660340273898047
4.999,42,5,5,89.2828570193229,700.765625,0.62497999913526
6,38,6,6,76.6265569211494,701.153645833333,0.536385898448046
7.001,25,7,7,74.3488895993338,700.765625,0.520442227195337
8,31,8,8,96.5609002938781,702.317708333333,0.675926302057147
9,30,9,9,93.1105874447081,700.765625,0.651774112112957
10,44,10,10,92.1696957367296,700.765625,0.645187870157107
11,44,11,11,85.0758706614559,702.317708333333,0.595531094630191
12,61,12,12,86.5735039571306,700.765625,0.606014527699914
13,60,13,13,71.1015045078354,700.765625,0.497710531554848
14,50,14,14,89.1490840131953,700.765625,0.624043588092367
15.001,50,15,15,96.4183999998227,701.9296875,0.674928799998759
16,48,16,16,90.1249853296552,700.765625,0.630874897307586
17,34,17,17,88.8272131938613,700.765625,0.621790492357029
17.999,53,18,18,81.1234617965081,700.765625,0.567864232575557
19.001,53,19,19,98.6781343224504,700.765625,0.690746940257153
20,32,20,20,99.2006829816719,702.317708333333,0.694404780871703
21.001,44,21,21,127.544937408708,700.765625,0.892814561860958
22.001,54,22,22,73.0060595029388,700.765625,0.511042416520571
23,32,23,23,85.5029617337602,700.765625,0.598520732136322
24.001,60,24,24,112.123930580471,700.765625,0.784867514063294
25.001,50,25,25,94.1363376578298,700.765625,0.658954363604809
26,44,26,26,96.485263650419,700.765625,0.675396845552933
26.999,50,27,27,94.3689073768064,700.765625,0.660582351637645
28.001,50,28,28,86.9874129213503,700.765625,0.608911890449452
29,46,29,29,80.1632765617009,700.765625,0.561142935931906
30.001,53,30,30,98.7334385750435,702.317708333333,0.691134070025305
31,42,31,31,75.4974644509641,701.153645833333,0.528482251156749
32,54,32,32,96.9654318235549,700.765625,0.678758022764884
33.001,52,33,33,85.3852593993091,700.765625,0.597696815795164
34,47,34,34,98.8635468663755,700.765625,0.692044828064628
35.001,47,35,35,78.986840792324,700.765625,0.552907885546268
36.001,48,36,36,83.0073710545497,700.765625,0.581051597381848
37,54,37,37,84.9804035189485,700.765625,0.59486282463264
38.001,47,38,38,80.0389389437962,700.765625,0.560272572606573
39,36,39,39,73.9227138027193,701.153645833333,0.517458996619035
40,41,40,40,59.0778291320986,700.765625,0.41354480392469
41.001,44,41,41,91.0300235889875,702.317708333333,0.637210165122912
42,33,42,42,95.0516130258731,700.765625,0.665361291181111
43,49,43,43,84.0071322055243,701.541666666667,0.58804992543867
44,53,44,44,79.992248751096,700.765625,0.559945741257672
45,39,45,45,98.9517313454497,700.765625,0.692662119418148
46.001,40,46,46,88.0891638516506,700.765625,0.616624146961554
47.001,37,47,47,99.9931560239877,705.033854166667,0.699952092167914
48.001,34,48,48,92.0480214527919,700.765625,0.644336150169543
49,43,49,49,89.967674614511,700.765625,0.629773722301577
,33,50,50,,,
,48,51,51,,,
,45,52,52,,,
,43,53,53,,,
,41,54,54,,,
,52,55,55,,,
,37,56,56,,,
,35,57,57,,,
,39,58,58,,,
,35,59,59,,,
,28,60,60,,,
,36,61,61,,,
,31,62,62,,,
,28,63,63,,,
,23,64,64,,,
,35,65,65,,,
,24,66,66,,,
,25,67,67,,,
,19,68,68,,,
,27,69,69,,,
,18,70,70,,,
,16,71,71,,,
,14,72,72,,,
,17,73,73,,,
,18,74,74,,,
,17,75,75,,,
,12,76,76,,,
,17,77,77,,,
,15,78,78,,,
,25,79,79,,,
,18,80,80,,,
,28,81,81,,,
,30,82,82,,,
,59,83,83,,,
,77,84,84,,,
,98,85,85,,,
,138,86,86,,,
,134,87,87,,,
,150,88,88,,,
,143,89,89,,,
,147,90,90,,,
,95,91,91,,,
,88,92,92,,,
,48,93,93,,,
,30,94,94,,,
,17,95,95,,,
,6,96,96,,,
,4,97,97,,,
,4,98,98,,,
,1,99,99,,,
,1,100,100,,,
,1,101,101,,,
,2,102,102,,,
,1,103,103,,,
,3,104,104,,,
,1,105,105,,,
,1,106,106,,,
,0,107,107,,,
,0,108,108,,,
,0,109,109,,,
,2,110,110,,,
,1,111,111,,,
,1,112,112,,,
,2,113,113,,,
,2,114,114,,,
,0,115,115,,,
,1,116,116,,,
,0,117,117,,,
