Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,648.3828125,
1.001,0,1,1,11.646821365395,698.4375,0.0815277495577649
2.001,0,2,2,16.0314135548607,698.4375,0.112219894884025
3,2,3,3,13.3247063262486,698.4375,0.0932729442837398
4,4,4,4,11.1003413132947,698.4375,0.0777023891930629
5,4,5,5,15.0056136000478,698.4375,0.105039295200334
6.001,6,6,6,11.9961036655294,698.4375,0.083972725658706
7.001,5,7,7,13.3241160059719,698.4375,0.0932688120418031
8,8,8,8,14.0105821927302,698.4375,0.0980740753491112
9.001,5,9,9,17.0039857342561,698.4375,0.119027900139793
10.001,13,10,10,7.77744853245657,698.4375,0.054442139727196
11.001,18,11,11,6.66204394839359,698.4375,0.0466343076387551
11.999,16,12,12,8.87939681369505,698.4375,0.0621557776958653
13,19,13,13,10.0077389845568,698.4375,0.0700541728918973
14,8,14,14,15.993343570406,698.4375,0.111953404992842
15.001,16,15,15,18.0034638664479,698.4375,0.126024247065135
16.001,18,16,16,15.5524899869737,698.4375,0.108867429908816
17,11,17,17,12.2159459406634,698.4375,0.0855116215846436
18,11,18,18,9.99085503735581,698.4375,0.0699359852614906
19,12,19,19,8.00430631679844,698.4375,0.0560301442175891
20.001,11,20,20,18.8750932929244,698.4375,0.13212565305047
21,16,21,21,7.99367700149182,698.4375,0.0559557390104427
22.001,18,22,22,18.8661342347646,698.4375,0.132062939643352
23,11,23,23,7.00860306025647,698.4375,0.0490602214217953
24.001,11,24,24,14.4381959141016,698.4375,0.101067371398711
25,7,25,25,15.5491976614007,698.4375,0.108844383629805
26,8,26,26,8.00914003060293,698.4375,0.0560639802142205
27.001,15,27,27,10.9831211394329,698.4375,0.0768818479760304
28.001,8,28,28,12.0059717703586,698.4375,0.08404180239251
29.001,12,29,29,9.98686726954056,698.4375,0.0699080708867839
30,11,30,30,22.0375321209552,698.4375,0.154262724846686
31,6,31,31,11.0043324056681,698.4375,0.0770303268396768
32,6,32,32,9.98062062892482,698.4375,0.0698643444024737
33,8,33,33,11.0209596610834,698.4375,0.0771467176275841
34.001,11,34,34,7.99702430725527,698.4375,0.0559791701507869
35.001,3,35,35,11.0224372733136,698.4375,0.0771570609131949
36.001,10,36,36,11.1032845292163,698.4375,0.0777229917045141
37.001,2,37,37,6.65564196550869,698.4375,0.0465894937585608
38.001,6,38,38,9.00233880762222,698.4375,0.0630163716533555
39,6,39,39,11.989178567425,700.377604166667,0.0839242499719753
40.001,9,40,40,9.99194760045044,698.4375,0.0699436332031531
41.001,2,41,41,8.99873117890377,698.4375,0.0629911182523264
42.001,3,42,42,9.01643877116759,698.4375,0.0631150713981731
43,6,43,43,15.5555382716241,698.4375,0.108888767901369
44.001,3,44,44,6.65608644747582,698.4375,0.0465926051323308
45.001,4,45,45,11.1025941877475,698.4375,0.0777181593142327
46,4,46,46,13.0128931745574,698.4375,0.0910902522219015
47.001,7,47,47,12.2080933888069,698.4375,0.0854566537216484
48.001,4,48,48,15.0169195632719,698.4375,0.105118436942904
49,3,49,49,16.6446033202655,698.4375,0.116512223241858
,2,50,50,,,
,3,51,51,,,
,2,52,52,,,
,5,53,53,,,
,2,54,54,,,
,1,55,55,,,
,6,56,56,,,
,1,57,57,,,
,3,58,58,,,
,0,59,59,,,
,1,60,60,,,
,4,61,61,,,
,2,62,62,,,
,2,63,63,,,
,2,64,64,,,
,1,65,65,,,
,6,66,66,,,
,4,67,67,,,
,2,68,68,,,
,3,69,69,,,
,2,70,70,,,
,1,71,71,,,
,1,72,72,,,
,0,73,73,,,
,1,74,74,,,
,3,75,75,,,
,5,76,76,,,
,1,77,77,,,
,2,78,78,,,
,0,79,79,,,
,2,80,80,,,
,1,81,81,,,
,1,82,82,,,
,2,83,83,,,
,1,84,84,,,
,2,85,85,,,
,1,86,86,,,
,2,87,87,,,
,3,88,88,,,
,1,89,89,,,
,0,90,90,,,
,0,91,91,,,
,1,92,92,,,
,1,93,93,,,
,2,94,94,,,
,2,95,95,,,
,2,96,96,,,
,1,97,97,,,
,3,98,98,,,
,1,99,99,,,
,2,100,100,,,
,0,101,101,,,
,3,102,102,,,
,0,103,103,,,
,1,104,104,,,
,0,105,105,,,
,1,106,106,,,
,0,107,107,,,
,0,108,108,,,
,0,109,109,,,
,0,110,110,,,
,2,111,111,,,
,2,112,112,,,
,1,113,113,,,
,1,114,114,,,
,1,115,115,,,
,0,116,116,,,
,1,117,117,,,
,1,118,118,,,
,4,119,119,,,
,4,120,120,,,
,0,121,121,,,
,0,122,122,,,
,0,123,123,,,
,2,124,124,,,
,0,125,125,,,
,0,126,126,,,
,0,127,127,,,
,2,128,128,,,
,0,129,129,,,
,0,130,130,,,
,0,131,131,,,
,1,132,132,,,
,1,133,133,,,
,0,134,134,,,
,3,135,135,,,
,0,136,136,,,
,0,137,137,,,
,1,138,138,,,
,2,139,139,,,
