Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,697.2734375,
1.001,0,1,1,12.7145204485513,698.4375,0.0890016431398593
2.001,3,2,2,9.99153616971064,698.4375,0.0699407531879745
3.001,10,3,3,11.0112909777686,698.4375,0.0770790368443802
4,8,4,4,15.0222163557685,698.4375,0.10515551449038
5.001,4,5,5,14.4267620431003,698.4375,0.100987334301702
6,11,6,6,14.4444332098853,698.4375,0.101111032469197
7.001,16,7,7,17.7645786958068,698.4375,0.124352050870648
8,14,8,8,14.4403193265568,698.4375,0.101082235285898
9,23,9,9,16.0339085097164,698.4375,0.112237359568014
10,31,10,10,11.0981029013881,698.4375,0.077686720309717
11.001,38,11,11,14.4315057977464,698.4375,0.101020540584225
12.001,77,12,12,13.0051461363261,698.4375,0.091036022954283
13.001,104,13,13,12.2031175637252,698.825520833333,0.0854218229460766
14,97,14,14,21.0168870687598,698.4375,0.147118209481318
15,57,15,15,17.018626887128,698.4375,0.119130388209896
16,45,16,16,5.999988000024,697.661458333333,0.041999916000168
17,23,17,17,9.99302264951894,698.4375,0.0699511585466325
18,30,18,18,9.99587969838833,698.4375,0.0699711578887183
19,27,19,19,9.00937605766321,698.4375,0.0630656324036425
20,23,20,20,16.9884529485309,698.4375,0.118919170639716
20.999,36,21,21,12.0095391769683,698.4375,0.0840667742387779
21.999,29,22,22,7.77656636155123,698.4375,0.0544359645308586
23,19,23,23,13.3102459722364,698.4375,0.0931717218056547
24.001,25,24,24,15.0041756620868,698.4375,0.105029229634607
25,21,25,25,8.00792464222595,698.4375,0.0560554724955816
26.001,22,26,26,9.99698979529497,698.4375,0.0699789285670648
27,20,27,27,12.9974434028827,698.4375,0.0909821038201786
28.001,21,28,28,20.0362214811937,698.4375,0.140253550368356
28.999,23,29,29,18.8706682103613,698.4375,0.132094677472529
30,14,30,30,9.98829926231971,698.4375,0.0699180948362379
31,19,31,31,15.5365888331656,698.049479166667,0.108756121832159
32,24,32,32,19.0085861783768,698.4375,0.133060103248637
33.001,20,33,33,18.046523938714,698.4375,0.126325667570998
34,21,34,34,15.5442479787204,698.4375,0.108809735851043
35.001,20,35,35,11.0926443233448,698.4375,0.0776485102634137
36.001,17,36,36,10.0216176313927,698.4375,0.0701513234197487
37,9,37,37,12.2100894633255,698.4375,0.0854706262432785
38,20,38,38,6.0057871765233,698.4375,0.0420405102356631
39.001,10,39,39,22.221348182527,698.4375,0.155549437277689
40,10,40,40,14.4259151578639,698.049479166667,0.100981406105047
41.001,15,41,41,11.1022564448044,698.4375,0.0777157951136305
42,10,42,42,13.001467865722,698.4375,0.0910102750600543
43,15,43,43,14.4423952290325,698.4375,0.101096766603228
44.001,11,44,44,19.0118824265166,698.4375,0.133083176985616
45.001,11,45,45,15.0073220724391,698.4375,0.105051254507074
46,11,46,46,15.0239722501223,698.4375,0.105167805750856
47,10,47,47,14.4436356008508,698.4375,0.101105449205956
48.001,10,48,48,16.6358939597065,698.4375,0.116451257717946
49.001,8,49,49,9.98181977890935,698.4375,0.0698727384523654
50,6,50,50,13.3298394343083,698.4375,0.0933088760401579
51.001,8,51,51,11.003853549513,698.4375,0.0770269748465913
52.001,7,52,52,11.0143208199301,698.4375,0.0771002457395105
53.001,9,53,53,16.0035303788016,698.4375,0.112024712651611
54.001,4,54,54,12.2065368224054,698.4375,0.085445757756838
55,7,55,55,14.0089405058308,698.4375,0.0980625835408157
56,7,56,56,12.0071166180195,698.4375,0.0840498163261365
57,11,57,57,13.332499311432,698.049479166667,0.0933274951800237
58,7,58,58,8.996868190183,698.4375,0.062978077331281
59.001,6,59,59,8.99746271551423,698.4375,0.0629822390085996
60,8,60,60,13.9985735453557,698.4375,0.0979900148174901
61.001,4,61,61,9.98639963329941,698.4375,0.0699047974330958
62,8,62,62,16.0219901815241,698.4375,0.112153931270669
63,3,63,63,13.325154649524,698.4375,0.093276082546668
64.001,5,64,64,8.00281779214462,698.4375,0.0560197245450123
65.001,3,65,65,5.55179144095859,698.4375,0.0388625400867101
66.001,9,66,66,12.0198158684407,698.4375,0.084138711079085
67,5,67,67,16.6477880749896,698.4375,0.116534516524927
68.001,6,68,68,21.0100091683678,698.4375,0.147070064178575
69,4,69,69,15.549266741007,698.4375,0.108844867187049
69.999,4,70,70,13.3141742366069,698.4375,0.093199219656248
71.001,7,71,71,15.0401481715291,698.4375,0.105281037200704
72,7,72,72,13.3174914374079,698.4375,0.0932224400618553
73.001,5,73,73,14.4309258737731,698.4375,0.101016481116412
74.001,6,74,74,9.99365181028895,698.4375,0.0699555626720227
75.001,8,75,75,4.00472236861707,698.049479166667,0.0280330565803195
76.001,13,76,76,6.65828684277022,698.4375,0.0466080078993915
77.001,5,77,77,14.0211396722839,698.4375,0.0981479777059873
78.001,3,78,78,12.2046421132937,698.4375,0.0854324947930559
79.001,8,79,79,12.0168235529742,698.4375,0.0841177648708192
80.001,4,80,80,14.9866588762683,698.4375,0.104906612133878
81.001,4,81,81,9.00562581444628,698.4375,0.063039380701124
82.001,1,82,82,11.1071853381599,698.4375,0.0777502973671195
83.001,2,83,83,11.9932250271821,698.4375,0.083952575190275
84.001,6,84,84,23.3266463613764,698.4375,0.163286524529635
