Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,697.2734375,
1.001,1,1,1,1215.70037355542,708.526041666667,8.50990261488792
2,171,2,2,1266.53615017189,712.40625,8.86575305120325
3,3000,3,3,1363.25356671761,713.182291666667,9.54277496702325
4.001,2896,4,4,1255.26015567028,712.018229166667,8.78682108969194
5,1393,5,5,1293.65821329893,715.8984375,9.05560749309248
6,927,6,6,1274.05033820649,708.138020833333,8.91835236744545
7.001,968,7,7,1377.03607115532,714.734375,9.63925249808723
8,932,8,8,1309.29279570648,719.002604166667,9.16504956994537
9.001,977,9,9,1269.85778893643,712.794270833333,8.88900452255499
10.001,1079,10,10,1295.07795958357,709.690104166667,9.065545717085
11.001,1379,11,11,1231.78822217194,720.166666666667,8.62251755520361
12.001,1543,12,12,1260.48560833799,719.778645833333,8.82339925836591
12.999,1420,13,13,1374.59486647665,722.8828125,9.62216406533656
14.001,1303,14,14,1332.58767649569,712.40625,9.3281137354698
15,1203,15,15,1153.7767442,715.122395833333,8.07643720939998
16.001,1263,16,16,1310.16219808012,719.778645833333,9.17113538656086
17.001,1226,17,17,1262.72872074474,717.450520833333,8.83910104521319
18,1231,18,18,1312.33464666722,712.40625,9.18634252667054
19.001,1297,19,19,1278.19390201494,715.8984375,8.94735731410455
20.001,1274,20,20,1312.43475300578,712.794270833333,9.18704327104043
21,1319,21,21,1234.36434290822,717.0625,8.64055040035752
22.001,1394,22,22,1207.23336952814,712.794270833333,8.450633586697
23.001,1357,23,23,1276.90525363018,715.122395833333,8.93833677541126
24.001,1453,24,24,1241.95009182024,711.2421875,8.6936506427417
25,1506,25,25,1244.42810369361,717.0625,8.71099672585527
26,1548,26,26,1372.93927672838,714.734375,9.61057493709865
27.001,1596,27,27,1257.01755760989,716.286458333333,8.79912290326925
28.001,1659,28,28,1258.06655172059,706.5859375,8.8064658620441
29.001,1738,29,29,1276.30310547069,713.958333333333,8.9341217382948
30.001,1734,30,30,1213.01662923696,726.375,8.49111640465874
31,1776,31,31,1393.72466308511,714.734375,9.75607264159576
32.001,1661,32,32,1301.93290379916,715.510416666667,9.11353032659409
33.001,1678,33,33,1371.77434312056,706.5859375,9.6024204018439
34,1547,34,34,1361.78841695651,717.0625,9.53251891869557
35,1596,35,35,1305.06935504292,711.2421875,9.13548548530043
36,1597,36,36,1319.68317984125,719.390625,9.23778225888877
37.001,1513,37,37,1242.24553182583,720.166666666667,8.69571872278082
38.001,1575,38,38,1292.55605761599,720.5546875,9.0478924033119
39.001,1586,39,39,1354.70645565374,717.0625,9.48294518957618
40.001,1560,40,40,1330.41296018284,713.182291666667,9.31289072127989
41.001,1518,41,41,1278.36139276573,714.734375,8.94852974936014
42,1609,42,42,1315.20356345268,718.614583333333,9.20642494416876
43.001,1553,43,43,1296.47149514699,711.2421875,9.07530046602894
44.001,1600,44,44,1237.18879501012,719.002604166667,8.66032156507083
45,1529,45,45,1322.59756559949,721.71875,9.25818295919641
45.999,1545,46,46,1357.74129577367,716.286458333333,9.5041890704157
47.001,1555,47,47,1243.24342136995,714.346354166667,8.70270394958962
48,1568,48,48,1364.15469514243,711.2421875,9.549082865997
49.001,1624,49,49,1163.99883600116,708.526041666667,8.14799185200815
50,1638,50,50,1222.94949218597,714.734375,8.56064644530181
51.001,1615,51,51,1275.41993590237,722.106770833333,8.9279395513166
52,1634,52,52,1408.1739113645,716.674479166667,9.85721737955147
53.001,1571,53,53,1258.4950921695,713.5703125,8.80946564518648
54,1559,54,54,1298.57867287259,720.166666666667,9.09005071010814
55.001,1644,55,55,1262.53030821604,715.122395833333,8.8377121575123
56.001,1603,56,56,1289.25300680786,713.958333333333,9.02477104765499
57,1646,57,57,1325.78747626755,720.942708333333,9.28051233387288
58.001,1557,58,58,1332.18077993676,712.018229166667,9.32526545955729
59,1385,59,59,1321.03146136503,720.942708333333,9.24722022955524
60,1247,60,60,1265.87380770511,708.526041666667,8.86111665393575
61.001,1203,61,61,1327.02512691054,715.510416666667,9.28917588837377
62.001,1064,62,62,1282.9129655183,719.778645833333,8.98039075862809
63.001,948,63,63,1284.29094297039,707.75,8.9900366007927
64.001,939,64,64,1241.0711133748,711.630208333333,8.68749779362357
65.001,804,65,65,1254.09679948501,713.5703125,8.77867759639508
66.001,698,66,66,1321.84039838667,713.958333333333,9.25288278870672
67.001,694,67,67,1251.36493628855,715.122395833333,8.75955455401986
68.001,703,68,68,838.310594075105,699.989583333333,5.86817415852573
69.001,724,69,69,796.74359368041,715.510416666667,5.57720515576287
70,641,70,70,1250.00679351518,714.346354166667,8.75004755460627
71,637,71,71,1209.50732734866,708.138020833333,8.46655129144062
72.001,618,72,72,1353.01840105025,720.5546875,9.47112880735178
73,647,73,73,1265.51062704052,712.40625,8.85857438928366
74,669,74,74,1197.44635123767,708.9140625,8.38212445866372
75.001,620,75,75,1328.51439544208,715.122395833333,9.29960076809459
76,608,76,76,1291.2632052151,712.018229166667,9.03884243650573
77.001,679,77,77,1268.96492092587,713.182291666667,8.8827544464811
78.001,798,78,78,1287.1740149424,714.346354166667,9.01021810459682
79.001,1142,79,79,1311.8383815114,717.450520833333,9.18286867057978
80,1638,80,80,1212.60880658649,709.302083333333,8.48826164610543
81.001,2121,81,81,1350.88761426026,714.734375,9.45621329982184
82.001,3232,82,82,1338.96245287263,705.809895833333,9.37273717010841
82.999,4387,83,83,1333.91132455173,711.2421875,9.33737927186212
84.001,5260,84,84,1376.58298289326,717.450520833333,9.63608088025279
85,6148,85,85,1311.5833354064,719.002604166667,9.18108334784478
