Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,698.4375,
1.001,1,1,1,1677.91238481423,723.658854166667,11.7453866936996
2,50,2,2,1747.72548629018,722.8828125,12.2340784040313
3.001,619,3,3,1723.88204917071,719.778645833333,12.067174344195
4,762,4,4,1755.43390911499,720.166666666667,12.2880373638049
5.001,795,5,5,1764.33343482832,714.346354166667,12.3503340437983
6,881,6,6,1740.81835871043,714.346354166667,12.185728510973
7,900,7,7,1796.84102465692,716.674479166667,12.5778871725985
8,910,8,8,1724.05199065837,721.71875,12.0683639346086
9,1041,9,9,1759.44784963547,721.71875,12.3161349474483
10,1129,10,10,1751.09982624556,719.390625,12.2576987837189
11,1475,11,11,1759.74894248421,717.0625,12.3182425973894
12,1667,12,12,1743.61022381958,715.8984375,12.2052715667371
13,1504,13,13,1777.51657714362,717.0625,12.4426160400053
14,1253,14,14,1787.76824301382,722.8828125,12.5143777010967
15,1164,15,15,1751.35445074945,722.494791666667,12.2594811552462
16.001,1148,16,16,1753.22916867661,728.703125,12.2726041807363
17,1214,17,17,1731.13968865518,716.674479166667,12.1179778205862
18.001,1216,18,18,1773.75110184919,729.091145833333,12.4162577129443
19.001,1177,19,19,1753.11675757605,710.466145833333,12.2718173030324
20,1173,20,20,1744.06719471645,717.0625,12.2084703630151
20.999,1222,21,21,1717.66754046077,718.2265625,12.0236727832254
22,1300,22,22,1780.49725270376,719.778645833333,12.4634807689263
23,1257,23,23,1781.80626733597,716.674479166667,12.4726438713518
24,1262,24,24,1747.37607543333,714.734375,12.2316325280333
25,1357,25,25,1758.238050114,723.658854166667,12.307666350798
26,1261,26,26,1661.94796921472,720.166666666667,11.633635784503
27.001,1328,27,27,1785.65372782976,719.390625,12.4995760948083
28,1421,28,28,1739.1970706857,723.270833333333,12.1743794947999
29,1407,29,29,1709.305894164,714.346354166667,11.965141259148
30,1530,30,30,1762.90084233043,721.330729166667,12.340305896313
31,1603,31,31,1762.29788542021,714.346354166667,12.3360851979415
32,1663,32,32,1701.23032977449,715.510416666667,11.9086123084214
33,1670,33,33,1699.19460839225,716.286458333333,11.8943622587457
34,1564,34,34,1712.85450757535,713.182291666667,11.9899815530275
35.001,1516,35,35,1688.10886362452,716.286458333333,11.8167620453717
36,1554,36,36,1752.38043358098,714.734375,12.2666630350668
37.001,1522,37,37,1692.98311529505,719.002604166667,11.8508818070654
38,1447,38,38,1775.58043724494,718.614583333333,12.4290630607145
39,1520,39,39,1719.94152198825,715.8984375,12.0395906539178
40,1520,40,40,1733.5456057338,718.2265625,12.1348192401366
41,1491,41,41,1761.95118474198,720.5546875,12.3336582931939
42.001,1412,42,42,1725.49065137372,714.734375,12.0784345596161
43.001,1532,43,43,1730.84466118866,719.002604166667,12.1159126283206
44.001,1411,44,44,1731.21929775141,717.450520833333,12.1185350842598
45,1408,45,45,1793.20892349616,724.434895833333,12.5524624644731
45.999,1443,46,46,1712.14003950033,725.2109375,11.9849802765023
47,1384,47,47,1752.73597383541,714.734375,12.2691518168479
48,1454,48,48,1802.36986650803,718.2265625,12.6165890655562
49,1423,49,49,1778.40377985783,717.450520833333,12.4488264590048
50,1422,50,50,1784.78816245254,715.510416666667,12.4935171371678
51,1322,51,51,1761.99844841927,728.703125,12.3339891389349
52,1382,52,52,1669.01632987299,717.450520833333,11.6831143091109
53,1355,53,53,1781.64567882707,716.286458333333,12.4715197517895
54,1402,54,54,1733.73688715705,723.658854166667,12.1361582100994
55.001,1295,55,55,1696.75192410448,724.822916666667,11.8772634687313
56,1320,56,56,1731.21167505137,717.0625,12.1184817253596
57,1336,57,57,1811.83037584108,726.375,12.6828126308875
58,1330,58,58,1693.38400974679,722.106770833333,11.8536880682275
59,1371,59,59,1711.77509176155,720.166666666667,11.9824256423308
60,1340,60,60,1774.44066837866,716.674479166667,12.4210846786506
61.001,1329,61,61,1643.30709334617,712.794270833333,11.5031496534232
62,1287,62,62,1755.6241278807,718.2265625,12.2893688951649
63,1264,63,63,1735.20292659792,713.958333333333,12.1464204861854
64.001,1322,64,64,1725.95610591913,719.390625,12.0816927414339
65,1274,65,65,1705.65656009234,716.286458333333,11.9395959206464
66,1303,66,66,1704.11592876262,720.166666666667,11.9288115013384
