Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,697.2734375,
1.001,0,1,1,32.6782365895896,698.4375,0.228747656127127
2.001,2,2,2,44.0425980007864,698.4375,0.308298186005505
3.001,23,3,3,41.0968687629254,698.4375,0.287678081340478
4,28,4,4,34.4217490379121,698.4375,0.240952243265385
5.001,26,5,5,42.9981166824893,699.213541666667,0.300986816777425
6,34,6,6,51.1006631964307,698.4375,0.357704642375015
7,22,7,7,43.2661698157227,698.4375,0.302863188710059
8.001,27,8,8,43.0190273157818,698.4375,0.301133191210472
9,43,9,9,46.6559202530351,699.213541666667,0.326591441771245
10.001,51,10,10,48.0742506801755,698.4375,0.336519754761229
10.999,61,11,11,36.6245281123774,698.049479166667,0.256371696786642
12,62,12,12,38.8532690752067,698.4375,0.271972883526447
13.001,69,13,13,37.027819000415,698.4375,0.259194733002905
14.001,54,14,14,52.151458487661,698.4375,0.365060209413627
14.999,53,15,15,45.5273185009031,698.4375,0.318691229506322
16,51,16,16,54.1259565134023,698.4375,0.378881695593816
17.001,59,17,17,43.9369241516878,698.4375,0.307558469061815
18,55,18,18,36.6588501851661,700.765625,0.256611951296162
19,56,19,19,49.8888034004208,698.4375,0.349221623802946
20.001,57,20,20,33.0273466430204,698.4375,0.231191426501143
21.001,71,21,21,43.3152227574182,698.4375,0.303206559301927
22,51,22,22,55.0185742706738,698.4375,0.385130019894716
23,52,23,23,55.4657564957889,698.4375,0.388260295470522
24.001,58,24,24,42.2148815233796,699.6015625,0.295504170663657
25.001,56,25,25,37.0568192209114,698.4375,0.25939773454638
26,55,26,26,47.9848128067467,698.4375,0.335893689647227
27,48,27,27,44.4409829856586,698.4375,0.31108688089961
28.001,54,28,28,46.6511214762992,698.4375,0.326557850334094
29,55,29,29,43.9817299893624,698.4375,0.307872109925537
30.001,73,30,30,34.0232821319629,698.4375,0.23816297492374
31.001,66,31,31,41.0942125917879,698.4375,0.287659488142516
32.001,58,32,32,45.4891615970291,698.825520833333,0.318424131179203
33.001,71,33,33,34.3972514155024,698.4375,0.240780759908517
34,61,34,34,44.4004731758426,698.4375,0.310803312230898
35,48,35,35,51.0847854183589,698.825520833333,0.357593497928512
36,44,36,36,34.9828094474375,698.4375,0.244879666132063
37,44,37,37,51.9531901756517,698.4375,0.363672331229562
38,44,38,38,31.020693904904,698.825520833333,0.217144857334328
39.001,53,39,39,40.9666858910334,697.661458333333,0.286766801237234
40.001,48,40,40,49.9868923260123,698.4375,0.349908246282086
41,49,41,41,42.2119553366409,698.4375,0.295483687356486
42.001,62,42,42,45.101478326234,698.4375,0.315710348283638
43,46,43,43,46.6233846246068,698.4375,0.326363692372248
44.001,58,44,44,53.9373032786689,698.4375,0.377561122950682
45.001,45,45,45,45.9800538526387,698.4375,0.321860376968471
46.001,48,46,46,47.1399443528002,699.213541666667,0.329979610469601
47.001,48,47,47,49.9011126284746,698.4375,0.349307788399322
48,40,48,48,36.6299634432965,698.4375,0.256409744103075
49,45,49,49,54.0598658954927,698.4375,0.378419061268449
50.001,40,50,50,47.9487284246955,698.4375,0.335641098972868
51.001,49,51,51,45.0196420698351,698.4375,0.315137494488845
52,38,52,52,47.0376301040833,698.4375,0.329263410728583
53,50,53,53,45.4904132837332,698.4375,0.318432892986133
54,46,54,54,37.0808919658234,698.4375,0.259566243760764
55,47,55,55,52.1129587187752,699.989583333333,0.364790711031426
56.001,38,56,56,44.0564230610142,698.4375,0.3083949614271
57.001,41,57,57,35.9164690678888,698.049479166667,0.251415283475222
58,43,58,58,46.0649608077311,698.4375,0.322454725654117
59.001,38,59,59,55.0656988853401,698.4375,0.385459892197381
60,39,60,60,33.9967737061753,698.049479166667,0.237977415943227
61.001,60,61,61,49.9619622927078,698.4375,0.349733736048955
62.001,42,62,62,43.2432528328766,698.4375,0.302702769830136
63.001,33,63,63,38.0612367237649,698.4375,0.266428657066354
64.001,39,64,64,47.7114800256444,698.4375,0.33398036017951
65.001,32,65,65,47.129856894702,698.4375,0.329908998262914
66.001,45,66,66,44.4191600714393,698.4375,0.310934120500075
67,39,67,67,59.9931007934088,698.4375,0.419951705553861
68,41,68,68,47.7268532253863,699.989583333333,0.334087972577704
69.001,39,69,69,33.9804442543316,698.4375,0.237863109780321
70,43,70,70,43.1155194111583,698.4375,0.301808635878108
71.001,40,71,71,38.8541619024063,698.4375,0.271979133316844
72.001,41,72,72,44.3769471078933,701.153645833333,0.310638629755253
73.001,35,73,73,42.0002436014129,698.4375,0.29400170520989
74.001,39,74,74,50.9545536336142,698.4375,0.356681875435299
75.001,39,75,75,47.0933578726467,698.4375,0.329653505108527
76.001,52,76,76,44.995212509389,698.049479166667,0.314966487565723
77.001,36,77,77,39.9169284367089,698.4375,0.279418499056963
78.001,45,78,78,41.084160903611,698.4375,0.287589126325277
79.001,41,79,79,43.3006076962722,698.4375,0.303104253873906
80,31,80,80,35.5422272203479,698.4375,0.248795590542435
81.001,30,81,81,35.0119670903515,698.4375,0.24508376963246
82.001,22,82,82,50.0064858412136,698.4375,0.350045400888495
83.001,24,83,83,46.0574197852463,699.989583333333,0.322401938496724
84,18,84,84,29.9659453678642,698.4375,0.209761617575049
85.001,21,85,85,42.1376706450911,698.4375,0.294963694515638
86.001,19,86,86,29.0005075088814,699.213541666667,0.20300355256217
87.001,20,87,87,34.0050633539334,698.4375,0.238035443477534
88.001,21,88,88,41.9751507107792,698.4375,0.293826054975455
89,11,89,89,53.0768924941563,698.4375,0.371538247459094
90.001,16,90,90,45.023745523389,698.4375,0.315166218663723
91.001,20,91,91,54.3018778808393,698.4375,0.380113145165875
92,15,92,92,36.1098171759956,698.4375,0.252768720231969
93.001,13,93,93,49.9466458829424,698.4375,0.349626521180597
94.001,18,94,94,43.2754500147469,699.213541666667,0.302928150103229
95.001,20,95,95,37.0077161088087,698.4375,0.259054012761661
96.001,19,96,96,38.0121905094964,698.4375,0.266085333566475
97,20,97,97,37.9725762054644,698.4375,0.265808033438251
98,13,98,98,50.0607336821031,698.825520833333,0.350425135774722
99.001,20,99,99,57.7762370781224,698.4375,0.404433659546857
100.001,21,100,100,35.5438103009072,698.4375,0.248806672106351
101,40,101,101,52.9857415369524,697.661458333333,0.370900190758667
102,32,102,102,29.9691816914939,697.661458333333,0.209784271840457
103.001,68,103,103,39.9924236575182,698.4375,0.279946965602627
104.001,71,104,104,35.9952306319413,699.213541666667,0.251966614423589
105,93,105,105,48.080024392599,698.4375,0.336560170748193
106,102,106,106,45.5264894213095,698.4375,0.318685425949166
107.001,110,107,107,43.3179747047464,698.4375,0.303225822933224
108,132,108,108,38.0125859672137,698.4375,0.266088101770496
109.001,108,109,109,47.7039003374552,698.4375,0.333927302362186
