Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,698.4375,
1.001,0,1,1,11.6570718368112,698.4375,0.0815995028576782
2,0,2,2,9.98675866764655,698.4375,0.0699073106735259
3.001,5,3,3,6.66212383844483,698.4375,0.0466348668691138
4,11,4,4,4.00472838280157,698.4375,0.028033098679611
5.001,11,5,5,7.99939924511669,698.4375,0.0559957947158168
6,13,6,6,13.9926860230158,698.4375,0.0979488021611104
7,7,7,7,12.999048469652,698.4375,0.0909933392875641
8.001,20,8,8,12.0070060880524,698.4375,0.0840490426163667
9.001,17,9,9,10.9834271068385,698.4375,0.0768839897478694
10.001,22,10,10,8.01671645715646,698.4375,0.0561170152000952
11.001,34,11,11,15.5398240736517,698.4375,0.108778768515562
12,38,12,12,13.3119750089856,698.4375,0.0931838250628991
13.001,40,13,13,10.0137238084795,698.4375,0.0700960666593567
14,27,14,14,8.88106664274699,698.4375,0.062167466499229
15,37,15,15,12.2130746293249,698.4375,0.085491522405274
16,27,16,16,10.0028508124816,698.4375,0.0700199556873709
17.001,37,17,17,10.0102414780562,698.049479166667,0.0700716903463934
18.001,29,18,18,7.99731050447735,698.4375,0.0559811735313414
19,20,19,19,13.0137359983463,698.4375,0.0910961519884238
20.001,27,20,20,9.9809319839409,698.4375,0.0698665238875863
21,23,21,21,12.0102134855481,698.4375,0.0840714943988368
22,30,22,22,8.88655172578501,698.4375,0.062205862080495
23.001,27,23,23,15.5488764492941,698.4375,0.108842135145059
24,24,24,24,18.0257750557522,698.4375,0.126180425390266
25,21,25,25,9.00145283448749,698.4375,0.0630101698414124
26.001,19,26,26,7.77287223174708,698.4375,0.0544101056222295
27.001,23,27,27,17.755646351026,698.4375,0.124289524457182
28.001,23,28,28,6.00897319967908,698.4375,0.0420628123977536
29.001,20,29,29,16.9681253764803,698.4375,0.118776877635362
30.001,24,30,30,12.0055345514282,698.4375,0.0840387418599974
31,22,31,31,2.22176996860195,698.4375,0.0155523897802136
32.001,17,32,32,8.02360142358748,698.4375,0.0561652099651124
33,19,33,33,12.2003754166428,698.4375,0.0854026279164997
34,22,34,34,13.9992804369855,698.4375,0.0979949630588988
35.001,16,35,35,10.9939137693373,698.4375,0.0769573963853611
36,13,36,36,9.00698942379286,698.4375,0.06304892596655
37,15,37,37,9.99200195754421,698.4375,0.0699440137028094
38.001,16,38,38,8.88309908230924,698.4375,0.0621816935761647
39,10,39,39,9.99897210566754,698.4375,0.0699928047396728
40.001,9,40,40,8.00629535003373,698.4375,0.0560440674502361
