Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,698.4375,
1.001,0,1,1,8.45570500074622,698.4375,0.0591899350052235
2.001,0,2,2,11.980994548348,698.4375,0.0838669618384357
3.001,5,3,3,8.88716774073643,698.4375,0.062210174185155
4.001,5,4,4,8.00767375375823,698.4375,0.0560537162763076
5,11,5,5,9.98832475817156,698.4375,0.0699182733072009
6,12,6,6,11.0175266814448,698.4375,0.0771226867701139
7,9,7,7,7.00003080013552,698.4375,0.0490002156009487
8,15,8,8,6.66583417804265,698.4375,0.0466608392462986
9.001,11,9,9,14.9896556386438,698.4375,0.104927589470506
10.001,28,10,10,9.0149964465889,698.4375,0.0631049751261223
11,34,11,11,12.2106844821293,698.4375,0.0854747913749053
12.001,29,12,12,8.00322529979582,698.4375,0.0560225770985707
13,26,13,13,9.99282071347408,698.4375,0.0699497449943185
14,17,14,14,12.0144016632738,698.4375,0.0841008116429164
15.001,24,15,15,16.9614686317093,698.4375,0.118730280421965
16,34,16,16,9.99610451806931,698.4375,0.0699727316264852
16.999,30,17,17,6.00419332862071,698.4375,0.042029353300345
18,38,18,18,9.99862718848702,698.4375,0.0699903903194091
19,29,19,19,12.0121406705758,698.4375,0.0840849846940303
20.001,31,20,20,12.2181305060727,698.4375,0.0855269135425092
21,23,21,21,6.00694523007501,698.4375,0.0420486166105251
22,32,22,22,7.99331519050618,698.4375,0.0559532063335433
23,19,23,23,16.6598805419926,698.4375,0.116619163793948
24.001,21,24,24,9.98511108990816,698.4375,0.0698957776293571
25,23,25,25,10.0169577077034,698.4375,0.0701187039539236
26,19,26,26,12.2151577893007,698.4375,0.0855061045251052
27.001,29,27,27,8.00998604960805,698.4375,0.0560699023472563
28,19,28,28,8.8776379623779,698.4375,0.0621434657366453
29.001,15,29,29,12.201845140837,697.661458333333,0.0854129159858592
30,16,30,30,9.02398303972468,698.4375,0.0631678812780727
31,22,31,31,5.5527631326735,698.4375,0.0388693419287145
32,19,32,32,8.88189489010154,697.661458333333,0.0621732642307108
33.001,10,33,33,10.9925701218546,698.4375,0.0769479908529825
34,13,34,34,7.01187741916032,698.4375,0.0490831419341222
35,15,35,35,7.00023030757712,698.4375,0.0490016121530398
36,19,36,36,7.99592687484995,698.4375,0.0559714881239497
37,19,37,37,14.4225670127935,698.4375,0.100957969089554
38,17,38,38,6.01009395279372,698.4375,0.042070657669556
39.001,14,39,39,10.0059905865642,698.4375,0.0700419341059492
40,8,40,40,6.65683378352021,698.4375,0.0465978364846415
41,6,41,41,7.77578976752721,698.4375,0.0544305283726905
42.001,16,42,42,13.3112558759489,698.4375,0.093178791131642
43.001,9,43,43,7.0131608977407,698.4375,0.0490921262841849
44,12,44,44,12.0135645156947,698.4375,0.0840949516098627
45.001,7,45,45,14.4269461617443,698.4375,0.10098862313221
46,4,46,46,6.66559498711707,698.4375,0.0466591649098195
47.001,3,47,47,12.9881145763512,698.4375,0.0909168020344582
48,7,48,48,15.0424422508107,698.4375,0.105297095755675
49,3,49,49,14.421194274564,698.4375,0.100948359921948
50.001,7,50,50,13.3266093185649,698.4375,0.0932862652299545
51,12,51,51,8.88567326246491,698.4375,0.0621997128372543
52.001,9,52,52,10.0138230813815,698.4375,0.0700967615696708
53.001,8,53,53,13.3234946727117,698.4375,0.0932644627089818
54,3,54,54,8.0031628499583,698.4375,0.0560221399497081
55,10,55,55,9.9870312850413,698.4375,0.0699092189952891
56.001,3,56,56,9.00591688739502,698.4375,0.0630414182117651
57,8,57,57,7.77186252685456,698.049479166667,0.0544030376879819
58,10,58,58,8.99582234010525,698.4375,0.0629707563807368
59.001,1,59,59,4.00787427057941,698.4375,0.0280551198940559
60,6,60,60,6.66516552327604,698.4375,0.0466561586629322
61,4,61,61,6.65717575310133,698.4375,0.0466002302717093
62,7,62,62,9.99183334154884,697.661458333333,0.0699428333908419
63,12,63,63,2.21858276045829,698.4375,0.015530079323208
64,5,64,64,9.99329250207261,698.4375,0.0699530475145083
65.001,8,65,65,11.0208028674927,698.4375,0.0771456200724488
66,6,66,66,13.299490563014,698.4375,0.0930964339410979
67.001,6,67,67,10.0199908838123,698.4375,0.0701399361866861
68,3,68,68,12.210681771206,698.4375,0.0854747723984421
69.001,3,69,69,14.0111669000193,698.4375,0.0980781683001352
70.001,2,70,70,9.99313271919537,698.4375,0.0699519290343676
71.001,7,71,71,10.0024816156889,698.4375,0.070017371309822
72,5,72,72,13.9946512442944,698.4375,0.097962558710061
73.001,3,73,73,13.0077383035168,698.4375,0.0910541681246173
74,2,74,74,15.5325673558689,698.4375,0.108727971491082
75.001,2,75,75,11.0145149277718,698.4375,0.0771016044944027
76.001,4,76,76,11.1027199221211,698.4375,0.0777190394548476
77,8,77,77,9.99958335069372,698.4375,0.0699970834548561
78,6,78,78,7.00464337809534,697.661458333333,0.0490325036466674
79.001,4,79,79,16.6347279889279,698.4375,0.116443095922495
80.001,0,80,80,8.00244874931729,698.4375,0.056017141245221
81,0,81,81,13.0192528711459,698.4375,0.091134770098021
82,3,82,82,9.98684067293996,698.4375,0.0699078847105797
83.001,3,83,83,13.0114709127567,698.4375,0.0910802963892968
84.001,3,84,84,5.55491303728091,698.4375,0.0388843912609664
85.001,2,85,85,11.0943967859976,698.4375,0.0776607775019834
86,2,86,86,18.0079162799967,698.4375,0.126055413959977
