Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1.001,0,1,1,84.9055722678024,698.825520833333
2.001,0,2,2,81.0091565870376,699.6015625
3,1,3,3,78.8443768579095,699.6015625
4.001,20,4,4,87.7270228213521,699.6015625
5.001,40,5,5,78.0476793273011,699.213541666667
6,39,6,6,85.5500803504131,700.765625
7.001,79,7,7,101.084200250689,707.75
8,151,8,8,96.5340181996583,699.6015625
9,160,9,9,76.1101923364647,699.6015625
10,81,10,10,85.38758868111,701.153645833333
11.001,53,11,11,97.1276937790113,705.033854166667
12,41,12,12,93.1041183355346,699.6015625
13,48,13,13,88.8786085964946,698.825520833333
14.001,51,14,14,83.1351207310393,699.213541666667
15,41,15,15,77.163501743845,699.6015625
16,34,16,16,80.0199969972496,699.6015625
17.001,41,17,17,94.3915432284395,699.6015625
18.001,74,18,18,93.2801739986179,699.989583333333
19.001,64,19,19,73.9917869116528,700.377604166667
20.001,69,20,20,108.059357004803,700.765625
21.001,86,21,21,69.8584977318166,699.6015625
21.999,63,22,22,88.1910394296124,699.213541666667
23,68,23,23,86.4836384598062,699.6015625
24.001,60,24,24,80.1078491973744,699.989583333333
25,59,25,25,81.0761042509867,701.541666666667
26.001,53,26,26,101.064367895913,699.989583333333
27,50,27,27,84.9596017093872,699.6015625
28,53,28,28,90.0103061800576,699.6015625
29.001,53,29,29,76.0161534326044,699.6015625
30,64,30,30,103.905965101583,701.153645833333
31.001,57,31,31,84.1292983185858,699.6015625
31.999,38,32,32,87.6540881200972,699.6015625
33.001,56,33,33,72.1311526347346,699.213541666667
34.001,50,34,34,97.0416502762986,699.6015625
35,45,35,35,101.175569966563,699.989583333333
36,58,36,36,88.7683513309316,699.213541666667
37,41,37,37,87.0875316780897,698.825520833333
38,49,38,38,89.9760463769868,699.6015625
39,43,39,39,108.030140409174,698.4375
40,54,40,40,80.0435116529345,699.6015625
41,57,41,41,90.8754710147698,698.4375
42,64,42,42,70.030526306417,699.213541666667
43.001,63,43,43,91.0985960104621,699.6015625
44.001,65,44,44,95.9610685944712,699.989583333333
45,57,45,45,103.330612293876,700.377604166667
46.001,68,46,46,106.170318424817,701.9296875
