Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1,0,1,1,1061.19257012236,714.346354166667
2,1,2,2,1239.62163377031,720.942708333333
3.001,6,3,3,1179.12911463805,713.958333333333
4.001,76,4,4,837.742826564315,703.09375
5,182,5,5,1167.29836146119,707.75
6,657,6,6,1188.73673058737,708.9140625
7.001,3049,7,7,1171.76492814509,710.854166666667
8,5798,8,8,1431.36091798835,705.809895833333
9.001,3493,9,9,1229.07433387524,713.958333333333
10,695,10,10,1114.48240930325,717.450520833333
11,317,11,11,984.783245500953,706.973958333333
12,1256,12,12,1176.59466003456,719.390625
13.001,5414,13,13,1263.01705073018,710.854166666667
14,14350,14,14,942.789963710593,714.734375
15.001,22264,15,15,1167.52014499911,719.778645833333
16,23083,16,16,1205.80801194881,709.690104166667
17.001,16582,17,17,1050.29222484241,713.182291666667
18,7561,18,18,1125.43853553612,717.450520833333
19,2011,19,19,1104.93912229633,712.40625
20,386,20,20,1170.09064148693,713.958333333333
21,122,21,21,1056.54082091555,710.078125
22,96,22,22,1248.35465755821,713.5703125
23.001,80,23,23,908.202993805678,714.346354166667
24,119,24,24,796.793287396932,709.302083333333
25.001,121,25,25,1123.09299143317,711.630208333333
26.001,134,26,26,839.944769877158,714.346354166667
27.001,147,27,27,1269.80261623776,715.8984375
28,123,28,28,1360.36321364654,723.658854166667
29.001,122,29,29,1132.11366421189,719.002604166667
30.001,118,30,30,1064.96000908766,699.989583333333
31,105,31,31,1139.12948866611,708.9140625
32.001,67,32,32,947.150027787139,706.5859375
33,61,33,33,945.663477495811,719.390625
34.001,38,34,34,1226.5144425964,713.5703125
35.001,19,35,35,1283.31051892411,706.197916666667
36.001,26,36,36,1007.76209888876,715.122395833333
37,17,37,37,1134.13201296631,710.466145833333
38,8,38,38,1087.53736160637,717.450520833333
39.001,12,39,39,1360.77207067816,712.40625
40,12,40,40,1377.47412659437,704.2578125
41.001,8,41,41,1055.54170400249,711.630208333333
42.001,7,42,42,935.631925802687,708.138020833333
43.001,8,43,43,827.786553128972,717.450520833333
44.001,9,44,44,996.312044932473,725.2109375
45.001,8,45,45,1133.73069798502,716.674479166667
46.001,12,46,46,1164.89898818491,722.106770833333
47,10,47,47,1004.38491197348,710.466145833333
48,9,48,48,935.956795434929,717.838541666667
49,12,49,49,1050.35298256274,716.286458333333
50,13,50,50,786.155229014902,712.794270833333
51,10,51,51,1078.89883061579,713.5703125
52,9,52,52,1017.48411894379,706.5859375
53.001,11,53,53,1159.59846876973,715.8984375
54,14,54,54,888.151263802658,710.854166666667
55,9,55,55,1037.73303995339,707.75
56.001,4,56,56,1153.09806192367,705.033854166667
57,8,57,57,1078.27356421552,712.40625
58.001,8,58,58,1074.98711367964,714.346354166667
59.001,10,59,59,1038.71499413947,716.674479166667
60,7,60,60,1118.5403049021,711.630208333333
61.001,7,61,61,912.621691219003,714.734375
62.001,7,62,62,1228.44915908847,704.645833333333
63,6,63,63,1242.51989697411,712.40625
64,4,64,64,1313.7502827865,719.390625
65,2,65,65,992.200325245667,712.40625
66.001,11,66,66,1213.4728571768,724.434895833333
67,5,67,67,1013.04862633406,710.466145833333
68,3,68,68,1129.85971025353,712.40625
69,10,69,69,1195.14323114081,719.002604166667
70.001,2,70,70,933.683285081928,717.838541666667
71,7,71,71,1153.1563852231,707.75
72.001,8,72,72,1050.91681983362,710.854166666667
73,4,73,73,1027.09316312382,713.5703125
74.001,7,74,74,1292.8786710007,715.8984375
75.001,3,75,75,825.77695764374,717.450520833333
76.001,6,76,76,1191.26333476652,712.018229166667
77.001,4,77,77,1148.07302321237,715.510416666667
78.001,3,78,78,1137.40082004899,715.8984375
79,3,79,79,1275.76992715104,719.002604166667
80,6,80,80,759.589289370694,708.526041666667
81,3,81,81,1167.27701593794,716.674479166667
82,3,82,82,1190.32424432415,722.106770833333
83.001,4,83,83,852.201231342008,709.690104166667
84.001,4,84,84,1127.74620221952,715.8984375
85,1,85,85,1136.92060757517,717.450520833333
86.001,4,86,86,1006.04783546476,712.40625
87.001,3,87,87,1034.45537526746,710.466145833333
88,7,88,88,1165.12197384534,711.630208333333
89.001,3,89,89,914.853283657667,706.973958333333
90,2,90,90,1166.81468132372,713.5703125
91.001,4,91,91,1087.26503286574,713.5703125
92,4,92,92,1003.37516197306,711.2421875
93,3,93,93,1223.6243442173,714.346354166667
94.001,7,94,94,1194.07550380628,712.40625
95.001,3,95,95,1338.72627632176,709.302083333333
96.001,0,96,96,1157.64027583835,712.018229166667
97,1,97,97,1050.71921730424,708.138020833333
98,2,98,98,1203.36546209084,715.510416666667
99,3,99,99,1169.40347429439,706.973958333333
,2,100,100,,
,4,101,101,,
,3,102,102,,
,4,103,103,,
,7,104,104,,
,3,105,105,,
,3,106,106,,
,2,107,107,,
,4,108,108,,
,3,109,109,,
,0,110,110,,
,3,111,111,,
,5,112,112,,
,4,113,113,,
,1,114,114,,
,2,115,115,,
,5,116,116,,
,5,117,117,,
,3,118,118,,
,1,119,119,,
,5,120,120,,
,2,121,121,,
,0,122,122,,
,3,123,123,,
,2,124,124,,
,4,125,125,,
,3,126,126,,
,1,127,127,,
,3,128,128,,
,0,129,129,,
,3,130,130,,
,3,131,131,,
,2,132,132,,
,4,133,133,,
,1,134,134,,
,2,135,135,,
,3,136,136,,
,2,137,137,,
,4,138,138,,
,2,139,139,,
,1,140,140,,
,6,141,141,,
,3,142,142,,
,4,143,143,,
,2,144,144,,
,1,145,145,,
,2,146,146,,
,5,147,147,,
,4,148,148,,
,6,149,149,,
,3,150,150,,
,2,151,151,,
,6,152,152,,
,2,153,153,,
,0,154,154,,
,1,155,155,,
,1,156,156,,
,2,157,157,,
,3,158,158,,
,1,159,159,,
,1,160,160,,
,0,161,161,,
,5,162,162,,
,2,163,163,,
,1,164,164,,
,4,165,165,,
,2,166,166,,
,0,167,167,,
,1,168,168,,
,5,169,169,,
,0,170,170,,
,7,171,171,,
,2,172,172,,
,3,173,173,,
,5,174,174,,
,1,175,175,,
,6,176,176,,
,1,177,177,,
,3,178,178,,
,2,179,179,,
,1,180,180,,
,3,181,181,,
