Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1,0,1,1,8.47277131958436,699.6015625
2.001,0,2,2,15.999411221667,699.213541666667
3,0,3,3,9.00939499710298,699.6015625
4,2,4,4,14.4375449021529,698.825520833333
5,8,5,5,11.1083204541615,699.213541666667
6,4,6,6,18.8630862827526,699.6015625
7.001,4,7,7,21.0119642124226,699.213541666667
8,6,8,8,12.005631841897,699.213541666667
9.001,10,9,9,11.9874934480856,699.6015625
10,6,10,10,6.01500081052136,699.6015625
11,12,11,11,14.4103224021431,699.6015625
12,4,12,12,12.0116645274226,699.6015625
13.001,10,13,13,6.66080663700536,699.6015625
14.001,8,14,14,18.0000468001217,699.6015625
15.001,7,15,15,12.9953931331343,699.6015625
16.001,4,16,16,11.0029531926369,699.6015625
16.999,8,17,17,12.0126757754783,699.6015625
18,18,18,18,14.0008568524394,699.6015625
19.001,17,19,19,8.88034402452751,699.6015625
20.001,22,20,20,20.0366691081348,699.6015625
21,14,21,21,9.98350281623522,699.6015625
22,15,22,22,15.5400017404802,699.6015625
23.001,21,23,23,11.0043313048016,699.6015625
24,18,24,24,15.5391393181514,698.825520833333
25.001,22,25,25,13.3225331997527,699.6015625
25.999,18,26,26,11.1043115709925,698.825520833333
27,10,27,27,12.2114707006853,699.6015625
28,14,28,28,7.7772722550812,699.213541666667
29,19,29,29,9.99926705372496,699.6015625
30,30,30,30,9.01301659857166,699.213541666667
31,27,31,31,12.2184792947316,699.6015625
32.001,31,32,32,14.0141388647006,699.6015625
33.001,30,33,33,9.9747771136054,699.6015625
34.001,24,34,34,11.0276352539464,699.6015625
34.999,15,35,35,16.6636875696334,699.6015625
36,18,36,36,8.99156321623421,699.6015625
37,17,37,37,14.9864537444604,699.6015625
38,10,38,38,15.0291746337991,699.6015625
39,11,39,39,15.5311716161183,699.213541666667
40.001,12,40,40,10.0010011002101,699.6015625
41,12,41,41,12.9836419095581,699.6015625
42,10,42,42,9.0196646729199,698.825520833333
43,13,43,43,15.537904496048,698.825520833333
44.001,15,44,44,6.99444850622061,699.6015625
45.001,9,45,45,9.99419781293638,699.6015625
46,6,46,46,13.0070355055049,699.6015625
47,7,47,47,12.2205575107213,699.6015625
48.001,8,48,48,11.094496486262,699.6015625
49.001,14,49,49,14.019475855859,699.6015625
50.001,11,50,50,11.094546952511,699.6015625
51.001,9,51,51,14.025251062012,699.6015625
52,7,52,52,15.5506380982192,699.6015625
53.001,8,53,53,8.86880105450045,699.6015625
54.001,10,54,54,12.0237493096364,699.6015625
55.001,8,55,55,6.65855285009922,699.6015625
56.001,5,56,56,11.9894265247478,699.6015625
57,10,57,57,13.0202686522109,699.213541666667
58,9,58,58,14.4351898838189,699.6015625
59,7,59,59,10.0027137362366,699.6015625
60,5,60,60,9.00630531435058,699.213541666667
60.999,8,61,61,15.0112554393284,698.4375
62,4,62,62,8.88616577275542,699.6015625
63,5,63,63,12.196311835301,699.213541666667
63.999,8,64,64,12.2178835160314,699.6015625
65,5,65,65,19.9890593215314,699.213541666667
66,8,66,66,21.0921047811361,699.6015625
67.001,5,67,67,4.44427605576278,699.6015625
68.001,6,68,68,15.0421631834031,699.213541666667
69.001,8,69,69,12.1774484503699,699.6015625
70.001,8,70,70,15.0409791476879,699.6015625
71.001,2,71,71,14.4199529554581,699.6015625
72.001,1,72,72,9.0015113537563,699.6015625
73.001,8,73,73,11.0033075942628,699.213541666667
74,7,74,74,14.9986126283319,698.825520833333
75.001,4,75,75,6.65881961768165,699.6015625
76,7,76,76,13.0220867613559,699.213541666667
77,10,77,77,8.8813121428186,699.213541666667
78,5,78,78,13.9937727711169,699.6015625
79.001,4,79,79,12.2133593944217,699.6015625
80,3,80,80,12.0164228451024,699.6015625
81.001,3,81,81,15.5353320055803,699.6015625
82.001,4,82,82,12.0085765253544,699.6015625
83,3,83,83,13.3208324721045,699.6015625
84.001,3,84,84,4.99583397404904,699.6015625
85,4,85,85,11.0287331584978,699.6015625
86,1,86,86,8.87920857838099,699.6015625
87.001,2,87,87,11.1083204541615,699.213541666667
88.001,1,88,88,13.3129201890435,699.213541666667
89.001,5,89,89,6.00132629311078,699.6015625
90.001,4,90,90,9.99891900575638,699.213541666667
91,5,91,91,11.0216818525403,699.6015625
92,5,92,92,17.7672299655882,699.6015625
93,2,93,93,13.321710880685,699.6015625
94,3,94,94,11.0040803129801,699.6015625
95.001,4,95,95,14.4329317758646,699.213541666667
96,1,96,96,8.01439385135704,699.6015625
97,2,97,97,14.4201081086597,699.6015625
98.001,4,98,98,16.9886821399584,699.213541666667
99.001,2,99,99,12.0037992024476,699.6015625
99.999,1,100,100,12.0106017581719,699.6015625
,2,101,101,,
,3,102,102,,
,4,103,103,,
,3,104,104,,
,1,105,105,,
,2,106,106,,
,1,107,107,,
,3,108,108,,
,2,109,109,,
,3,110,110,,
,2,111,111,,
,2,112,112,,
,3,113,113,,
,4,114,114,,
,2,115,115,,
,0,116,116,,
,5,117,117,,
,3,118,118,,
,6,119,119,,
,4,120,120,,
,4,121,121,,
,2,122,122,,
,2,123,123,,
,3,124,124,,
,1,125,125,,
,4,126,126,,
,1,127,127,,
,1,128,128,,
,1,129,129,,
,6,130,130,,
,2,131,131,,
,2,132,132,,
,0,133,133,,
,2,134,134,,
,3,135,135,,
,1,136,136,,
,1,137,137,,
,2,138,138,,
,2,139,139,,
,4,140,140,,
,3,141,141,,
,5,142,142,,
,7,143,143,,
,1,144,144,,
,4,145,145,,
,4,146,146,,
