Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,699.6015625
1.001,0,1,1,103.757130391162,702.705729166667
2,0,2,2,140.760538172461,698.825520833333
3.001,1,3,3,133.02242758129,707.75
4.001,13,4,4,80.0125059546807,702.317708333333
5.001,28,5,5,110.026549406372,698.825520833333
6,88,6,6,124.339764178535,699.989583333333
7.001,655,7,7,128.310421402499,704.2578125
8,1848,8,8,115.549495626452,699.213541666667
9.001,1377,9,9,145.525755114814,700.377604166667
10.001,388,10,10,109.813451349147,699.213541666667
11,84,11,11,107.117432841624,699.989583333333
12.001,66,12,12,116.474445007589,699.989583333333
13,81,13,13,112.016925757482,701.153645833333
13.999,64,14,14,131.013599211598,699.6015625
15.001,52,15,15,131.023204209465,699.989583333333
16,70,16,16,123.305658063412,698.825520833333
17.001,69,17,17,107.157027908697,700.377604166667
18.001,102,18,18,104.375684063243,699.6015625
19,202,19,19,127.77377419952,699.6015625
20.001,356,20,20,121.011572369972,698.825520833333
21,444,21,21,133.926514521482,700.377604166667
22,460,22,22,131.151151702337,701.541666666667
23.001,282,23,23,116.589924587416,704.2578125
24,129,24,24,130.054024441753,701.541666666667
25.001,72,25,25,116.049204862862,699.6015625
26,44,26,26,99.8428573268533,698.825520833333
27,39,27,27,125.042189234648,703.481770833333
28,42,28,28,118.807545322858,700.765625
29.001,31,29,29,136.132157098111,699.213541666667
30.001,49,30,30,129.952463388892,699.213541666667
31.001,42,31,31,121.109798142996,699.6015625
32.001,32,32,32,83.9770238862647,698.825520833333
33,40,33,33,123.298179652335,702.317708333333
34.001,47,34,34,112.106802041365,699.6015625
35.001,37,35,35,107.246151366617,699.6015625
36.001,51,36,36,120.969778087046,698.825520833333
37,57,37,37,125.548943311208,699.6015625
38.001,50,38,38,134.05567332113,703.481770833333
39,50,39,39,124.826204475509,699.6015625
40.001,41,40,40,97.7757788063,699.6015625
41,33,41,41,118.340097606511,699.6015625
42.001,32,42,42,125.278800764799,699.6015625
43,34,43,43,124.439273301309,701.541666666667
44,42,44,44,118.863557744027,705.809895833333
45,30,45,45,134.36172241068,700.765625
46.001,29,46,46,111.078663799208,699.6015625
47,36,47,47,128.777086862641,699.213541666667
48,27,48,48,124.424287709835,698.4375
49.001,22,49,49,141.373225314831,700.765625
50.001,25,50,50,142.001036607567,702.705729166667
51.001,35,51,51,117.922795945494,700.765625
52.001,19,52,52,114.363881443516,699.6015625
53.001,24,53,53,136.866035524429,699.989583333333
54,32,54,54,132.344054839366,701.541666666667
55.001,12,55,55,131.007076935682,699.6015625
56.001,23,56,56,125.441974816358,699.6015625
57.001,20,57,57,126.55813603401,699.213541666667
58,15,58,58,107.936144976632,700.377604166667
59,19,59,59,120.302307668941,704.2578125
60.001,26,60,60,131.059546460665,699.213541666667
61,29,61,61,138.930868000083,698.825520833333
62,30,62,62,114.046405482391,703.09375
63,39,63,63,130.877394057247,698.825520833333
64.001,54,64,64,116.894455995681,699.989583333333
65.001,65,65,65,120.171520811654,698.825520833333
66.001,66,66,66,119.895025244564,700.377604166667
