Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1,0,1,1,59.3410179951637,698.825520833333
2.001,0,2,2,83.0034778457217,699.213541666667
3,1,3,3,72.9636495098142,699.213541666667
4.001,22,4,4,80.9429918508394,699.213541666667
5.001,28,5,5,97.1477812047687,699.6015625
6.001,39,6,6,81.1186360051575,700.765625
7.001,23,7,7,80.948440722344,699.6015625
8.001,41,8,8,87.7618246283231,698.825520833333
9.001,43,9,9,77.0819921150127,698.825520833333
10,36,10,10,86.9998521002514,700.377604166667
11.001,30,11,11,77.6403887964475,699.213541666667
12.001,35,12,12,73.1596489860173,698.825520833333
13,22,13,13,83.2786100333625,700.377604166667
14.001,36,14,14,77.6942392052457,698.825520833333
15.001,27,15,15,67.03775566399,698.4375
16.001,43,16,16,76.9618346262089,698.825520833333
17,47,17,17,80.9257991347733,698.4375
18.001,64,18,18,75.0400263500551,699.6015625
19,69,19,19,86.6064463176605,699.213541666667
20,71,20,20,86.2096964656831,701.9296875
21.001,64,21,21,92.1834539585297,700.765625
22,65,22,22,95.3870384542863,699.6015625
23.001,48,23,23,74.0425003952269,699.6015625
24,46,24,24,74.0237690322363,698.825520833333
25.001,44,25,25,79.8443744426142,700.377604166667
26.001,39,26,26,66.0763313780079,699.213541666667
27.001,36,27,27,78.8886960498541,699.213541666667
28.001,52,28,28,81.045734107757,698.825520833333
29.001,51,29,29,80.9650771003811,699.213541666667
30.001,46,30,30,86.052672841046,698.825520833333
31.001,49,31,31,77.5547131882676,699.6015625
32,45,32,32,87.3033179174406,699.6015625
33.001,45,33,33,74.3781074368449,698.825520833333
34,42,34,34,86.9565738870008,698.825520833333
35.001,34,35,35,79.9739364940966,699.213541666667
36.001,45,36,36,63.042383394356,699.213541666667
37.001,38,37,37,93.1215235882827,698.4375
38,49,38,38,72.0782099587247,699.213541666667
39.001,36,39,39,103.035959549883,699.989583333333
40,42,40,40,76.9900066971307,700.377604166667
41.001,38,41,41,87.7200579796272,698.825520833333
42.001,38,42,42,62.0342987637865,702.705729166667
43.001,56,43,43,91.1265383110988,699.213541666667
44,42,44,44,70.959250430828,701.9296875
45.001,53,45,45,87.0384100503552,698.4375
46,44,46,46,78.0430485455777,699.6015625
47,43,47,47,81.1292876327716,698.4375
48.001,50,48,48,79.9115201890351,698.4375
49,33,49,49,81.0092554738953,698.825520833333
50.001,40,50,50,82.0390654508773,698.4375
51.001,38,51,51,74.1236976265993,699.6015625
52,42,52,52,85.0649300611156,700.377604166667
53,49,53,53,73.2713051029356,703.481770833333
54,54,54,54,77.677711623493,699.6015625
55.001,51,55,55,75.0465814130831,698.4375
56,54,56,56,67.0671207744711,698.825520833333
57.001,43,57,57,76.9432389726099,698.825520833333
58,42,58,58,75.4656173098594,698.4375
59.001,56,59,59,81.9864558374957,700.377604166667
60.001,38,60,60,84.4415734309478,699.213541666667
61.001,40,61,61,78.0848391777666,698.825520833333
61.999,33,62,62,80.0106334131806,699.213541666667
63,40,63,63,68.8766441521507,698.4375
64.001,55,64,64,67.0680740952066,699.213541666667
65,40,65,65,68.7946020648367,698.825520833333
66.001,31,66,66,73.1407447350937,698.825520833333
67,41,67,67,69.936482132783,699.213541666667
68,37,68,68,76.4976748032846,699.213541666667
69.001,44,69,69,66.118477700191,701.153645833333
70.001,36,70,70,64.9511697106116,700.377604166667
71.001,24,71,71,93.0472587026951,699.6015625
72.001,40,72,72,74.0355740933519,699.213541666667
73,39,73,73,80.9380386052269,699.213541666667
73.999,39,74,74,87.676968747489,698.4375
