Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1,0,1,1,3.18524999912406,699.6015625
2,0,2,2,14.0108051329185,698.4375
3.001,0,3,3,13.9905675593515,699.213541666667
4.001,5,4,4,5.00768027924428,699.213541666667
5,19,5,5,11.1001848291776,699.6015625
6.001,57,6,6,16.6570351987584,698.4375
7.001,54,7,7,15.5486312317803,699.6015625
7.999,18,8,8,15.0057877323284,699.6015625
9,6,9,9,14.0212281394031,699.6015625
10.001,7,10,10,15.5411747884846,699.6015625
10.999,5,11,11,12.2024759045474,698.825520833333
12.001,7,12,12,11.0038612549143,699.6015625
13,16,13,13,11.1099359267775,698.825520833333
14,12,14,14,13.0015016734433,699.6015625
15,7,15,15,19.0076372686545,699.6015625
16,15,16,16,11.0058562160926,698.825520833333
17.001,15,17,17,8.87541600738967,699.6015625
18,15,18,18,12.0157249792804,699.213541666667
19,27,19,19,7.76738932607578,699.6015625
20.001,19,20,20,11.1052857717635,698.4375
21.001,22,21,21,13.9983719893376,698.4375
22,25,22,22,7.99701711261699,698.825520833333
23.001,13,23,23,18.9968940078297,698.825520833333
24.001,16,24,24,12.0201048273342,698.825520833333
25.001,20,25,25,7.76594248143607,698.825520833333
26,21,26,26,12.2161643620502,699.6015625
27,12,27,27,10.0115483209883,699.213541666667
28,15,28,28,18.8735761274575,698.825520833333
29.001,16,29,29,12.2078481592285,699.6015625
30,12,30,30,14.0198998458412,699.213541666667
31,14,31,31,15.5470599510179,699.213541666667
32.001,25,32,32,6.66578826390211,699.213541666667
33,15,33,33,17.0103320757028,698.825520833333
34.001,14,34,34,11.1021060695214,699.6015625
35.001,19,35,35,9.00465630777675,699.213541666667
36,12,36,36,13.0041457216561,699.6015625
37,4,37,37,12.9984856764187,699.6015625
37.999,5,38,38,14.9958026748313,699.213541666667
39.001,16,39,39,14.0136100180495,699.6015625
40,17,40,40,17.7678475252165,699.6015625
41,8,41,41,9.98452066479601,699.6015625
42,12,42,42,15.5358026455918,699.6015625
43.001,11,43,43,19.9932442827569,698.4375
44.001,7,44,44,11.9990496752657,699.213541666667
45,13,45,45,16.0127974277042,699.6015625
46,9,46,46,15.0115213426305,699.6015625
46.999,10,47,47,17.7604376704655,699.213541666667
48.001,7,48,48,9.01716326856539,699.6015625
49.001,14,49,49,11.0944694070006,698.825520833333
50,7,50,50,14.0009730676282,699.6015625
51,9,51,51,15.5454630954592,698.825520833333
52.001,9,52,52,13.0044553263948,699.6015625
53,5,53,53,11.004264152359,699.213541666667
54,12,54,54,12.2096462865471,699.6015625
55.001,7,55,55,14.0043917772613,699.6015625
56,7,56,56,18.8844132829408,698.825520833333
57.001,7,57,57,12.0063501585989,699.213541666667
57.999,5,58,58,17.750593729625,699.6015625
59,8,59,59,13.0233365167043,699.6015625
60,7,60,60,8.87643229556744,699.6015625
61.001,5,61,61,8.8823998023666,699.213541666667
62.001,9,62,62,9.00918576580682,699.213541666667
63,2,63,63,15.0303071112591,698.825520833333
64.001,8,64,64,6.65688474436176,698.4375
65,4,65,65,5.54617758550043,699.6015625
66.001,3,66,66,15.549268468005,699.6015625
67,7,67,67,10.0054479664177,699.6015625
68.001,3,68,68,12.9928474374857,699.6015625
69,5,69,69,7.99965041527685,699.6015625
70.001,7,70,70,13.3206757312385,698.825520833333
71,2,71,71,22.0230228681063,699.6015625
72.001,6,72,72,8.88780358931726,699.6015625
73.001,3,73,73,13.0196609900611,699.6015625
74.001,6,74,74,9.98563289329608,698.4375
75,1,75,75,15.0158853050642,699.6015625
76.001,5,76,76,9.98080026721929,698.825520833333
77.001,4,77,77,9.00872585186011,699.6015625
78,2,78,78,20.9762590699846,699.6015625
79.001,2,79,79,14.0101223133714,698.4375
80,6,80,80,7.99981360434302,699.6015625
81,3,81,81,12.0121803508758,698.4375
82,5,82,82,14.4245033698969,699.6015625
83,1,83,83,12.9948605326593,698.825520833333
84.001,1,84,84,13.3273212306448,699.213541666667
85,5,85,85,12.0222736664218,698.825520833333
86.001,6,86,86,9.98977601923187,698.4375
87,2,87,87,14.0038398528877,699.6015625
88.001,2,88,88,12.2195217079248,699.213541666667
89.001,3,89,89,12.999741305148,698.825520833333
90,4,90,90,13.0027318739667,698.4375
91.001,1,91,91,12.2084890285639,698.825520833333
92.001,0,92,92,8.99525770014048,699.213541666667
92.999,2,93,93,18.0447455555541,699.6015625
94.001,5,94,94,8.87418731856447,699.6015625
95.001,1,95,95,8.99938084259803,699.213541666667
96,1,96,96,14.4373348591005,698.825520833333
97,5,97,97,11.9950484440023,699.6015625
98.001,1,98,98,11.0089348515255,699.6015625
99.001,3,99,99,15.9953373591598,699.6015625
100,4,100,100,5.54908409037638,699.6015625
,2,101,101,,
,6,102,102,,
,7,103,103,,
,1,104,104,,
,1,105,105,,
,2,106,106,,
,4,107,107,,
,2,108,108,,
,3,109,109,,
,2,110,110,,
,1,111,111,,
,0,112,112,,
,2,113,113,,
,1,114,114,,
,2,115,115,,
,6,116,116,,
,3,117,117,,
,2,118,118,,
,2,119,119,,
,4,120,120,,
,2,121,121,,
,2,122,122,,
,3,123,123,,
,4,124,124,,
,2,125,125,,
,3,126,126,,
,1,127,127,,
,3,128,128,,
,1,129,129,,
,3,130,130,,
,5,131,131,,
