Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1.001,0,1,1,10.5815290944433,699.6015625
2,0,2,2,10.0076278139198,699.6015625
3,0,3,3,11.9875138056201,699.6015625
4,1,4,4,23.0335299094892,698.825520833333
5,9,5,5,13.998670126338,698.825520833333
6,5,6,6,15.0164595413032,699.6015625
7.001,13,7,7,9.99165252940349,699.6015625
8,6,8,8,19.0031279148548,699.6015625
9.001,5,9,9,17.7697419056049,698.825520833333
9.999,7,10,10,11.000313508935,699.213541666667
11.001,12,11,11,16.6528928739385,699.6015625
12,7,12,12,14.0050081909291,698.825520833333
13.001,10,13,13,17.01034569225,699.213541666667
14,6,14,14,17.7727007096084,699.6015625
15,6,15,15,15.0214671787451,699.6015625
16.001,11,16,16,13.288461153011,699.6015625
17,14,17,17,13.0309576460798,699.6015625
18,16,18,18,9.99024840752665,699.6015625
19,25,19,19,16.644664269909,698.4375
20.001,20,20,20,15.0117226542207,699.213541666667
21,21,21,21,18.0141987914875,699.213541666667
22.001,24,22,22,13.3286712603192,698.825520833333
23,22,23,23,9.99967445504274,699.6015625
24,10,24,24,15.014376265274,698.825520833333
25,12,25,25,13.9918357638318,699.6015625
26.001,17,26,26,12.2173569991683,699.213541666667
27.001,19,27,27,7.99807726222616,698.4375
28,15,28,28,17.0188398557203,699.6015625
29,21,29,29,7.77288172594396,699.6015625
30,10,30,30,11.0928178219873,699.6015625
31,15,31,31,17.9959760997441,699.6015625
32.001,15,32,32,11.0337168318949,698.825520833333
33.001,18,33,33,6.65506393242626,699.213541666667
34,14,34,34,10.0135433173367,698.4375
35.001,7,35,35,14.4311277204757,698.825520833333
36.001,20,36,36,15.5486450466459,698.825520833333
37.001,11,37,37,18.0230171952601,699.6015625
38.001,13,38,38,16.666111129629,699.6015625
39,12,39,39,12.1877457977483,699.6015625
40,12,40,40,16.0273041152908,699.213541666667
41.001,7,41,41,19.0046238249766,699.6015625
42,13,42,42,10.99001447285,698.4375
43,14,43,43,15.0206714480468,699.213541666667
43.999,20,44,44,12.1913901964155,699.213541666667
45,11,45,45,10.0080184243616,698.825520833333
46,10,46,46,17.7667584393768,698.825520833333
47,7,47,47,12.0223302762551,699.213541666667
48.001,7,48,48,14.4101866274355,699.6015625
49,7,49,49,12.0120733349089,699.213541666667
50.001,6,50,50,19.993400178601,698.4375
51,18,51,51,11.0067328184651,699.6015625
52.001,7,52,52,9.99244238274452,698.4375
53,9,53,53,18.8817662670582,699.6015625
54.001,13,54,54,14.0234991775719,699.213541666667
55,8,55,55,13.3147651536174,699.6015625
56.001,13,56,56,15.5469408229018,699.213541666667
57.001,12,57,57,12.003034367088,699.6015625
58.001,8,58,58,13.3319245933013,699.213541666667
59.001,9,59,59,13.0052541226656,699.6015625
60,6,60,60,15.0095866229761,699.213541666667
61,7,61,61,7.98890819985532,699.6015625
62.001,3,62,62,10.0143174696864,699.6015625
63,6,63,63,11.1057297680535,699.213541666667
64,7,64,64,11.0943130883938,699.6015625
65.001,6,65,65,13.0089644774214,699.6015625
66,3,66,66,18.0194465867564,698.4375
67,7,67,67,12.2198922960911,699.6015625
68.001,4,68,68,16.9689265017899,698.825520833333
69,6,69,69,18.0348559661257,699.6015625
70,7,70,70,16.9748466722011,698.825520833333
70.999,7,71,71,11.0144035355034,698.825520833333
72.001,6,72,72,16.6417705778822,699.6015625
73,7,73,73,12.0297905733759,698.825520833333
74.001,6,74,74,8.98969241867275,699.6015625
75.001,5,75,75,8.8876041363354,699.6015625
76.001,5,76,76,8.01393784069253,699.6015625
77,5,77,77,11.0873951728364,698.825520833333
78,2,78,78,7.77615169805603,699.6015625
79.001,4,79,79,10.0051086084555,699.213541666667
80.001,4,80,80,12.2041384011425,699.213541666667
81,5,81,81,14.0331322251837,699.6015625
82,3,82,82,5.55460633505074,698.825520833333
83,7,83,83,10.0128986159971,699.213541666667
84.001,4,84,84,17.7366976153564,698.825520833333
85.001,3,85,85,12.2164872601473,699.6015625
86,5,86,86,7.7764004908464,699.6015625
87.001,5,87,87,5.99338989029,699.6015625
88,8,88,88,24.061629050487,698.825520833333
89.001,5,89,89,16.6286701553617,699.6015625
90,6,90,90,16.0204212309431,699.213541666667
91,2,91,91,14.0090708733905,699.6015625
92.001,4,92,92,10.9928205888734,699.6015625
93,1,93,93,11.0059850546727,699.6015625
94.001,3,94,94,18.8878899293771,699.213541666667
95.001,3,95,95,11.1051501133114,699.6015625
96,6,96,96,13.9981900340286,699.6015625
97.001,5,97,97,14.0334402848548,698.825520833333
97.999,3,98,98,8.86758402562377,699.6015625
99.001,7,99,99,12.2172620138446,699.6015625
100,5,100,100,17.007986950672,699.6015625
,8,101,101,,
,7,102,102,,
,2,103,103,,
,2,104,104,,
,3,105,105,,
,4,106,106,,
,3,107,107,,
,5,108,108,,
,1,109,109,,
,5,110,110,,
,4,111,111,,
,1,112,112,,
,2,113,113,,
,7,114,114,,
,4,115,115,,
,2,116,116,,
,6,117,117,,
,1,118,118,,
,3,119,119,,
,2,120,120,,
,3,121,121,,
,2,122,122,,
,6,123,123,,
,2,124,124,,
,2,125,125,,
,6,126,126,,
,3,127,127,,
,1,128,128,,
,2,129,129,,
,5,130,130,,
,5,131,131,,
,5,132,132,,
,6,133,133,,
,2,134,134,,
,3,135,135,,
