Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1,0,1,1,9.55627152085619,699.213541666667
2.001,0,2,2,13.3048609309411,699.6015625
3,0,3,3,17.0009775562095,698.4375
4.001,5,4,4,7.99603956160514,699.213541666667
5.001,7,5,5,13.009293839519,699.6015625
6,4,6,6,11.9953386114156,698.4375
7.001,2,7,7,10.0050295283439,699.213541666667
8.001,2,8,8,10.9946324204523,699.6015625
9.001,10,9,9,12.9963129460172,698.4375
9.999,11,10,10,11.013856532904,699.213541666667
11.001,7,11,11,11.9913865870145,698.825520833333
12.001,7,12,12,16.637202181603,699.6015625
13,5,13,13,11.0135279163396,699.213541666667
14,6,14,14,13.3234517732682,699.213541666667
15,4,15,15,12.2141242578393,699.6015625
16.001,11,16,16,15.0082169988068,699.6015625
16.999,10,17,17,12.0224531334721,699.6015625
18,10,18,18,14.4235223240067,699.6015625
19,21,19,19,8.00299392002548,699.6015625
20,21,20,20,6.99099001207244,698.825520833333
21.001,20,21,21,9.00647205081572,699.6015625
22,22,22,22,13.0005733252836,699.6015625
23.001,17,23,23,16.01336315155,699.6015625
24,23,24,24,11.9874575231935,699.6015625
25,15,25,25,11.1108000087109,698.4375
26,13,26,26,12.2175686860605,699.6015625
27.001,25,27,27,8.01370905207539,699.6015625
28.001,16,28,28,7.98607547879517,699.6015625
29,18,29,29,6.99739137249633,699.6015625
30.001,12,30,30,11.0197650505947,699.6015625
31,21,31,31,11.9858854213278,699.6015625
32.001,9,32,32,9.00811000143429,699.213541666667
33.001,13,33,33,13.9949520208061,698.4375
34.001,8,34,34,14.4229990474164,698.825520833333
35,14,35,35,11.0179449269024,699.6015625
36.001,14,36,36,7.76835045292812,699.6015625
37.001,9,37,37,17.7772345844988,699.6015625
38.001,7,38,38,15.5551891444335,699.6015625
39,6,39,39,8.00426787563129,699.6015625
40,13,40,40,11.1000345100073,699.6015625
41.001,13,41,41,9.99835693667674,699.213541666667
42.001,11,42,42,12.9934733783221,698.4375
43.001,8,43,43,12.0169896199246,699.213541666667
44,7,44,44,7.0083286978245,698.825520833333
45,13,45,45,6.65972944849116,699.213541666667
46.001,11,46,46,6.66177914136995,699.6015625
47,15,47,47,10.0145371020573,699.6015625
48,13,48,48,11.0987618887163,698.4375
49,13,49,49,11.0137892641587,699.213541666667
50,8,50,50,11.102387102046,699.6015625
51.001,9,51,51,12.9965429195834,698.825520833333
52.001,6,52,52,11.0962236776769,698.825520833333
53,6,53,53,7.99956562358664,698.4375
54,11,54,54,8.87944510571645,698.4375
55,9,55,55,16.0116132230707,699.213541666667
56,6,56,56,9.99156489887759,699.6015625
57,5,57,57,11.0062240196831,699.6015625
