Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s
0,0,0,0,698.4375,
1,0,1,1,699.6015625,45.6055547989983
2.001,0,2,2,699.213541666667,38.8665017838614
3.001,1,3,3,699.6015625,36.0528282091749
4,9,4,4,699.6015625,38.8494868759773
5.001,11,5,5,699.213541666667,44.4345256708808
6.001,25,6,6,699.6015625,56.6188489032762
7.001,20,7,7,699.6015625,35.5190892905506
8.001,22,8,8,698.825520833333,43.0862586898972
9,17,9,9,699.6015625,43.3083636556656
10,18,10,10,699.213541666667,52.1776277430445
11.001,21,11,11,699.6015625,36.0284228227649
12,26,12,12,699.213541666667,44.4125019860716
13,23,13,13,698.825520833333,33.0187348301426
14.001,14,14,14,698.825520833333,37.9899022839729
15,24,15,15,699.213541666667,45.0488915620123
16,18,16,16,699.6015625,39.9845459729815
16.999,21,17,17,698.825520833333,47.9416981009394
18.001,26,18,18,699.213541666667,47.6164110514368
19.001,32,19,19,699.6015625,54.1206023502774
20.001,43,20,20,699.6015625,47.7217630328135
21,47,21,21,699.6015625,41.9929073979405
22,27,22,22,699.6015625,43.995789602935
23,25,23,23,699.6015625,34.4150769121461
24,30,24,24,699.6015625,47.1279665676211
24.999,30,25,25,699.6015625,47.7261275020145
26,29,26,26,699.213541666667,39.9920060423478
27,32,27,27,699.6015625,45.5451358405894
28.001,28,28,28,699.6015625,53.3270407425257
29,28,29,29,699.6015625,38.9786163310808
30,32,30,30,698.825520833333,50.0407982628237
31,39,31,31,699.213541666667,47.0304992787823
32,28,32,32,699.6015625,38.8434291289983
33,30,33,33,699.213541666667,41.0417024738837
34,31,34,34,699.6015625,39.929683826781
35,29,35,35,699.213541666667,62.032660195593
36,20,36,36,698.825520833333,41.0086938430947
36.999,31,37,37,699.213541666667,38.8634462860536
37.999,29,38,38,699.6015625,50.9857036087081
39,21,39,39,699.213541666667,48.8885901252826
40,28,40,40,698.825520833333,53.2962628216374
41,26,41,41,699.6015625,47.0596716636695
42,24,42,42,699.213541666667,39.9359161665248
43.001,23,43,43,699.213541666667,52.1941069965867
44,21,44,44,699.6015625,41.0818562647999
45.001,32,45,45,699.6015625,49.004640739478
46,28,46,46,699.213541666667,41.0794188404442
47,35,47,47,699.213541666667,51.0868732279241
48.001,13,48,48,698.4375,42.1650557766015
49,25,49,49,699.213541666667,46.0714337580418
50.001,30,50,50,698.825520833333,51.0375546531771
51.001,27,51,51,699.989583333333,42.1898391767741
52.001,28,52,52,702.317708333333,48.0920915461016
53,24,53,53,699.213541666667,44.0198441457409
54.001,27,54,54,699.989583333333,53.2482662697304
