Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s
0,0,0,0,699.6015625,
1,0,1,1,699.6015625,22.1777165907485
2,0,2,2,699.6015625,21.9867639680912
3,0,3,3,699.6015625,24.0497059322207
4.001,5,4,4,699.6015625,23.3253716064917
5.001,9,5,5,699.6015625,19.9612153585583
6,5,6,6,699.213541666667,20.0207755587974
7,7,7,7,699.6015625,22.2036846126467
8,9,8,8,699.213541666667,32.0098942583152
9.001,12,9,9,698.825520833333,20.0172148047321
10,6,10,10,699.213541666667,27.7750712513903
11.001,10,11,11,699.6015625,22.2121921834407
12,11,12,12,699.6015625,23.3288801093302
13,9,13,13,699.6015625,16.0077573592163
14.001,4,14,14,701.541666666667,22.9696318497315
15,10,15,15,698.825520833333,35.0458153944652
16,12,16,16,698.825520833333,18.8754977718585
17.001,18,17,17,698.825520833333,21.9987790677617
18,17,18,18,699.6015625,22.1949175414424
19.001,28,19,19,699.6015625,22.200694948354
20,26,20,20,699.6015625,26.0478551194254
21.001,36,21,21,698.4375,23.3188833985873
22,36,22,22,699.213541666667,20.0158565615681
23,46,23,23,699.213541666667,18.8814579862014
24,32,24,24,699.6015625,23.0038945593489
25,35,25,25,699.6015625,21.0807852304024
26,26,26,26,699.6015625,20.0107037254227
27,37,27,27,699.213541666667,23.3225324094353
28,95,28,28,699.6015625,24.0167324575031
29.001,143,29,29,699.6015625,24.0060231111986
30,185,30,30,699.6015625,14.016723352632
31.001,199,31,31,699.6015625,26.6341670641446
32,206,32,32,699.6015625,23.3237135972363
33.001,139,33,33,699.6015625,26.9684334486484
34,82,34,34,698.825520833333,20.0306930309313
35,54,35,35,699.6015625,21.9601708381508
36.001,38,36,36,699.6015625,29.0489445667004
37.001,19,37,37,698.825520833333,24.4213337222986
38,15,38,38,698.4375,29.017427867177
39,13,39,39,699.6015625,16.6426790186411
40.001,11,40,40,699.6015625,16.0054482545859
41.001,8,41,41,699.6015625,25.0748182426725
42.001,8,42,42,699.213541666667,18.8758729258469
43,8,43,43,699.213541666667,24.0061095548817
44,12,44,44,699.6015625,22.9796905494924
45.001,12,45,45,699.6015625,19.0229473814262
46.001,12,46,46,698.825520833333,21.0855577579482
47,8,47,47,699.6015625,26.0396192807356
48.001,6,48,48,699.6015625,25.5141319448913
49,11,49,49,699.6015625,26.6406358054141
50,9,50,50,699.213541666667,22.0255342018001
51,8,51,51,699.6015625,24.9937215771398
52.001,3,52,52,699.213541666667,25.9749367834976
53,12,53,53,698.825520833333,18.0247533938358
54.001,6,54,54,699.213541666667,19.9984156810688
55,4,55,55,699.6015625,15.5415198363078
56.001,3,56,56,698.4375,18.8727212576781
57,6,57,57,699.6015625,37.0377451660988
58.001,6,58,58,699.213541666667,26.005005963648
59,9,59,59,699.6015625,15.9914158079943
60,8,60,60,699.6015625,19.9940306710652
61,10,61,61,699.6015625,14.0228979901281
62,1,62,62,699.6015625,22.2035613624283
63.001,3,63,63,699.6015625,28.0201633095175
64,2,64,64,699.6015625,23.331871202738
65,4,65,65,699.6015625,18.0180847516652
