Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,698.4375,,
1.001,0,1,1,713.182291666667,1179.11906915523,8.25383348408659
2,1,2,2,714.734375,1146.98699396694,8.02890895776856
3,0,3,3,714.734375,1174.82378643905,8.22376650507336
4,0,4,4,720.942708333333,1163.63920611381,8.1454744427967
5,0,5,5,713.182291666667,1183.50651128236,8.28454557897649
6,1,6,6,714.734375,1207.01486992236,8.44910408945653
7.001,6,7,7,712.794270833333,1226.92683585451,8.58848785098157
8,53,8,8,719.778645833333,1182.7963768005,8.2795746376035
9.001,152,9,9,706.197916666667,1114.67106057003,7.80269742399018
9.999,202,10,10,715.122395833333,1202.80912970155,8.41966390791085
11,203,11,11,713.182291666667,1174.59259716066,8.22214818012461
12,218,12,12,717.0625,1224.04378590933,8.56830650136533
13,259,13,13,719.002604166667,1201.43141336747,8.41001989357228
14,278,14,14,717.838541666667,1218.81904639918,8.53173332479426
15,240,15,15,725.598958333333,1261.39264632516,8.82974852427609
15.999,291,16,16,717.0625,1240.83346784035,8.68583427488244
17.001,270,17,17,712.794270833333,1199.24873729102,8.39474116103712
18,273,18,18,715.510416666667,1221.78646394684,8.5525052476279
18.999,265,19,19,708.9140625,1220.34676725256,8.54242737076789
20,266,20,20,713.5703125,1215.81727237049,8.51072090659341
21,296,21,21,713.182291666667,1259.17160499187,8.8142012349431
22,299,22,22,717.450520833333,1168.12078457743,8.17684549204201
23,272,23,23,713.182291666667,1253.55461204634,8.77488228432438
24,302,24,24,716.674479166667,1220.85716381471,8.546000146703
25,303,25,25,715.122395833333,1202.60879136017,8.41826153952119
26,245,26,26,713.5703125,1193.95605821017,8.35769240747116
27.001,261,27,27,712.018229166667,1173.67542622351,8.21572798356455
28,252,28,28,714.346354166667,1155.94330303526,8.09160312124679
29,215,29,29,717.0625,1248.02816546411,8.73619715824875
30,230,30,30,717.450520833333,1245.87298319933,8.72111088239529
31,243,31,31,720.5546875,1215.81690738007,8.51071835166048
32,227,32,32,718.614583333333,1173.61822199239,8.2153275539467
33,257,33,33,714.734375,1304.36200393483,9.13053402754378
34,263,34,34,710.854166666667,1211.0209517643,8.47714666235013
35.001,264,35,35,716.286458333333,1137.68773223414,7.96381412563895
36.001,283,36,36,714.734375,1193.5018041732,8.35451262921238
37,320,37,37,708.138020833333,1210.05443041195,8.47038101288367
38.001,359,38,38,725.2109375,1197.8850673644,8.38519547155078
39,381,39,39,709.302083333333,1224.00810770149,8.56805675391046
40,409,40,40,708.138020833333,1209.60518486766,8.46723629407361
40.999,409,41,41,702.317708333333,1130.53900444456,7.91377303111189
42,388,42,42,722.494791666667,1177.93169017872,8.24552183125107
43,381,43,43,712.018229166667,1195.88070729071,8.37116495103496
43.999,358,44,44,709.690104166667,1182.39456639783,8.27676196478483
45,348,45,45,703.481770833333,1271.08228700257,8.89757600901797
46,325,46,46,711.630208333333,1258.10494971578,8.80673464801044
47,303,47,47,708.9140625,1213.60521422381,8.49523649956669
48,298,48,48,715.8984375,1219.81984091508,8.53873888640555
49.001,286,49,49,708.9140625,1256.95098335317,8.7986568834722
50,308,50,50,718.614583333333,1203.60846616596,8.42525926316169
51.001,275,51,51,718.614583333333,1217.60342656397,8.52322398594778
52,285,52,52,720.166666666667,1191.99002735066,8.34393019145463
53,317,53,53,716.674479166667,1235.59818347074,8.64918728429515
