Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,722.8828125,,
1,0,1,1,709.690104166667,629.080870414539,4.40356609290177
2.001,0,2,2,710.078125,825.441552905526,5.77809087033868
3,0,3,3,713.958333333333,886.159685975413,6.20311780182789
4,2,4,4,706.973958333333,837.038486785394,5.85926940749775
5.001,0,5,5,710.854166666667,930.480884714418,6.51336619300093
6.001,2,6,6,706.5859375,893.909374006176,6.25736561804323
7.001,0,7,7,714.346354166667,828.666958749279,5.80066871124495
8.001,18,8,8,708.9140625,923.692769577183,6.46584938704028
9,54,9,9,704.2578125,932.138890093332,6.52497223065332
10.001,83,10,10,708.9140625,779.614804234619,5.45730362964234
11,99,11,11,712.018229166667,899.129936591314,6.2939095561392
12,163,12,12,709.690104166667,888.268679957239,6.21788075970067
13,368,13,13,711.630208333333,916.818480041494,6.41772936029046
14.001,1024,14,14,709.302083333333,856.018576504182,5.99213003552928
15,2690,15,15,710.078125,853.756222067655,5.97629355447359
16.001,5536,16,16,708.138020833333,832.115988747659,5.82481192123361
17,7330,17,17,708.526041666667,836.763211725415,5.8573424820779
18,6849,18,18,710.854166666667,895.542520436647,6.26879764305653
19,4672,19,19,713.182291666667,909.619172772999,6.36733420941099
20,2248,20,20,717.838541666667,859.217639828168,6.01452347879718
21.001,990,21,21,717.0625,904.40327471934,6.33082292303538
22,440,22,22,712.018229166667,850.874784365807,5.95612349056065
23.001,267,23,23,710.078125,845.308819303521,5.91716173512465
24,232,24,24,703.09375,846.982382766438,5.92887667936507
25,258,25,25,712.018229166667,893.273540086101,6.25291478060271
26,283,26,26,703.869791666667,818.706807114451,5.73094764980116
27,309,27,27,709.690104166667,888.051329366837,6.21635930556786
28.001,245,28,28,706.973958333333,860.723594221802,6.02506515955261
29.001,234,29,29,706.5859375,852.668321430337,5.96867825001236
30.001,233,30,30,712.794270833333,870.326802218484,6.09228761552939
31,200,31,31,715.510416666667,890.522056812109,6.23365439768476
32.001,202,32,32,713.182291666667,842.933295745049,5.90053307021534
33.001,184,33,33,713.5703125,803.327888555422,5.62329521988795
34,215,34,34,710.466145833333,827.841302822249,5.79488911975574
35.001,220,35,35,715.8984375,859.200275476926,6.01440192833848
36,287,36,36,705.033854166667,828.340254531833,5.79838178172283
37.001,379,37,37,705.033854166667,800.555436687446,5.60388805681212
38,525,38,38,722.8828125,901.003190951128,6.3070223366579
39.001,778,39,39,713.182291666667,851.736983619458,5.96215888533621
40,1043,40,40,711.2421875,712.155279625937,4.98508695738156
41.001,1277,41,41,713.5703125,886.943951913651,6.20860766339556
42,1542,42,42,719.778645833333,849.930777859981,5.94951544501987
43.001,1680,43,43,708.526041666667,812.307133327111,5.68614993328978
44.001,1552,44,44,706.5859375,817.614046897765,5.72329832828435
45,1356,45,45,706.973958333333,870.981395576798,6.09686976903758
46,1112,46,46,705.033854166667,833.560796816158,5.8349255777131
47,713,47,47,708.526041666667,736.912970578175,5.15839079404722
48,497,48,48,712.018229166667,854.979412295358,5.98485588606751
49,329,49,49,721.71875,831.182689849387,5.81827882894571
50.001,212,50,50,708.138020833333,842.148206752051,5.89503744726436
51,140,51,51,712.40625,819.252750463494,5.73476925324446
52.001,118,52,52,710.466145833333,841.928941197363,5.89350258838154
53,108,53,53,709.302083333333,855.431736096705,5.98802215267694
54,93,54,54,709.690104166667,843.609577487539,5.90526704241277
55,99,55,55,708.9140625,859.577775396725,6.01704442777708
56,94,56,56,708.526041666667,758.392999252212,5.30875099476549
57,107,57,57,710.078125,826.268588822096,5.78388012175467
58,83,58,58,711.2421875,943.636010671192,6.60545207469835
59,96,59,59,715.8984375,848.654682409727,5.94058277686809
60,96,60,60,708.138020833333,883.915430781945,6.18740801547361
61,94,61,61,710.854166666667,885.669940602942,6.19968958422059
62,107,62,62,707.75,826.456379432345,5.78519465602641
63,96,63,63,703.869791666667,884.579505164422,6.19205653615095
64.001,85,64,64,709.690104166667,797.617309649017,5.58332116754312
64.999,76,65,65,717.838541666667,866.484031088114,6.0653882176168
66,93,66,66,709.302083333333,897.294435175363,6.28106104622754
67.001,107,67,67,714.346354166667,892.198538053267,6.24538976637287
68.001,90,68,68,709.690104166667,856.650229711209,5.99655160797846
69,100,69,69,714.734375,823.553881463546,5.76487717024482
70,99,70,70,708.9140625,882.050032115412,6.17435022480788
71,101,71,71,708.526041666667,835.873608362022,5.85111525853415
72,114,72,72,709.302083333333,819.557791032577,5.73690453722804
73,99,73,73,716.674479166667,754.173761634681,5.27921633144276
74,149,74,74,703.481770833333,826.607793822684,5.78625455675879
75.001,115,75,75,710.078125,888.166278314546,6.21716394820182
76,126,76,76,705.809895833333,840.650954409365,5.88455668086555
77.001,144,77,77,712.794270833333,827.970026153198,5.79579018307239
78,123,78,78,713.182291666667,780.809655679916,5.46566758975941
79.001,136,79,79,708.9140625,843.116117115838,5.90181281981087
80,143,80,80,711.2421875,827.316227246999,5.79121359072899
81,126,81,81,711.630208333333,843.931894696098,5.90752326287269
82,124,82,82,708.9140625,848.743329407896,5.94120330585527
82.999,139,83,83,703.481770833333,837.553220453227,5.86287254317259
84,134,84,84,707.75,821.193719598453,5.74835603718917
85,118,85,85,709.690104166667,883.289834972682,6.18302884480877
86,135,86,86,702.705729166667,769.891359774787,5.38923951842351
87,93,87,87,708.138020833333,671.531718814958,4.7007220317047
88,87,88,88,706.5859375,854.775050959024,5.98342535671317
88.999,100,89,89,706.973958333333,842.33642916981,5.89635500418867
90.001,121,90,90,711.630208333333,813.310379907056,5.69317265934939
91,102,91,91,717.0625,857.98445135949,6.00589115951643
92.001,112,92,92,708.526041666667,805.439124855396,5.63807387398777
93.001,98,93,93,710.466145833333,792.553115033195,5.54787180523237
94.001,110,94,94,707.361979166667,761.317012403965,5.32921908682776
95,97,95,95,710.854166666667,921.287868311112,6.44901507817778
96,92,96,96,706.973958333333,840.521407110791,5.88364984977554
97,85,97,97,703.481770833333,829.489846713682,5.80642892699578
98.001,84,98,98,713.958333333333,776.562888281444,5.43594021797011
99,75,99,99,714.346354166667,797.415613017505,5.58190929112253
100,77,100,100,710.078125,819.764481664418,5.73835137165092
,71,101,101,,,
,76,102,102,,,
,80,103,103,,,
,63,104,104,,,
,89,105,105,,,
,78,106,106,,,
,68,107,107,,,
,85,108,108,,,
,73,109,109,,,
,67,110,110,,,
,80,111,111,,,
,51,112,112,,,
,71,113,113,,,
,44,114,114,,,
