Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,707.75,,
1.001,0,1,1,710.854166666667,697.064616406825,4.87945231484777
2,1,2,2,707.361979166667,904.989940727154,6.33492958509008
3,0,3,3,715.510416666667,903.371975802422,6.32360383061695
4,0,4,4,717.450520833333,871.085814983979,6.09760070488785
5,0,5,5,705.421875,864.024861541265,6.04817403078885
6,0,6,6,712.018229166667,852.932549805208,5.97052784863646
7,2,7,7,712.794270833333,827.505317321305,5.79253722124914
8,0,8,8,712.40625,876.288866519349,6.13402206563544
9,0,9,9,712.794270833333,876.924286179751,6.13847000325826
10,0,10,10,707.361979166667,825.35719470976,5.77750036296832
10.999,2,11,11,714.346354166667,848.371077509303,5.93859754256512
12.001,0,12,12,705.809895833333,830.863052330932,5.81604136631652
13,1,13,13,705.809895833333,813.259983692735,5.69281988584915
14,0,14,14,701.153645833333,697.725393033484,4.88407775123439
15.001,0,15,15,705.421875,873.512746767351,6.11458922737146
16,4,16,16,706.197916666667,850.741270723508,5.95518889506456
17,14,17,17,706.197916666667,854.298919191825,5.98009243434278
18,27,18,18,709.690104166667,952.782095958483,6.66947467170938
19.001,47,19,19,712.40625,750.25223480134,5.25176564360938
20,49,20,20,709.690104166667,942.331945629442,6.5963236194061
21,48,21,21,713.5703125,884.42292348664,6.19096046440648
22,50,22,22,708.9140625,931.370126488266,6.51959088541786
23,51,23,23,709.690104166667,862.375138734739,6.03662597114317
24,78,24,24,708.9140625,902.03824602117,6.31426772214819
25,93,25,25,711.630208333333,767.735893519587,5.37415125463711
25.999,125,26,26,708.9140625,893.536412885306,6.25475489019714
27,223,27,27,712.40625,840.925830341764,5.88648081239235
28,416,28,28,704.2578125,729.212857233026,5.10449000063118
29.001,631,29,29,712.794270833333,827.91865854352,5.79543060980464
29.999,1124,30,30,712.018229166667,863.812085619856,6.04668459933899
31,1700,31,31,707.75,872.810251051421,6.10967175735995
32,2326,32,32,710.854166666667,900.338984137209,6.30237288896046
33.001,3091,33,33,708.138020833333,845.929298294986,5.9215050880649
34,3501,34,34,712.018229166667,884.361176655306,6.19052823658714
34.999,3914,35,35,713.182291666667,876.904000333944,6.13832800233761
36,3610,36,36,715.510416666667,837.842330724222,5.86489631506955
36.999,3251,37,37,710.466145833333,868.68860946072,6.08082026622504
38,2771,38,38,711.630208333333,835.451495430402,5.84816046801282
39.001,2007,39,39,703.869791666667,829.290035586201,5.80503024910341
40,1406,40,40,707.75,893.162898093317,6.25214028665322
41,980,41,41,708.138020833333,852.882899177943,5.9701802942456
42,610,42,42,706.197916666667,844.277465123565,5.90994225586495
43,388,43,43,710.466145833333,804.846396452903,5.63392477517032
44,252,44,44,708.526041666667,828.743950780164,5.80120765546114
44.999,160,45,45,710.466145833333,882.938659752424,6.18057061826697
46,133,46,46,708.526041666667,891.007328735056,6.23705130114539
46.999,112,47,47,713.5703125,695.461094212832,4.86822765948982
48.001,95,48,48,706.973958333333,824.662004961716,5.77263403473201
49,122,49,49,718.2265625,834.333756166126,5.84033629316288
50,123,50,50,705.809895833333,883.481320623476,6.18436924436433
51,126,51,51,714.734375,812.243870262921,5.68570709184044
