Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,713.5703125,,
1,0,1,1,714.734375,1201.99824775838,8.41398773430869
2.001,0,2,2,714.346354166667,1092.47527861624,7.6473269503137
3.001,0,3,3,713.182291666667,1141.43222429721,7.99002557008044
4,0,4,4,716.286458333333,1271.33140681316,8.8993198476921
5,0,5,5,714.346354166667,1257.85245390716,8.8049671773501
6,1,6,6,715.8984375,1173.96573618642,8.21776015330494
7,0,7,7,720.166666666667,1158.11858171685,8.10683007201793
8.001,0,8,8,715.510416666667,1214.60534643761,8.50223742506329
9,0,9,9,713.182291666667,1204.63812670674,8.43246688694716
10,0,10,10,710.466145833333,1221.81855994385,8.55272991960694
11,0,11,11,717.0625,1222.21376518753,8.55549635631272
12,0,12,12,712.794270833333,1214.03775657423,8.49826429601961
13,0,13,13,716.286458333333,1212.92746693748,8.49049226856234
14,1,14,14,723.270833333333,1223.60206218001,8.56521443526008
15.001,5,15,15,716.286458333333,1210.61959955369,8.47433719687585
16.001,15,16,16,710.466145833333,1159.42446529675,8.11597125707722
17,53,17,17,709.302083333333,1209.48865507416,8.46642058551912
18.001,76,18,18,708.9140625,1187.07882683038,8.30955178781266
19.001,89,19,19,713.958333333333,1172.16400474332,8.20514803320324
20,88,20,20,710.466145833333,1244.71421022084,8.71299947154589
21.001,113,21,21,708.526041666667,1180.47077174377,8.2632954022064
22,99,22,22,722.8828125,1203.81909102845,8.42673363719917
23,112,23,23,714.734375,1274.10112165867,8.91870785161069
24,108,24,24,711.630208333333,1150.50161870576,8.05351133094029
25,121,25,25,717.450520833333,1146.9458597142,8.02862101799939
26.001,137,26,26,710.466145833333,1239.76816035215,8.67837712246508
27,97,27,27,709.690104166667,1172.58121289715,8.20806849028006
27.999,129,28,28,720.166666666667,1248.78063630931,8.74146445416519
29,110,29,29,716.674479166667,1255.05632204079,8.78539425428552
30.001,114,30,30,715.8984375,1145.67012663481,8.01969088644368
31.001,150,31,31,717.450520833333,1208.61955019726,8.46033685138085
32,132,32,32,715.510416666667,1202.75971418273,8.41931799927914
33,136,33,33,714.734375,1217.20948175181,8.52046637226267
34,131,34,34,711.2421875,1194.6413177064,8.36248922394478
35,187,35,35,717.838541666667,1175.57246993548,8.22900728954838
36,161,36,36,710.854166666667,1201.60058796456,8.41120411575192
37,138,37,37,717.450520833333,1230.13221368948,8.61092549582636
38,139,38,38,712.40625,1185.80300681004,8.30062104767028
38.999,159,39,39,713.958333333333,1219.16852706454,8.5341796894518
40,138,40,40,710.466145833333,1275.05383199214,8.92537682394499
40.999,140,41,41,711.2421875,1241.47599080547,8.69033193563828
42,151,42,42,711.630208333333,1187.20108468017,8.31040759276118
43.001,153,43,43,715.122395833333,1201.85601764909,8.4129921235436
44,150,44,44,712.018229166667,1288.68427446353,9.02078992124473
45,125,45,45,708.138020833333,1232.14007412377,8.62498051886639
46,154,46,46,713.5703125,1267.2127225755,8.87048905802853
47,153,47,47,710.854166666667,1237.48769390017,8.66241385730116
48,153,48,48,712.794270833333,1254.84853978125,8.78393977846874
49.001,144,49,49,710.466145833333,1227.30424872326,8.59112974106281
50,138,50,50,712.40625,1291.68379580679,9.0417865706475
51.001,149,51,51,711.630208333333,1222.87765929608,8.56014361507254
52,125,52,52,709.302083333333,1140.71014754886,7.98497103284202
53.001,121,53,53,714.734375,1188.38732336129,8.31871126352904
54.001,133,54,54,713.958333333333,1223.24267647274,8.56269873530916
55,131,55,55,713.958333333333,1111.87629124147,7.78313403869029
56,97,56,56,716.674479166667,1266.75424035157,8.86727968246102
57.001,124,57,57,713.182291666667,1172.99155446081,8.21094088122566
57.999,114,58,58,714.346354166667,1219.08676855627,8.53360737989386
59,125,59,59,720.5546875,1187.34940849673,8.31144585947714
60,112,60,60,718.2265625,1268.55117237678,8.87985820663743
61,110,61,61,714.346354166667,1223.20435322987,8.56243047260905
62.001,112,62,62,714.734375,1189.23680627853,8.32465764394971
63,127,63,63,717.0625,1214.05446317189,8.4983812422032
64.001,135,64,64,715.510416666667,1161.59766987505,8.13118368912537
65,133,65,65,715.510416666667,1207.47510401837,8.45232572812859
66,141,66,66,715.510416666667,1277.0600875787,8.93942061305089
