Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,699.6015625,,
1.001,0,1,1,701.9296875,39.1475111,0.274032578
2,0,2,2,699.2135417,48.08859362,0.336620155
3.001,0,3,3,699.6015625,43.24558324,0.302719083
4,0,4,4,698.4375,43.03453521,0.301241747
5,0,5,5,698.8255208,33.32564252,0.233279498
6.001,0,6,6,700.765625,44.01857144,0.30813
7.001,0,7,7,699.6015625,37.72818617,0.264097303
8,0,8,8,699.6015625,44.04069801,0.308284886
9,0,9,9,699.2135417,48.8825233,0.342177663
10.001,0,10,10,699.6015625,49.96260577,0.34973824
11,0,11,11,699.9895833,45.02424556,0.315169719
12,0,12,12,699.2135417,37.75979992,0.264318599
13,0,13,13,698.8255208,33.95689173,0.237698242
14,0,14,14,699.2135417,37.05373162,0.259376121
15,0,15,15,698.8255208,35.97203175,0.251804222
16.001,0,16,16,699.6015625,51.13744723,0.357962131
17,1,17,17,698.8255208,44.31376807,0.310196376
18,5.333333333,18,18,698.8255208,30.99302037,0.216951143
19,4.333333333,19,19,699.2135417,37.97725542,0.265840788
20,2.666666667,20,20,699.6015625,38.07152497,0.266500675
21.001,3,21,21,698.8255208,42.21022983,0.295471609
22,2.666666667,22,22,699.6015625,46.0922675,0.322645873
23,6,23,23,699.6015625,35.48396075,0.248387725
24,6.333333333,24,24,699.6015625,48.82427268,0.341769909
25.001,2.666666667,25,25,699.6015625,45.07775462,0.315544282
26,4.333333333,26,26,698.4375,50.02122901,0.350148603
27,4.333333333,27,27,699.6015625,34.93835825,0.244568508
28,6.333333333,28,28,699.6015625,46.04849367,0.322339456
29.001,2,29,29,699.2135417,53.33153191,0.373320723
30,9,30,30,700.3776042,39.974708,0.279822956
31,5,31,31,699.6015625,42.98361465,0.300885303
32,8.666666667,32,32,698.4375,48.06047931,0.336423355
33.001,4.333333333,33,33,699.2135417,51.07813166,0.357546922
34,7.333333333,34,34,699.2135417,36.62530449,0.256377131
35.001,5,35,35,699.6015625,36.04962952,0.252347407
36.001,5.333333333,36,36,698.8255208,55.54604484,0.388822314
37,5.666666667,37,37,698.4375,42.01171707,0.294082019
38.001,4.333333333,38,38,699.6015625,34.40169079,0.240811836
39.001,8.333333333,39,39,699.6015625,41.02896645,0.287202765
40,7.333333333,40,40,698.8255208,44.97627951,0.314833957
41.002,3.333333333,41,41,699.2135417,31.99658596,0.223976102
42,4.666666667,42,42,699.2135417,43.99340539,0.307953838
43,6.666666667,43,43,699.6015625,40.01263199,0.280088424
44,3.666666667,44,44,699.2135417,47.75459557,0.334282169
45,6,45,45,698.4375,30.00974116,0.210068188
46,7.333333333,46,46,698.4375,45.51382444,0.318596771
47,4.333333333,47,47,698.8255208,49.97950285,0.34985652
48,3.666666667,48,48,699.2135417,33.99112492,0.237937874
49,6,49,49,698.4375,55.0671985,0.38547039
50,4.666666667,50,50,698.4375,45.97441064,0.321820875
51,5,51,51,699.6015625,46.97828194,0.328847974
52,5.666666667,52,52,699.2135417,51.98629122,0.363904039
53,7.666666667,53,53,699.6015625,44.03392814,0.308237497
54.001,7.333333333,54,54,699.2135417,35.99840527,0.251988837
55.001,3.666666667,55,55,699.6015625,58.91611524,0.412412807
56,3.333333333,56,56,699.6015625,48.0764608,0.336535226
57,5,57,57,699.6015625,43.98387551,0.307887129
58,4,58,58,699.6015625,35.5322464,0.248725725
59,3.666666667,59,59,699.6015625,40.99289593,0.286950272
60,4,60,60,698.4375,38.04414643,0.266309025
61,5,61,61,699.6015625,38.88239121,0.272176738
62.001,4.333333333,62,62,698.8255208,50.04428419,0.350309989
63,7.666666667,63,63,699.2135417,44.42506031,0.310975422
64,3.333333333,64,64,699.2135417,42.16620208,0.295163415
65.001,3.666666667,65,65,699.2135417,39.03807774,0.273266544
66.001,5.666666667,66,66,699.6015625,43.26340525,0.302843837
67,4.333333333,67,67,698.8255208,31.99428582,0.223960001
68,6.666666667,68,68,699.6015625,37.99357529,0.265955027
69,6.666666667,69,69,699.6015625,40.10361571,0.28072531
70,3,70,70,699.6015625,41.03742158,0.287261951
71,4.333333333,71,71,699.2135417,47.04823856,0.32933767
72,6,72,72,699.2135417,48.8350347,0.341845243
73,5.333333333,73,73,699.6015625,39.01768281,0.27312378
74,10.33333333,74,74,700.765625,43.32668991,0.303286829
75.001,6.666666667,75,75,699.2135417,35.01275865,0.245089311
76.001,8,76,76,699.2135417,49.98857483,0.349920024
77,6,77,77,699.6015625,56.9650007,0.398755005
78,12,78,78,699.6015625,42.03317679,0.294232238
79,9.666666667,79,79,698.8255208,46.96000886,0.328720062
80.001,7.666666667,80,80,699.6015625,32.02017912,0.224141254
81,9,81,81,699.2135417,51.08203975,0.357574278
82,11.33333333,82,82,699.6015625,42.22140125,0.295549809
83,10,83,83,699.6015625,48.03774325,0.336264203
84,11,84,84,699.6015625,35.99859605,0.251990172
85,9,85,85,698.8255208,46.64665525,0.326526587
86.001,8.333333333,86,86,699.9895833,43.99893963,0.307992577
87,8.333333333,87,87,700.3776042,27.01743705,0.189122059
88,11.66666667,88,88,698.8255208,46.6561483,0.326593038
89.001,8.333333333,89,89,699.6015625,36.99646314,0.258975242
90,4.333333333,90,90,702.3177083,41.08794208,0.287615595
91,7.666666667,91,91,698.8255208,41.99122383,0.293938567
92.002,9.666666667,92,92,699.2135417,43.07102843,0.301497199
93.001,10,93,93,698.8255208,45.46246863,0.31823728
94.001,8.333333333,94,94,699.2135417,47.01767394,0.329123718
95,6.333333333,95,95,699.6015625,38.01448732,0.266101411
96,4.333333333,96,96,699.2135417,51.10571094,0.357739977
97.001,5.333333333,97,97,699.6015625,41.07442252,0.287520958
98,9.666666667,98,98,699.6015625,34.4060473,0.240842331
99,8.333333333,99,99,699.2135417,43.31198053,0.303183864
100,5.666666667,100,100,700.3776042,34.05443943,0.238381076
101.001,7.666666667,101,101,699.2135417,43.24966925,0.302747685
102,8.333333333,102,102,699.6015625,41.10952154,0.287766651
103.001,6.333333333,103,103,701.1536458,37.00635399,0.259044478
104.001,8.333333333,104,104,698.8255208,42.16312358,0.295141865
105,6.666666667,105,105,698.4375,41.04856456,0.287339952
106,5.666666667,106,106,699.6015625,44.41758168,0.310923072
107,6,107,107,699.6015625,44.05278846,0.308369519
108,8.333333333,108,108,698.8255208,45.53275376,0.318729276
109.001,8.333333333,109,109,699.2135417,31.09913794,0.217693966
110,6.333333333,110,110,699.6015625,45.0110142,0.315077099
111,7.333333333,111,111,698.4375,29.97874507,0.209851215
112.001,3.666666667,112,112,699.2135417,54.99080004,0.3849356
113,5,113,113,699.2135417,38.99238479,0.272946694
114,6.666666667,114,114,700.3776042,47.10236285,0.32971654
115,9.666666667,115,115,699.6015625,43.24180005,0.3026926
116,8.333333333,116,116,698.8255208,46.64628742,0.326524012
117,6.333333333,117,117,699.9895833,49.0371898,0.343260329
118,3.666666667,118,118,699.6015625,55.50770175,0.388553912
119,8.666666667,119,119,698.8255208,49.9296879,0.349507815
120.001,4.666666667,120,120,698.4375,51.02652869,0.357185701
121.001,4.666666667,121,121,699.2135417,29.05807547,0.203406528
122,5.333333333,122,122,699.6015625,29.98306623,0.209881464
123.001,7,123,123,699.9895833,44.4258843,0.31098119
124.001,7.333333333,124,124,699.6015625,47.76596897,0.334361783
125,3.666666667,125,125,699.2135417,45.49741491,0.318481904
126,7,126,126,699.6015625,46.05500349,0.322385024
127,6,127,127,699.6015625,42.17178009,0.295202461
128.001,5.333333333,128,128,700.765625,41.02467224,0.287172706
129,5.333333333,129,129,699.6015625,35.50522887,0.248536602
130.001,6.666666667,130,130,699.2135417,48.06527745,0.336456942
131.001,8.666666667,131,131,698.8255208,45.53124187,0.318718693
132,5,132,132,699.6015625,42.02642201,0.294184954
133,8,133,133,700.3776042,38.84161433,0.2718913
134,6,134,134,698.4375,41.08789189,0.287615243
135,6,135,135,699.2135417,42.04191158,0.294293381
136,3.333333333,136,136,699.6015625,52.01038127,0.364072669
137,6.666666667,137,137,698.4375,38.96266597,0.272738662
138,7.666666667,138,138,699.6015625,35.03131449,0.245219201
139,8.666666667,139,139,700.3776042,34.42913878,0.241003971
139.999,5,140,140,699.2135417,36.97753615,0.258842753
141,9.333333333,141,141,699.6015625,45.52845601,0.318699192
142,8.333333333,142,142,699.2135417,38.87567116,0.272129698
143,6,143,143,699.2135417,58.10593875,0.406741571
144,5.666666667,144,144,699.6015625,43.28012283,0.30296086
145.001,8,145,145,699.6015625,46.04408721,0.32230861
146,6.333333333,146,146,699.2135417,31.10037457,0.217702622
147.001,11,147,147,699.6015625,40.05867394,0.280410718
148,5,148,148,698.4375,37.72592977,0.264081508
149,5,149,149,698.4375,49.94470566,0.34961294
150,8,150,150,698.8255208,37.75628187,0.264293973
151,5.666666667,151,151,699.2135417,50.09370529,0.350655937
152,8.333333333,152,152,698.8255208,44.35754309,0.310502802
153,9,153,153,699.6015625,45.54775677,0.318834297
154,7.666666667,154,154,699.2135417,53.31763425,0.37322344
155,7.666666667,155,155,698.4375,37.76977059,0.264388394
156.001,4.666666667,156,156,699.2135417,42.15780042,0.295104603
157,6.666666667,157,157,699.2135417,47.13628041,0.329953963
158,6.666666667,158,158,699.6015625,48.89950662,0.342296546
159.001,4.666666667,159,159,699.2135417,48.99352795,0.342954696
160,6.333333333,160,160,699.6015625,50.04997991,0.350349859
161,5.333333333,161,161,699.6015625,50.0092117,0.350064482
162.001,3.333333333,162,162,699.6015625,56.63118408,0.396418289
163,6,163,163,699.2135417,33.28209001,0.23297463
164,7.333333333,164,164,698.4375,29.05618595,0.203393302
165,6.333333333,165,165,699.2135417,43.28044463,0.302963112
166,7.666666667,166,166,698.8255208,38.99298516,0.272950896
167,6.666666667,167,167,698.8255208,43.0581759,0.301407231
168,7.333333333,168,168,699.2135417,38.86385193,0.272046964
169,5.666666667,169,169,698.8255208,37.97783613,0.265844853
170,7,170,170,699.6015625,44.98694029,0.314908582
171.001,7.333333333,171,171,699.2135417,53.31554964,0.373208847
172,4.333333333,172,172,698.8255208,50.0891587,0.350624111
173,6,173,173,699.2135417,46.56737468,0.325971623
174.001,5.333333333,174,174,699.6015625,47.70658365,0.333946086
175,7.333333333,175,175,700.3776042,50.11309523,0.350791667
176.001,6,176,176,699.6015625,42.09306666,0.294651467
177,7.333333333,177,177,699.2135417,51.01400845,0.357098059
178,6.666666667,178,178,699.6015625,42.10473975,0.294733178
179,7.333333333,179,179,698.8255208,36.52488518,0.255674196
180,5.666666667,180,180,699.6015625,40.05405294,0.280378371
181,6.666666667,181,181,698.8255208,53.02267249,0.371158707
182.001,5,182,182,699.9895833,41.10672639,0.287747085
183,9,183,183,699.9895833,32.17991993,0.22525944
184.001,6.666666667,184,184,698.8255208,36.06532874,0.252457301
185,6.666666667,185,185,699.6015625,42.03234389,0.294226407
186,6,186,186,699.2135417,49.98098501,0.349866895
187,4.333333333,187,187,698.8255208,43.22666433,0.30258665
188,6.333333333,188,188,698.4375,48.8371649,0.341860154
189,6.666666667,189,189,698.4375,52.06144291,0.3644301
190,6.666666667,190,190,699.2135417,43.02738693,0.301191709
191,6.333333333,191,191,699.2135417,43.94454199,0.307611794
192.001,8.333333333,192,192,699.2135417,54.00760967,0.378053268
193,5.666666667,193,193,698.4375,43.03563781,0.301249465
194,10.33333333,194,194,699.6015625,42.03356801,0.294234976
195,6.333333333,195,195,698.8255208,47.74393263,0.334207528
196,4.666666667,196,196,699.2135417,42.9726565,0.300808595
197.001,7,197,197,701.1536458,43.9995688,0.307996982
198,7.333333333,198,198,699.6015625,48.04235895,0.336296513
199,7,199,199,698.8255208,52.16755063,0.365172854
200,7.666666667,200,200,699.6015625,44.08459834,0.308592188
201,5.666666667,201,201,699.2135417,46.60995271,0.326269669
202,7,202,202,699.6015625,38.95979349,0.272718554
203,7.333333333,203,203,698.8255208,46.66519931,0.326656395
204.001,5,204,204,698.8255208,48.00706184,0.336049433
205,10.33333333,205,205,699.6015625,40.02177585,0.280152431
206,5.333333333,206,206,700.3776042,37.96149186,0.265730443
207,6,207,207,699.2135417,29.06703439,0.203469241
208,6.666666667,208,208,699.6015625,49.88720503,0.349210435
209.001,8.666666667,209,209,699.6015625,48.02919695,0.336204379
210.001,9.666666667,210,210,699.6015625,39.97066597,0.279794662
211,9,211,211,700.3776042,40.9979583,0.286985708
212,9.333333333,212,212,698.4375,38.03356462,0.266234952
213,6.666666667,213,213,699.6015625,39.92368809,0.279465817
214,4.666666667,214,214,699.6015625,37.05708644,0.259399605
215,7.666666667,215,215,698.8255208,41.10336541,0.287723558
216,6.666666667,216,216,699.6015625,37.96474594,0.265753222
217,5.666666667,217,217,699.6015625,37.01041843,0.259072929
217.999,7.666666667,218,218,699.6015625,38.88429622,0.272190074
219,7.666666667,219,219,699.6015625,34.04749967,0.238332498
220.001,6.333333333,220,220,700.765625,59.94868992,0.419640829
221,8.666666667,221,221,698.8255208,42.94473442,0.300613141
222.001,5.333333333,222,222,699.6015625,43.08245983,0.301577219
