Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,698.4375,,
1.001,0,1,1,715.510416666667,1223.62629504402,8.56538406530813
2,2,2,2,702.705729166667,1177.49808168855,8.24248657181988
2.999,0,3,3,712.018229166667,1267.59323363334,8.87315263543338
4,0,4,4,715.8984375,1388.61216062354,9.72028512436477
5.001,0,5,5,713.958333333333,1201.36787746528,8.40957514225697
6.001,0,6,6,717.0625,1156.02460224488,8.09217221571419
7.001,0,7,7,717.0625,1337.5556206048,9.36288934423359
8.001,0,8,8,718.2265625,1278.28326857332,8.94798288001324
9.001,0,9,9,713.958333333333,1238.06585022423,8.66646095156964
10,0,10,10,712.018229166667,1273.57693034945,8.91503851244614
11.001,0,11,11,714.346354166667,1292.82439220345,9.04977074542414
12,1,12,12,712.018229166667,1357.96836724268,9.50577857069877
13,0,13,13,715.510416666667,1308.26845668731,9.15787919681119
13.999,2,14,14,712.40625,1147.84228666996,8.03489600668971
15,13,15,15,714.346354166667,1234.18234668813,8.63927642681689
16,22,16,16,716.286458333333,1345.21076484427,9.41647535390986
17.001,39,17,17,713.182291666667,1324.27449588414,9.26992147118898
18.001,68,18,18,715.510416666667,1205.69835691958,8.43988849843703
19.001,97,19,19,717.450520833333,1181.58639745302,8.2711047821711
20.001,118,20,20,718.2265625,1351.54887501076,9.46084212507534
21.001,103,21,21,715.510416666667,1222.91647824468,8.56041534771277
22.001,135,22,22,714.346354166667,1262.31242622955,8.83618698360686
23,132,23,23,721.71875,1320.55304317565,9.24387130222954
24,139,24,24,713.182291666667,1320.96707201443,9.24676950410098
25,148,25,25,721.71875,1400.49119373542,9.80343835614792
26,149,26,26,719.002604166667,1340.82893955795,9.38580257690562
27,133,27,27,715.8984375,1313.18907968,9.19232355776002
28,158,28,28,708.9140625,1301.64617147767,9.11152320034367
29.001,219,29,29,712.018229166667,1267.64383007973,8.87350681055813
30,237,30,30,713.5703125,1247.73667338972,8.73415671372802
31,312,31,31,714.734375,1229.29939697761,8.60509577884327
32,351,32,32,710.854166666667,1331.88818116728,9.32321726817097
33.001,518,33,33,709.690104166667,1250.78382082827,8.75548674579789
34.001,572,34,34,711.630208333333,1271.1136226448,8.89779535851359
35.001,664,35,35,718.2265625,1203.31653574494,8.42321575021458
36.001,717,36,36,710.078125,1097.6908244024,7.68383577081679
