Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,706.5859375,,
1.001,0,1,1,699.6015625,25.2464792732717,0.176725354912902
1.999,0,2,2,698.825520833333,33.0165677136787,0.231115973995751
3,0,3,3,699.6015625,31.0936882811109,0.217655817967777
4,0,4,4,699.6015625,35.0086331289296,0.245060431902507
5,0,5,5,698.4375,34.9753773343566,0.244827641340496
6,0,6,6,698.4375,53.0183602581574,0.371128521807102
7.001,0,7,7,699.6015625,43.9732686499877,0.307812880549914
8,0,8,8,699.6015625,31.026505944028,0.217185541608196
9,0,9,9,699.6015625,26.6429159872261,0.186500411910582
10.001,0,10,10,699.213541666667,32.0455976809402,0.224319183766581
10.999,0,11,11,699.6015625,44.4210542915236,0.310947380040665
12,0,12,12,699.989583333333,38.8682239498222,0.272077567648756
13,0,13,13,699.6015625,36.9950611593352,0.258965428115347
14,0,14,14,699.6015625,24.0234925733875,0.168164448013713
15,0,15,15,698.4375,29.9874485867971,0.209912140107579
16,0,16,16,699.6015625,36.6581334678205,0.256606934274744
17,0,17,17,698.825520833333,33.0254560215014,0.23117819215051
18.001,2,18,18,699.6015625,33.2962819706737,0.233073973794716
19,3,19,19,698.825520833333,28.004259447862,0.196029816135034
20,20,20,20,702.317708333333,32.1921011462497,0.225344708023748
21.001,25,21,21,699.6015625,38.0117874552899,0.266082512187029
21.999,57,22,22,699.213541666667,30.0126473295847,0.210088531307093
23.001,84,23,23,699.213541666667,22.1930703913149,0.155351492739204
24.001,132,24,24,701.541666666667,42.1128540262195,0.294789978183536
25,211,25,25,699.6015625,37.7568101625342,0.264297671137739
26,259,26,26,699.6015625,38.8741124068285,0.272118786847799
27,293,27,27,699.213541666667,32.0013568575308,0.224009498002715
28,278,28,28,699.6015625,41.08570644929,0.28759994514503
29,243,29,29,699.6015625,38.0691373603602,0.266483961522521
30.001,210,30,30,699.989583333333,36.6196876762323,0.256337813733626
31.001,140,31,31,698.825520833333,43.3031366127354,0.303121956289148
32,114,32,32,698.4375,44.0740797131819,0.308518557992273
33.001,66,33,33,699.6015625,32.1746680628254,0.225222676439778
34.001,33,34,34,698.4375,35.5284710178163,0.248699297124714
35.001,13,35,35,699.6015625,23.3319334173283,0.163323533921298
36.001,7,36,36,698.825520833333,38.0061836060727,0.266043285242509
37.001,2,37,37,699.6015625,36.9900237905837,0.258930166534086
38,3,38,38,699.6015625,34.0651427725239,0.238455999407667
39,3,39,39,699.213541666667,33.3172744070691,0.233220920849484
39.999,1,40,40,699.6015625,24.4405448197377,0.171083813738164
41,0,41,41,699.6015625,38.0484242295169,0.266338969606618
42,3,42,42,699.6015625,33.2811263398149,0.232967884378705
43.001,2,43,43,699.6015625,27.7702427852354,0.194391699496648
44.001,0,44,44,698.4375,34.0331108135105,0.238231775694573
45.001,0,45,45,698.825520833333,33.3174446141907,0.233222112299335
46,1,46,46,700.765625,31.9881771697181,0.223917240188027
47.001,2,47,47,699.6015625,36.6615666353969,0.256630966447779
47.999,3,48,48,699.6015625,35.0277419716415,0.245194193801491
49,1,49,49,699.6015625,42.0383010961287,0.294268107672901
50,1,50,50,698.825520833333,36.6244021066356,0.256370814746449
51.001,3,51,51,699.6015625,23.9629173853462,0.167740421697423
52.001,0,52,52,699.6015625,34.0248755865413,0.238174129105789
53.001,3,53,53,699.6015625,28.0406140253543,0.19628429817748
54.001,0,54,54,699.213541666667,32.184987767485,0.225294914372395
55,3,55,55,699.213541666667,35.064199042026,0.245449393294182
56,4,56,56,699.6015625,41.0698404847396,0.287488883393177
57.001,3,57,57,699.6015625,27.761540361282,0.194330782528974
58,0,58,58,699.6015625,33.3127941450321,0.233189559015225
59.001,4,59,59,699.6015625,39.0251321851272,0.273175925295891
60,3,60,60,699.6015625,27.0280984111082,0.189196688877757
60.999,3,61,61,699.213541666667,26.6552108493816,0.186586475945671
62.001,0,62,62,698.4375,41.0708525487572,0.2874959678413
63.001,2,63,63,698.825520833333,29.0311446119397,0.203218012283578
