Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,699.6015625,,
1,0,1,1,708.9140625,780.279861082658,5.4619590275786
2,0,2,2,717.0625,1065.76329967523,7.46034309772659
3,0,3,3,708.138020833333,1342.13928607584,9.39497500253088
4,1,4,4,715.510416666667,1262.14873711797,8.83504115982581
5.001,0,5,5,705.421875,1033.17253981415,7.23220777869904
6.001,0,6,6,716.286458333333,1173.16095768339,8.21212670378376
7,0,7,7,724.046875,1109.21800130908,7.76452600916354
8,0,8,8,715.122395833333,1256.46981839356,8.7952887287549
9.001,0,9,9,724.822916666667,1291.8877668337,9.04321436783588
9.999,0,10,10,715.122395833333,1176.77788012504,8.2374451608753
11.001,0,11,11,716.674479166667,863.949328870731,6.04764530209512
12.001,1,12,12,713.5703125,994.507896736782,6.96155527715747
13,1,13,13,713.958333333333,875.914742522142,6.13140319765499
14,1,14,14,714.734375,1158.91470387779,8.11240292714456
15.001,0,15,15,724.046875,1115.3245594468,7.80727191612759
16,3,16,16,718.614583333333,834.091909607951,5.83864336725566
17,12,17,17,713.182291666667,1019.78860723824,7.13852025066765
18,19,18,18,717.450520833333,1079.49786152916,7.55648503070411
19.001,25,19,19,713.5703125,935.893618537754,6.55125532976428
20,31,20,20,712.794270833333,1417.92809862852,9.9254966903996
21,33,21,21,715.8984375,1218.03518156386,8.52624627094698
22,33,22,22,708.526041666667,1029.87012193462,7.20909085354236
23,60,23,23,711.630208333333,980.879161992894,6.86615413395026
24,77,24,24,715.510416666667,1366.38564668533,9.56469952679732
25,108,25,25,708.9140625,914.344415054406,6.40041090538084
26,158,26,26,710.078125,1064.95899557552,7.45471296902861
27,252,27,27,714.734375,1270.00990028174,8.89006930197218
28,373,28,28,712.018229166667,1268.62445116996,8.88037115818969
29,602,29,29,710.854166666667,1243.60576036587,8.70524032256112
30,794,30,30,719.002604166667,1297.89164712434,9.08524152987036
31.001,1100,31,31,712.794270833333,1081.34248669723,7.56939740688064
32,1328,32,32,713.182291666667,1182.08168584402,8.27457180090811
33.001,1422,33,33,716.286458333333,1252.18452359874,8.76529166519117
34.001,1592,34,34,712.018229166667,1192.96833239541,8.35077832676784
35,1505,35,35,705.809895833333,964.054166457289,6.74837916520102
36,1413,36,36,713.5703125,850.14562994641,5.95101940962487
37,1161,37,37,716.286458333333,1016.58829964901,7.11611809754305
38,806,38,38,705.809895833333,1025.52487432572,7.17867412028007
39,565,39,39,722.494791666667,1167.74478762555,8.17421351337883
40.001,363,40,40,710.078125,1139.8595681003,7.97901697670213
41,207,41,41,714.734375,1182.23864984354,8.27567054890475
42,129,42,42,714.734375,1247.69386919682,8.73385708437775
43.001,98,43,43,703.481770833333,1153.23261768472,8.07262832379306
44,67,44,44,714.734375,1190.48200750803,8.33337405255623
45,79,45,45,712.40625,1285.07286363137,8.99551004541958
46.001,85,46,46,699.6015625,146.533467744487,1.02573427421141
47.001,95,47,47,719.778645833333,1048.67294795387,7.34071063567709
47.999,164,48,48,720.942708333333,1115.94266786248,7.81159867503738
49,232,49,49,707.361979166667,986.608836312889,6.90626185419022
50.001,359,50,50,720.942708333333,1064.66228912189,7.45263602385323
51,531,51,51,709.302083333333,1414.36571141984,9.90055997993889
52,753,52,52,715.8984375,1100.94451494904,7.70661160464328
53,1141,53,53,712.794270833333,1278.93259765021,8.95252818355145
54,1479,54,54,722.494791666667,1288.75886743871,9.02131207207095
55,2018,55,55,712.40625,1212.38379611897,8.48668657283282
56,2732,56,56,713.182291666667,1170.97214107152,8.19680498750062
57,3393,57,57,718.2265625,1269.3632961801,8.88554307326068
58.001,3990,58,58,712.018229166667,1208.14943337091,8.45704603359636
59,4678,59,59,720.942708333333,1349.86231404397,9.44903619830777
60.001,5288,60,60,713.958333333333,1277.51286558678,8.94259005910745
60.999,5761,61,61,727.151041666667,965.009882842395,6.75506917989676
62,6019,62,62,712.794270833333,1454.46515258914,10.181256068124
62.999,6326,63,63,720.166666666667,1239.54347954072,8.67680435678507
64,6439,64,64,717.450520833333,930.814979449663,6.51570485614764
65.001,6290,65,65,719.002604166667,1242.45740253317,8.6972018177322
66.001,6114,66,66,719.390625,1062.65140531146,7.43855983718019
67,5578,67,67,705.809895833333,600.248886932193,4.20174220852535
68,5054,68,68,713.5703125,1060.54999381596,7.42384995671173
69,4579,69,69,715.8984375,1212.03284609013,8.4842299226309
70.001,3810,70,70,711.2421875,875.933062747631,6.13153143923342
71,3279,71,71,720.5546875,1226.36150654457,8.58453054581196
72,2625,72,72,711.630208333333,1251.19374096715,8.75835618677003
73,1989,73,73,706.973958333333,1124.71642974343,7.87301500820402
74,1507,74,74,715.510416666667,900.048453903203,6.30033917732242
75,1189,75,75,710.078125,1150.23539856101,8.05164778992705
76.001,801,76,76,710.466145833333,1120.93855113032,7.84656985791227
77,591,77,77,717.450520833333,1112.64114691316,7.78848802839211
78,363,78,78,722.8828125,1402.09634512813,9.81467441589688
78.999,212,79,79,715.122395833333,1415.28660497275,9.90700623480926
