Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,698.4375,,
1,0,1,1,699.6015625,7.391606577,0.051741246
2,0,2,2,699.2135417,17.03668339,0.119256784
3.001,0,3,3,699.2135417,7.767822881,0.05437476
4.001,0,4,4,699.6015625,8.87904893,0.062153343
5,0,5,5,699.2135417,8.012899968,0.0560903
6,0,6,6,699.2135417,10.00756171,0.070052932
7,0,7,7,699.2135417,7.773875292,0.054417127
7.999,0,8,8,698.4375,7.765690911,0.054359836
9.001,0,9,9,699.6015625,17.03165674,0.119221597
10,0,10,10,699.2135417,8.874865615,0.062124059
11,0,11,11,699.2135417,12.01615211,0.084113065
12.001,0,12,12,698.8255208,6.661714052,0.046631998
12.999,0,13,13,699.6015625,12.98208602,0.090874602
14,0,14,14,699.6015625,9.012864963,0.063090055
15,0,15,15,698.8255208,21.97032907,0.153792303
16,0,16,16,698.8255208,12.02481441,0.084173701
17.001,0,17,17,699.2135417,8.997383561,0.062981685
18,0.333333333,18,18,699.2135417,7.7725201,0.054407641
19,0.666666667,19,19,698.8255208,6.663147044,0.046642029
20,1,20,20,699.2135417,11.1025683,0.077717978
21.001,2,21,21,698.8255208,9.997158585,0.06998011
22,2.333333333,22,22,698.8255208,10.00505355,0.070035375
23.001,1.333333333,23,23,699.6015625,11.10730131,0.077751109
24,1.333333333,24,24,698.8255208,8.87556174,0.062128932
25,0.333333333,25,25,698.4375,4.003483832,0.028024387
25.999,1.666666667,26,26,699.6015625,13.33248154,0.093327371
27.001,1.666666667,27,27,698.4375,14.0209501,0.098146651
28,2,28,28,699.6015625,14.42481388,0.100973697
28.999,3,29,29,699.6015625,7.777575561,0.054443029
30,2.666666667,30,30,699.2135417,11.00579785,0.077040585
31.001,1,31,31,699.6015625,14.01075185,0.098075263
32.001,2,32,32,699.2135417,9.98588329,0.069901183
33,0,33,33,699.6015625,9.999095637,0.069993669
34,2.666666667,34,34,699.6015625,18.86803552,0.132076249
35,1,35,35,699.2135417,8.998989413,0.062992926
35.999,1.333333333,36,36,698.8255208,9.999992222,0.069999946
37,1.666666667,37,37,699.6015625,12.22112368,0.085547866
38,0.666666667,38,38,699.2135417,14.4317397,0.101022178
38.999,2,39,39,698.8255208,7.992740194,0.055949181
40.001,1,40,40,698.4375,10.00488939,0.070034226
41,1.666666667,41,41,698.8255208,13.00029511,0.091002066
42,1.666666667,42,42,699.2135417,16.66295268,0.116640669
43,1.666666667,43,43,699.6015625,9.011408443,0.063079859
44.001,3,44,44,699.6015625,4.99706822,0.034979478
45,1.666666667,45,45,698.8255208,13.32296511,0.093260756
46,1,46,46,699.6015625,12.00356866,0.084024981
47.001,3.666666667,47,47,699.6015625,4.995932312,0.034971526
48,1.333333333,48,48,699.6015625,12.02094168,0.084146592
49.001,0.666666667,49,49,698.4375,9.988668411,0.069920679
50,1,50,50,699.6015625,11.00081516,0.077005706
