Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,698.4375,,
1.001,0,1,1,698.4375,13.7927566171546,0.0965492963200819
1.999,0,2,2,698.4375,13.3175771598225,0.0932230401187573
3,0,3,3,698.4375,10.0178186941112,0.0701247308587785
4.001,0,4,4,698.4375,9.97636488310693,0.0698345541817485
5,0,5,5,698.4375,10.0216256660247,0.070151379662173
6.001,0,6,6,698.4375,14.4320056591225,0.101024039613857
7,0,7,7,698.4375,12.2060492070229,0.0854423444491604
8,0,8,8,698.4375,11.1094706126173,0.0777662942883212
9,0,9,9,698.4375,15.9758046438669,0.111830632507068
10,0,10,10,698.4375,11.0183234719338,0.0771282643035368
11,0,11,11,698.4375,13.006645094979,0.0910465156648532
12.001,0,12,12,698.4375,12.9942552397585,0.0909597866783095
13,0,13,13,698.4375,8.88448711910399,0.0621914098337279
14,0,14,14,698.4375,16.0301157785131,0.112210810449592
15,0,15,15,698.4375,9.98648606513475,0.0699054024559432
16.001,0,16,16,698.4375,9.0005157295513,0.0630036101068591
17.001,0,17,17,698.4375,14.9935063124161,0.104954544186913
18.001,1,18,18,698.4375,6.00419212694303,0.0420293448886012
19,2,19,19,698.4375,9.00266929144491,0.0630186850401144
20,5,20,20,698.4375,18.8875289868018,0.132212702907613
21.001,3,21,21,698.4375,5.55247146612676,0.0388673002628873
22.001,3,22,22,698.4375,14.0185212703023,0.0981296488921163
23,4,23,23,698.4375,7.77403501181043,0.054418245082673
24,1,24,24,698.4375,7.77498396687235,0.0544248877681064
25.001,9,25,25,698.4375,5.99313127224888,0.0419519189057421
26,4,26,26,698.4375,12.0164830097445,0.0841153810682113
27.001,6,27,27,698.4375,8.88528146461426,0.0621969702522998
28,7,28,28,698.4375,9.99283291816814,0.069949830427177
29.001,2,29,29,698.4375,11.0949359272998,0.0776645514910984
30,11,30,30,698.4375,10.0196384914432,0.0701374694401026
31,4,31,31,698.4375,11.1018694215882,0.0777130859511171
32,14,32,32,698.4375,17.0219549174525,0.119153684422168
33.001,9,33,33,698.4375,10.9911158810334,0.0769378111672335
34,10,34,34,698.4375,12.2179011578461,0.0855253081049224
35,9,35,35,698.4375,10.999479724609,0.0769963580722632
36,5,36,36,698.4375,20.0187034746564,0.140130924322595
37.001,10,37,37,698.4375,15.0026689748106,0.105018682823674
38.001,7,38,38,698.4375,8.87568088953849,0.0621297662267694
39,4,39,39,698.4375,10.0097525018626,0.0700682675130379
40,3,40,40,698.4375,14.0246946823968,0.0981728627767773
41,1,41,41,698.4375,14.4153126991808,0.100907188894266
42,5,42,42,698.4375,10.0105681568031,0.0700739770976219
43.001,13,43,43,698.4375,11.1028530557383,0.0777199713901682
44,5,44,44,698.4375,16.6651834653383,0.116656284257368
45,10,45,45,698.4375,8.87109150797023,0.0620976405557916
46.001,10,46,46,698.4375,12.0327205770652,0.0842290440394565
47.001,12,47,47,698.4375,17.7603075552459,0.124322152886722
48.001,9,48,48,698.4375,8.01006705227129,0.0560704693658991
49.001,7,49,49,698.4375,7.76123513626456,0.0543286459538519
50,10,50,50,698.4375,11.0090880021458,0.0770636160150204
51,14,51,51,698.4375,9.98986228775039,0.0699290360142527
52.001,7,52,52,698.4375,13.0155027653438,0.0911085193574066
53,13,53,53,698.4375,14.4432344223606,0.101102640956524
54,13,54,54,698.4375,12.2187181653795,0.0855310271576562
55.001,20,55,55,698.4375,8.87969445859337,0.0621578612101536
56,16,56,56,698.4375,10.0037003687664,0.0700259025813648
57,22,57,57,698.4375,8.99554720413395,0.0629688304289377
58.001,19,58,58,698.4375,8.99918737338018,0.0629943116136613
59.001,26,59,59,698.4375,12.0122212338834,0.0840855486371835
60.001,27,60,60,698.4375,12.9955412298041,0.0909687886086284
61,22,61,61,698.4375,6.00225084406653,0.0420157559084657
62.001,14,62,62,698.4375,11.992110390574,0.0839447727340183
63,13,63,63,698.4375,13.0109291805116,0.0910765042635814
64,21,64,64,698.4375,9.99145930058986,0.069940215104129
65,21,65,65,698.4375,15.5320331542342,0.108724232079639
66.001,19,66,66,698.4375,12.005733938529,0.0840401375697033
67.001,23,67,67,698.4375,8.99001568857627,0.0629301098200339
68,14,68,68,698.4375,12.2151605022119,0.0855061235154832
69,13,69,69,698.4375,14.0157972050298,0.0981105804352085
70,16,70,70,698.4375,10.0130319610974,0.0700912237276816
71,10,71,71,698.4375,12.2116984518675,0.0854818891630723
72,17,72,72,698.4375,17.0224372745716,0.119157060922001
73.001,9,73,73,698.4375,11.0914115318515,0.0776398807229604
74.001,7,74,74,698.4375,6.65949660865135,0.0466164762605595
75,8,75,75,698.4375,12.9989990770711,0.0909929935394975
76,12,76,76,698.4375,12.0064162288327,0.0840449136018288
77.001,10,77,77,698.4375,7.00239411854913,0.0490167588298439
78.001,14,78,78,698.4375,12.2199208038042,0.0855394456266292
79.001,17,79,79,698.4375,9.00177875148129,0.063012451260369
80.001,10,80,80,698.4375,13.3328296486577,0.093329807540604
81,19,81,81,698.4375,11.1107814912602,0.0777754704388214
82,11,82,82,698.4375,14.0006538305339,0.0980045768137372
83,18,83,83,698.4375,10.9967449634908,0.0769772147444357
84,13,84,84,698.4375,10.0144729162586,0.07010131041381
85,8,85,85,698.4375,15.5417579282393,0.108792305497675
86,16,86,86,698.4375,7.76988702584264,0.0543892091808985
87.002,10,87,87,698.4375,11.1021097672254,0.0777147683705778
88.001,11,88,88,698.4375,9.00330331198517,0.0630231231838962
89.001,5,89,89,698.4375,6.66461988784778,0.0466523392149344
90,11,90,90,698.4375,7.77728262411738,0.0544409783688216
91,12,91,91,698.4375,18.0026805991412,0.126018764193988
92,19,92,92,698.4375,6.66534322573951,0.0466574025801766
93,14,93,93,698.4375,11.988062287574,0.0839164360130182
94.001,12,94,94,698.4375,13.0139392303096,0.0910975746121671
95.001,5,95,95,698.4375,6.99795589708246,0.0489856912795772
96,14,96,96,698.4375,22.2040740923308,0.155428518646315
97,18,97,97,698.4375,7.00809575221296,0.0490566702654907
98,10,98,98,698.4375,7.77246141417049,0.0544072298991934
99,11,99,99,698.4375,11.0013652694299,0.0770095568860096
100.001,8,100,100,698.4375,7.76757118923512,0.0543729983246459
101.001,9,101,101,698.4375,8.02128367410086,0.056148985718706
102.002,9,102,102,698.825520833333,17.7535619193198,0.124274933435239
103.001,8,103,103,698.4375,14.4419171089504,0.101093419762653
104,9,104,104,698.4375,12.2146274383172,0.0855023920682207
105.001,16,105,105,698.4375,17.9891273714167,0.125923891599917
106,13,106,106,698.4375,17.0284835444248,0.119199384810973
107.001,12,107,107,698.4375,10.0031379843857,0.0700219658906999
108,14,108,108,698.4375,17.7690906667851,0.124383634667496
109.001,11,109,109,698.4375,7.77531904910958,0.0544272333437671
110,6,110,110,698.4375,9.99605155963394,0.0699723609174376
111.001,9,111,111,698.4375,11.0007040450589,0.0770049283154122
112.001,15,112,112,698.4375,16.642710409627,0.116498972867389
113.001,9,113,113,698.4375,10.0219088950354,0.0701533622652481
114.001,10,114,114,698.4375,11.997123089883,0.0839798616291813
115.001,12,115,115,698.4375,9.00533746351462,0.0630373622446024
116,9,116,116,698.4375,8.87997733829783,0.0621598413680848
117,8,117,117,698.4375,17.7645767234304,0.124352037064013
118,11,118,118,698.4375,14.9851497166308,0.104896048016416
119,15,119,119,698.4375,6.01115911578254,0.0420781138104778
120,9,120,120,698.4375,11.104204296039,0.0777294300722728
121,7,121,121,698.4375,12.0102447387622,0.0840717131713351
122,13,122,122,698.4375,9.99010535565108,0.0699307374895576
123,16,123,123,698.4375,13.0110580982777,0.0910774066879441
124.001,10,124,124,698.4375,14.432286045245,0.101026002316715
125,8,125,125,698.4375,11.1097915147634,0.0777685406033439
126,12,126,126,698.4375,6.00939388452028,0.042065757191642
127,11,127,127,698.4375,8.88038049766318,0.0621626634836423
128,8,128,128,698.4375,16.6532034768336,0.116572424337835
129.001,11,129,129,698.4375,6.66537358419133,0.0466576150893393
130,14,130,130,698.4375,12.0050961633213,0.0840356731432493
131,12,131,131,698.4375,16.6474333320237,0.116532033324166
132.001,10,132,132,698.4375,8.01110018040998,0.0560777012628698
133.001,7,133,133,698.4375,14.9910892965221,0.104937625075655
134,9,134,134,698.4375,12.9920151075149,0.0909441057526044
135,15,135,135,698.4375,15.0301113250286,0.1052107792752
136.001,9,136,136,698.4375,15.5251572975669,0.108676101082968
137.001,14,137,137,698.4375,12.0142513048979,0.0840997591342851
138.001,7,138,138,698.4375,16.6540835812941,0.116578585069059
