Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,698.4375,,
1,0,1,1,721.330729166667,1639.73157583504,11.4781210308453
2.001,0,2,2,723.270833333333,1581.61657640723,11.0713160348506
3,3,3,3,719.002604166667,1706.34229606982,11.9443960724887
4,1,4,4,724.822916666667,1790.6745745929,12.5347220221503
5.001,0,5,5,718.614583333333,1733.76170902631,12.1363319631842
6,0,6,6,717.0625,1617.68736702827,11.3238115691979
7,0,7,7,720.942708333333,1709.05017939037,11.9633512557326
8,1,8,8,713.5703125,1701.94077246112,11.9135854072278
9,2,9,9,717.0625,1676.07709954658,11.7325396968261
10,1,10,10,716.674479166667,1786.05844648376,12.5024091253863
11.001,2,11,11,720.942708333333,1702.09701953011,11.9146791367108
12.001,1,12,12,718.2265625,1769.63930117224,12.3874751082057
13.001,8,13,13,720.5546875,1644.80825877836,11.5136578114485
14.001,16,14,14,719.778645833333,1680.39523216126,11.7627666251288
15,36,15,15,720.942708333333,1758.88045982573,12.3121632187801
16.001,84,16,16,720.5546875,1720.50582871364,12.0435408009955
17,153,17,17,719.390625,1744.20415078535,12.2094290554974
18,233,18,18,717.838541666667,1652.455512244,11.567188585708
19,280,19,19,721.330729166667,1699.41240892758,11.8958868624931
20,302,20,20,718.614583333333,1765.62631840188,12.3593842288132
21,282,21,21,715.8984375,1790.73724652439,12.5351607256708
22,344,22,22,715.122395833333,1738.72229986247,12.1710560990373
23.001,355,23,23,723.658854166667,1804.02090042638,12.6281463029846
24,394,24,24,721.330729166667,1702.52103229025,11.9176472260317
25,397,25,25,717.838541666667,1636.54800287295,11.4558360201107
25.999,395,26,26,720.942708333333,1803.11125196425,12.6217787637497
27.001,390,27,27,716.286458333333,1779.87985810958,12.459159006767
28,428,28,28,720.5546875,1730.28342042427,12.1119839429699
29,410,29,29,717.0625,1726.56567659542,12.0859597361679
30,404,30,30,716.286458333333,1687.8128144523,11.8146897011661
31,432,31,31,717.838541666667,1702.2939882816,11.9160579179712
32.001,470,32,32,715.8984375,1751.50134756635,12.2605094329644
33,442,33,33,713.958333333333,1740.23748287407,12.1816623801185
34,458,34,34,719.002604166667,1637.04869339299,11.4593408537509
35,464,35,35,718.614583333333,1861.41028968073,13.0298720277651
36.001,488,36,36,720.166666666667,1738.88860691597,12.1722202484118
37.001,468,37,37,721.330729166667,1713.96129779861,11.9977290845903
38,469,38,38,726.375,1748.86653806875,12.2420657664813
39,482,39,39,723.658854166667,1748.20529244677,12.2374370471274
40.001,466,40,40,714.734375,1713.72701350898,11.9960890945629
41,452,41,41,717.838541666667,1341.90739778238,9.39335178447666
42.001,479,42,42,722.8828125,1708.47038538543,11.959292697698
43.001,486,43,43,717.450520833333,1870.62946681558,13.0944062677091
44,507,44,44,727.5390625,1752.82930961504,12.2698051673053
45,488,45,45,720.5546875,1823.05159236006,12.7613611465204
45.999,476,46,46,722.106770833333,1747.58882202621,12.2331217541835
47,468,47,47,722.106770833333,1740.69113555294,12.1848379488706
48,483,48,48,721.71875,1738.5197546514,12.1696382825598
49,497,49,49,724.434895833333,1832.4412879496,12.8270890156472
50,473,50,50,716.674479166667,1627.06010286919,11.3894207200843
51,435,51,51,708.526041666667,1719.52521886914,12.036676532084
52,484,52,52,722.8828125,1726.8759087934,12.0881313615538
52.999,423,53,53,715.8984375,1764.25840885532,12.3498088619872
54,413,54,54,727.151041666667,1704.8804878778,11.9341634151446
55,415,55,55,723.270833333333,1767.2057027438,12.3704399192066
56,408,56,56,722.8828125,1755.3738581448,12.2876170070136
