Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,698.4375,,
1.001,0,1,1,698.4375,5.303750006,0.03712625
2,0,2,2,698.4375,7.748716646,0.054241017
3,0,3,3,698.4375,7.014642364,0.049102497
4.001,0,4,4,698.4375,12.21819022,0.085527332
5.001,0,5,5,698.4375,11.10047193,0.077703303
6,0,6,6,698.4375,14.44027441,0.101081921
7.001,0,7,7,698.4375,11.02294536,0.077160618
8.001,0,8,8,698.4375,8.875732095,0.062130125
9.001,0,9,9,699.2135417,7.77741656,0.054441916
10.001,0,10,10,698.4375,14.43123185,0.101018623
11,0,11,11,698.4375,9.996625139,0.069976376
12.001,0,12,12,698.8255208,9.022010096,0.063154071
13.001,0,13,13,698.4375,13.3147031,0.093202922
14.001,0,14,14,698.4375,8.878274419,0.062147921
15,0,15,15,698.4375,9.008267788,0.063057875
16.001,0.111111111,16,16,698.8255208,8.992061808,0.062944433
17,0.444444444,17,17,698.4375,8.884212832,0.06218949
18,0.666666667,18,18,698.4375,10.00236656,0.070016566
19.001,0.888888889,19,19,698.8255208,5.553959101,0.038877714
20.001,0.888888889,20,20,698.4375,8.018694785,0.056130863
21.001,1,21,21,698.4375,6.647015872,0.046529111
22,1,22,22,698.4375,16.65917374,0.116614216
23,0.888888889,23,23,698.4375,17.03496939,0.119244786
24.001,1.333333333,24,24,698.4375,16.66635186,0.116664463
25,0.666666667,25,25,698.4375,12.21565563,0.085509589
26.001,0.888888889,26,26,698.4375,8.996675728,0.06297673
27,1.111111111,27,27,698.8255208,16.01533789,0.112107365
28,0.888888889,28,28,698.4375,9.992611019,0.069948277
29,1,29,29,698.4375,13.32760542,0.093293238
30.001,1,30,30,698.4375,11.00204638,0.077014325
31.001,0.888888889,31,31,698.4375,8.006862682,0.056048039
32,1.111111111,32,32,698.8255208,7.982670421,0.055878693
33.001,1.444444444,33,33,698.8255208,4.006651442,0.02804656
34.001,1,34,34,698.4375,11.99023515,0.083931646
35,1.333333333,35,35,698.4375,14.43769402,0.101063858
36,1.666666667,36,36,698.4375,8.874159756,0.062119118
37.001,1.222222222,37,37,699.2135417,7.775080689,0.054425565
38.001,1.222222222,38,38,698.4375,12.21105318,0.085477372
39.001,1.888888889,39,39,698.4375,14.43838995,0.10106873
40.001,2,40,40,698.4375,11.01104408,0.077077309
41.001,1.333333333,41,41,698.4375,11.00675264,0.077047268
42.001,1,42,42,698.4375,7.767612562,0.054373288
43.001,1.333333333,43,43,698.4375,12.99261889,0.090948332
44.001,2.111111111,44,44,698.4375,9.022024566,0.063154172
45.001,1.666666667,45,45,698.4375,11.08005004,0.07756035
46,1.111111111,46,46,698.4375,10.01674399,0.070117208
47,2.111111111,47,47,698.4375,8.869428378,0.062085999
48,2,48,48,698.4375,11.03127919,0.077218954
49,2.555555556,49,49,698.4375,9.98510112,0.069895708
50.001,1.666666667,50,50,698.4375,14.43388526,0.101037197
51.001,2,51,51,698.4375,8.012420855,0.056086946
52,1.333333333,52,52,698.4375,14.41626385,0.100913847
53,2,53,53,698.8255208,11.00847983,0.077059359
54.001,1.333333333,54,54,698.4375,6.660125683,0.04662088
55.001,1.222222222,55,55,698.8255208,3.327483986,0.023292388
56,1.222222222,56,56,698.4375,5.007035887,0.035049251
57,1.555555556,57,57,698.8255208,12.22160435,0.08555123
58,1.888888889,58,58,698.4375,8.877838939,0.062144873
59.001,1.333333333,59,59,699.6015625,11.00241063,0.077016874
60,1.777777778,60,60,699.2135417,6.006527293,0.042045691
61.001,2,61,61,698.8255208,12.21636108,0.085514528
62,1.777777778,62,62,698.4375,14.01983386,0.098138837
63.001,1.888888889,63,63,698.4375,8.882132547,0.062174928
64,1.666666667,64,64,698.4375,9.995584173,0.069969089
65,1.888888889,65,65,698.4375,2.000491721,0.014003442
66.001,2.222222222,66,66,698.4375,6.000178205,0.042001247
67,2.222222222,67,67,698.4375,6.664620628,0.046652344
68,2.333333333,68,68,698.4375,6.658917906,0.046612425
69,2.777777778,69,69,698.8255208,11.01841397,0.077128898
70.001,2.333333333,70,70,698.4375,6.64844623,0.046539124
71,2.666666667,71,71,698.4375,13.01743686,0.091122058
72,2.888888889,72,72,698.4375,1.110672272,0.007774706
73.001,2.777777778,73,73,698.4375,12.00355305,0.084024871
74,4.444444444,74,74,698.4375,11.10107574,0.07770753
75.001,3.666666667,75,75,698.4375,17.0233032,0.119163122
76.001,4,76,76,698.4375,5.552011522,0.038864081
77.001,3.666666667,77,77,698.4375,7.774547022,0.054421829
78,3.555555556,78,78,698.4375,15.99597541,0.111971828
79.001,4.666666667,79,79,698.4375,8.013999656,0.056097998
80,4.888888889,80,80,698.8255208,12.21995474,0.085539683
81,3.888888889,81,81,698.4375,13.97616644,0.097833165
82,4,82,82,698.4375,5.004023735,0.035028166
83.001,4,83,83,698.4375,11.00813171,0.077056922
84,5,84,84,698.4375,9.995198973,0.069966393
85.001,3.888888889,85,85,698.4375,8.994979902,0.062964859
86.001,3.777777778,86,86,698.8255208,8.0129409,0.056090586
87,4.666666667,87,87,698.4375,14.42804937,0.100996346
88,4.555555556,88,88,698.4375,12.21442128,0.085500949
89,5,89,89,698.4375,13.01037057,0.091072594
90.001,3.444444444,90,90,698.4375,13.32970173,0.093307912
91.001,5.111111111,91,91,698.4375,11.10728527,0.077750997
92,3.555555556,92,92,698.4375,11.02602915,0.077182204
93,2.555555556,93,93,698.4375,11.08564738,0.077599532
94,3.444444444,94,94,698.4375,11.02186628,0.077153064
95.001,3.333333333,95,95,698.4375,16.62733563,0.116391349
96,3,96,96,699.2135417,9.01700517,0.063119036
97,4.222222222,97,97,698.4375,8.883693902,0.062185857
98,3.777777778,98,98,698.4375,13.00454639,0.091031825
99,4.111111111,99,99,698.8255208,8.888245972,0.062217722
100,3.666666667,100,100,698.4375,14.01333088,0.098093316
101,2.444444444,101,101,698.4375,7.76566162,0.054359631
102,3.333333333,102,102,698.4375,12.21013012,0.085470911
103,4.555555556,103,103,698.8255208,9.00876102,0.063061327
104.001,3.444444444,104,104,698.8255208,13.32191941,0.093253436
105,3.888888889,105,105,698.4375,7.005581347,0.049039069
106.001,4.444444444,106,106,698.8255208,6.664475535,0.046651329
107,4.777777778,107,107,698.4375,14.0057984,0.098040589
108.001,3.333333333,108,108,698.4375,9.986081621,0.069902571
109,2.555555556,109,109,698.4375,21.00545932,0.147038215
110,4.111111111,110,110,698.8255208,11.00600047,0.077042003
111,4,111,111,698.4375,8.886202294,0.062203416
112.001,3,112,112,698.4375,11.10620217,0.077743415
113,4.222222222,113,113,698.4375,12.01435716,0.0841005
114,3.444444444,114,114,698.4375,4.440186799,0.031081308
115,3.777777778,115,115,698.4375,11.01811709,0.07712682
116,3.555555556,116,116,698.4375,8.872771991,0.062109404
117,4.333333333,117,117,698.4375,8.01018094,0.056071267
118,4.888888889,118,118,698.4375,11.08794716,0.07761563
119.001,3.444444444,119,119,698.4375,10.01499646,0.070104975
120.001,3.666666667,120,120,698.4375,16.65010906,0.116550763
121.001,4.333333333,121,121,698.4375,11.0157426,0.077110198
122,3.444444444,122,122,698.8255208,7.983718802,0.055886032
123,4.666666667,123,123,698.4375,11.00162494,0.077011375
124.001,2.777777778,124,124,698.4375,10.01783776,0.070124864
125.001,4.333333333,125,125,698.4375,13.329681,0.093307767
126.001,3,126,126,698.4375,13.30928789,0.093165015
127.001,3.777777778,127,127,698.8255208,17.01139593,0.119079772
128.001,4.222222222,128,128,698.4375,4.002190799,0.028015336
129.001,3.222222222,129,129,698.4375,3.332304022,0.023326128
130,3.111111111,130,130,698.4375,13.00212585,0.091014881
131.001,4.555555556,131,131,698.4375,13.30486241,0.093134037
132,2.888888889,132,132,698.4375,5.553141173,0.038871988
133,3.222222222,133,133,698.4375,9.009318338,0.063065228
134,3.666666667,134,134,698.4375,7.769082448,0.054383577
135,3.333333333,135,135,698.4375,6.005139799,0.042035979
136,3.111111111,136,136,698.4375,3.00038555,0.021002699
137.001,3.111111111,137,137,698.4375,11.10438062,0.077730664
138,4.888888889,138,138,698.4375,9.014325566,0.063100279
139.001,2.444444444,139,139,698.4375,7.759863701,0.054319046
