Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,698.4375,,
1,0,1,1,698.4375,14.8404251484997,0.103882976039498
2.001,0,2,2,698.4375,14.9826276432477,0.104878393502734
3.001,0,3,3,698.4375,25.0520657081613,0.175364459957129
4.001,0,4,4,698.4375,17.7595978694254,0.124317185085978
5,0,5,5,698.4375,19.9903486596671,0.13993244061767
6,0,6,6,698.4375,21.0878090820754,0.147614663574528
7.001,0,7,7,698.4375,14.0004186125165,0.0980029302876156
8,0,8,8,698.4375,20.9983978222462,0.146988784755723
9.001,0,9,9,698.825520833333,20.0177597564559,0.140124318295192
10,0,10,10,698.825520833333,18.8586751958168,0.132010726370718
11.001,0,11,11,698.4375,20.0241170465709,0.140168819325996
12,0,12,12,698.825520833333,20.0368979475705,0.140258285632993
13.001,0,13,13,698.4375,15.5455079755673,0.108818555828971
14.001,0,14,14,698.825520833333,22.1943288828895,0.155360302180227
15,0,15,15,698.4375,15.0186486560362,0.105130540592253
16.001,0,16,16,698.4375,15.9672941913079,0.111771059339156
17.001,2,17,17,698.4375,22.0142872724398,0.154100010907079
18.001,5,18,18,698.4375,15.9927600775129,0.11194932054259
19,5,19,19,698.4375,19.0228997667392,0.133160298367174
20.001,5,20,20,698.4375,14.0026380970175,0.0980184666791223
20.999,5,21,21,698.825520833333,18.8623349129614,0.13203634439073
22,7,22,22,698.4375,11.1081390667919,0.0777569734675434
23.001,7,23,23,698.4375,12.9953099926237,0.0909671699483656
24.001,2,24,24,698.4375,16.0240697551793,0.112168488286255
25.001,6,25,25,698.4375,18.8610646272161,0.132027452390512
26,5,26,26,699.213541666667,16.0170341157821,0.112119238810475
27,6,27,27,698.4375,28.0231667519538,0.196162167263677
28,6,28,28,698.4375,26.6388290902673,0.186471803631871
29.001,6,29,29,698.4375,14.0226212926693,0.0981583490486853
30.001,2,30,30,698.4375,16.9912562995083,0.118938794096558
31.001,4,31,31,698.825520833333,16.990220429121,0.118931543003847
32,7,32,32,698.4375,25.5311392760279,0.178717974932195
33,6,33,33,698.4375,22.0382495859814,0.15426774710187
34.001,7,34,34,699.213541666667,21.0855179779565,0.147598625845696
35,6,35,35,698.825520833333,14.0098012569594,0.0980686087987156
36.001,4,36,36,698.4375,25.5289317163234,0.178702522014264
37,5,37,37,698.4375,20.0170004384724,0.140119003069307
38,10,38,38,698.4375,19.9922190283542,0.139945533198479
39,9,39,39,698.049479166667,13.316666785037,0.0932166674952593
40.001,4,40,40,698.4375,21.0442117845381,0.147309482491767
41.001,5,41,41,698.4375,18.9632567936366,0.132742797555457
42,11,42,42,698.4375,22.0500381515774,0.154350267061042
43,8,43,43,698.4375,17.9830725338239,0.125881507736767
44.001,4,44,44,698.4375,17.7635807293127,0.124345065105189
45,3,45,45,699.213541666667,17.7728428517459,0.124409899962222
46,9,46,46,698.825520833333,22.9965528167328,0.160975869717129
47,9,47,47,698.4375,27.0485087956742,0.189339561569719
48,7,48,48,698.4375,22.9612070407047,0.160728449284933
49.001,5,49,49,698.4375,16.0391676473949,0.112274173531765
50,10,50,50,698.4375,15.5396257125751,0.108777379988026
51,7,51,51,698.4375,15.9985089389669,0.111989562572768
52.001,3,52,52,698.4375,13.3094340263001,0.0931660381841008
53.001,9,53,53,698.4375,15.5070374812849,0.108549262368995
54.001,6,54,54,698.4375,17.9856977731308,0.125899884411916
55.001,10,55,55,698.4375,10.0103026034395,0.0700721182240762
56,12,56,56,698.4375,19.0294366355315,0.133206056448721
57.001,3,57,57,698.4375,29.9761689456882,0.209833182619817
58,4,58,58,698.4375,17.7694971920863,0.124386480344604
59,4,59,59,698.825520833333,24.0114774862384,0.168080342403669
60.001,10,60,60,698.4375,11.9831648516998,0.0838821539618989
61.001,4,61,61,698.4375,15.0138307408785,0.105096815186149
62,6,62,62,699.213541666667,26.6362244217331,0.186453570952132
63.001,5,63,63,698.4375,22.0329260046213,0.154230482032349
64.001,9,64,64,698.4375,21.0984356398328,0.14768904947883
65.001,8,65,65,699.213541666667,19.9665980998898,0.139766186699228
66.001,12,66,66,698.4375,25.0401092469918,0.175280764728943
67.001,10,67,67,698.4375,16.9829304565981,0.118880513196187
68.001,8,68,68,698.4375,22.0011440594911,0.154008008416438
69.001,10,69,69,698.4375,22.0247844899866,0.154173491429906
70,11,70,70,698.4375,27.0023897114895,0.189016727980426
71,11,71,71,698.4375,18.8638293396017,0.132046805377212
72,14,72,72,699.213541666667,12.0131243383396,0.0840918703683775
73.001,14,73,73,699.213541666667,19.9760507128004,0.139832354989603
74.001,14,74,74,698.4375,21.0374782675336,0.147262347872735
75.001,17,75,75,698.4375,23.9894206654865,0.167925944658406
76,15,76,76,698.4375,27.7449739702203,0.194214817791542
77.001,9,77,77,698.4375,18.8801788330539,0.132161251831377
78,15,78,78,699.213541666667,17.0187359263814,0.119131151484669
79,7,79,79,698.4375,28.03447118577,0.19624129830039
80,14,80,80,698.4375,31.0879505879231,0.217615654115462
81.001,16,81,81,698.4375,15.9748922618321,0.111824245832825
82,11,82,82,698.4375,15.527652364257,0.108693566549799
83,17,83,83,698.4375,18.8832868471242,0.13218300792987
84,17,84,84,698.4375,16.9877026020864,0.118913918214604
85,15,85,85,698.4375,14.4442245712482,0.101109571998737
86,15,86,86,698.4375,17.0146751573232,0.119102726101262
87,9,87,87,698.825520833333,18.8870484509454,0.132209339156618
88.001,15,88,88,698.4375,12.9947527188521,0.0909632690319649
