Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %,Raw
0,0,0,0,698.4375,,,0
1,0,1,1,698.4375,17.98250091,0.125877506,0
1.999,0,2,2,698.4375,7.769457552,0.054386203,0
3,0,3,3,698.4375,3.331789974,0.02332253,0
4.001,0,4,4,698.4375,4.438065957,0.031066462,0
5.001,0,5,5,698.4375,16.98135617,0.118869493,0
6,0,6,6,698.4375,12.02478549,0.084173498,0
7,0,7,7,698.4375,12.2153911,0.085507738,0
8,0,8,8,698.4375,9.99569985,0.069969899,0
9.001,0,9,9,698.4375,13.00815742,0.091057102,0
10,0,10,10,698.4375,13.32077628,0.093245434,0
11.001,0,11,11,698.8255208,14.02500097,0.098175007,0
12.001,0,12,12,698.4375,13.31185096,0.093182957,0
13.001,0.006944444,13,13,698.8255208,8.876332823,0.06213433,1
14,0,14,14,698.4375,10.0083099,0.070058169,0
15,0,15,15,698.4375,7.003577427,0.049025042,0
16.001,0.048611111,16,16,699.6015625,11.10864623,0.077760524,7
17.001,0.145833333,17,17,698.4375,7.764890648,0.054354235,21
18,0.305555556,18,18,698.4375,13.01761283,0.09112329,44
19.001,0.555555556,19,19,698.8255208,14.00555741,0.098038902,80
20.001,0.895833333,20,20,698.4375,11.10996308,0.077769742,129
21.001,0.798611111,21,21,698.4375,17.76379175,0.124346542,115
22,0.944444444,22,22,698.8255208,14.43809008,0.101066631,136
23.001,0.951388889,23,23,698.4375,14.02164802,0.098151536,137
24.001,0.965277778,24,24,698.4375,13.3248025,0.093273617,139
25,1.166666667,25,25,698.4375,9.998830137,0.069991811,168
26,1.138888889,26,26,698.8255208,3.330913979,0.023316398,164
27,1.125,27,27,700.765625,12.21977962,0.085538457,162
28.001,1.118055556,28,28,698.4375,12.01711357,0.084119795,161
29.001,1.125,29,29,698.4375,8.885709779,0.062199968,162
30,1.291666667,30,30,698.4375,17.77028859,0.12439202,186
31.001,1.229166667,31,31,698.4375,10.00698888,0.070048922,177
32.001,1.340277778,32,32,698.4375,11.10734942,0.077751446,193
33.001,1.388888889,33,33,698.4375,13.00383093,0.091026817,200
34.001,1.506944444,34,34,698.4375,17.77187949,0.124403156,217
35.001,1.263888889,35,35,698.4375,5.553824614,0.038876772,182
36.001,1.284722222,36,36,698.4375,16.66008963,0.116620627,185
37,1.548611111,37,37,698.4375,8.990501535,0.062933511,223
38,1.388888889,38,38,698.4375,7.005718768,0.049040031,200
39,1.395833333,39,39,698.4375,9.005710521,0.063039974,201
40,1.347222222,40,40,698.4375,15.53658366,0.108756086,194
41.001,1.486111111,41,41,698.4375,11.10524384,0.077736707,214
42.001,1.520833333,42,42,699.6015625,7.996344071,0.055974409,219
43.001,1.701388889,43,43,698.4375,9.01998287,0.06313988,245
44,1.402777778,44,44,698.4375,14.98729677,0.104911077,202
45,1.729166667,45,45,698.8255208,8.000202405,0.056001417,249
46,1.541666667,46,46,698.4375,13.32041105,0.093242877,222
47.001,1.6875,47,47,698.4375,9.007834113,0.063054839,243
48.001,1.645833333,48,48,698.4375,9.998869017,0.069992083,237
49.001,1.583333333,49,49,698.4375,12.20968152,0.085467771,228
50.001,1.798611111,50,50,698.4375,7.010286895,0.049072008,259
51,1.791666667,51,51,698.4375,10.01592131,0.070111449,258
52.001,1.680555556,52,52,698.4375,14.40086263,0.100806038,242
53,1.659722222,53,53,698.4375,5.555368525,0.03888758,239
54,1.590277778,54,54,698.8255208,10.02584462,0.070180912,229
55.001,1.416666667,55,55,698.4375,6.650280376,0.046551963,204
56.001,1.555555556,56,56,698.4375,6.005264816,0.042036854,224
57.001,1.638888889,57,57,698.4375,10.99950722,0.076996551,236
58.001,1.597222222,58,58,698.4375,12.21543723,0.085508061,230
59,1.763888889,59,59,698.4375,9.003633867,0.063025437,254
60,1.777777778,60,60,698.4375,9.993028863,0.069951202,256
61,1.805555556,61,61,698.4375,6.66370428,0.04664593,260
62.001,2.034722222,62,62,698.4375,14.01200268,0.098084019,293
63.001,2.069444444,63,63,698.4375,9.994963649,0.069964746,298
64,1.923611111,64,64,698.4375,14.01430721,0.09810015,277
65.001,2.083333333,65,65,698.4375,6.662126797,0.046634888,300
66.001,2,66,66,698.4375,8.989591851,0.062927143,288
67.001,2.326388889,67,67,698.4375,10.02397735,0.070167841,335
68,2.1875,68,68,698.8255208,11.09603653,0.077672256,315
69.001,2.270833333,69,69,698.4375,11.09876928,0.077691385,327
70,2.722222222,70,70,698.4375,11.01710295,0.077119721,392
71.001,2.958333333,71,71,698.8255208,6.000743492,0.042005204,426
72,3.020833333,72,72,699.2135417,5.554885883,0.038884201,435
73.001,3.395833333,73,73,698.4375,13.32852174,0.093299652,489
74,3.583333333,74,74,698.8255208,11.10946568,0.07776626,516
75,3.708333333,75,75,698.4375,9.984692357,0.069892847,534
76.001,4.041666667,76,76,699.2135417,8.004804484,0.056033631,582
76.999,4.361111111,77,77,698.8255208,9.008702407,0.063060917,628
78,4.159722222,78,78,698.4375,9.992369161,0.069946584,599
79.001,4.159722222,79,79,698.4375,7.003346899,0.049023428,599
80.001,4.506944444,80,80,698.4375,11.10855861,0.07775991,649
81,4.270833333,81,81,698.4375,6.003161265,0.042022129,615
82,4.5625,82,82,698.4375,14.999895,0.104999265,657
83.001,4.326388889,83,83,698.4375,7.994765028,0.055963355,623
84,4.131944444,84,84,698.8255208,9.996894298,0.06997826,595
85.001,4.173611111,85,85,698.4375,7.770602058,0.054394214,601
86.001,4.076388889,86,86,698.4375,7.999894401,0.055999261,587
87.001,3.909722222,87,87,698.4375,7.017813316,0.049124693,563
88,3.777777778,88,88,699.2135417,3.328669498,0.023300686,544
89.001,3.819444444,89,89,698.4375,13.32056187,0.093243933,550
90.001,3.715277778,90,90,698.4375,8.881864321,0.06217305,535
91,3.923611111,91,91,698.8255208,7.996879618,0.055978157,565
92.001,3.354166667,92,92,698.4375,8.020612171,0.056144285,483
93.001,3.520833333,93,93,698.4375,7.986274788,0.055903924,507
94,3.8125,94,94,698.4375,12.00765488,0.084053584,549
95.001,3.826388889,95,95,698.4375,11.08828157,0.077617971,551
96.001,3.701388889,96,96,698.4375,14.04001404,0.098280098,533
97.001,3.854166667,97,97,698.4375,11.09054185,0.077633793,555
98.001,3.3125,98,98,699.2135417,15.02333274,0.105163329,477
99.001,3.416666667,99,99,698.4375,7.766106183,0.054362743,492
100,3.3125,100,100,698.4375,13.01205567,0.09108439,477
101,3.458333333,101,101,698.4375,8.87997931,0.062159855,498
102.001,3.534722222,102,102,699.6015625,9.00294036,0.063020583,509
103.001,3.708333333,103,103,698.4375,4.441041127,0.031087288,534
104,3.430555556,104,104,698.4375,10.01786988,0.070125089,494
105.001,3.451388889,105,105,698.4375,8.881189884,0.062168329,497
106,3.75,106,106,698.4375,4.438415104,0.031068906,540
107,3.506944444,107,107,698.4375,10.01025651,0.070071796,505
108,3.284722222,108,108,698.4375,12.21461116,0.085502278,473
109.001,3.458333333,109,109,698.4375,19.03253612,0.133227753,498
110,3.680555556,110,110,698.4375,9.98450405,0.069891528,530
111.001,3.590277778,111,111,698.4375,13.32515613,0.093276093,517
111.999,3.402777778,112,112,698.4375,10.01397149,0.0700978,490
113,3.666666667,113,113,698.4375,7.770302747,0.054392119,528
114.001,3.451388889,114,114,699.2135417,9.994265513,0.069959859,497
