Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,698.4375,0
1,0,1,1,9.491020809,698.4375,0
2.001,0,2,2,12.2132143,698.4375,0
3,0,3,3,13.00736477,698.4375,0
4,0,4,4,15.0036819,698.4375,0
5,0,5,5,13.32512062,698.4375,0
6,0,6,6,13.0149633,698.4375,0
7.001,0,7,7,12.21884303,698.8255208,0
8,0,8,8,19.02688499,698.4375,0
9,0,9,9,12.1995541,698.4375,0
10,0,10,10,17.99742097,698.4375,0
11.001,0,11,11,13.00195159,698.4375,0
12.001,0,12,12,8.881436377,698.4375,0
13.001,0,13,13,10.00392554,698.4375,0
14,0,14,14,11.0116393,698.4375,0
15.001,0,15,15,8.88215227,698.4375,0
16.001,0,16,16,6.663009415,698.4375,0
17,0.333333333,17,17,11.01183332,698.4375,2
18.001,0.666666667,18,18,6.661564648,698.4375,4
19,0.666666667,19,19,13.0080663,698.4375,4
20,1.5,20,20,11.10879308,698.4375,9
21,0.666666667,21,21,13.33215418,698.4375,4
22.001,0.5,22,22,12.00779306,698.4375,3
23.001,1.5,23,23,17.01318181,698.4375,9
24,0.5,24,24,15.52923523,698.4375,3
25,1.333333333,25,25,19.02659728,698.4375,8
26,0.333333333,26,26,15.52648824,698.4375,2
27,1.666666667,27,27,15.00269749,698.4375,10
28.001,1,28,28,11.00509646,698.4375,6
29,1.333333333,29,29,13.32746037,698.4375,8
30,1.833333333,30,30,12.00829052,698.4375,11
31,2.166666667,31,31,11.10429677,698.4375,13
32,1.166666667,32,32,11.11086173,698.0494792,7
33.001,1.5,33,33,17.01556925,698.4375,9
34,1.333333333,34,34,11.10534867,698.4375,8
35.001,1.5,35,35,13.33124921,698.4375,9
36,2.833333333,36,36,15.03608359,698.4375,17
37.001,1.666666667,37,37,6.650587025,698.4375,10
38,1.333333333,38,38,15.99628246,698.4375,8
39.001,1.5,39,39,8.001154567,698.4375,9
39.999,2.166666667,40,40,17.00347891,698.4375,13
40.999,2.166666667,41,41,13.01125213,698.4375,13
42,1.833333333,42,42,10.99204506,698.4375,11
43.001,2.166666667,43,43,13.00945918,698.4375,13
44,2.333333333,44,44,12.21236006,698.4375,14
45,1.666666667,45,45,13.00695091,698.4375,10
46,2.166666667,46,46,8.877184814,698.4375,13
47,1.5,47,47,9.01595644,698.4375,9
48.001,1.833333333,48,48,21.09382355,698.4375,11
