Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,697.2734375
1,0,1,1,13.7111016047473,698.4375
2,0,2,2,13.0040273472695,698.4375
3,0,3,3,8.8880425497261,698.049479166667
4,0,4,4,10.0003950156031,698.4375
5,0,5,5,10.0145461282513,698.4375
6.001,0,6,6,13.3185201792229,698.4375
7.001,0,7,7,8.88379255322752,698.4375
8,0,8,8,9.00259274671105,698.4375
9.002,0,9,9,5.00605432209714,698.4375
10,0,10,10,13.3172608791479,698.4375
11,0,11,11,7.76931526693758,698.4375
12.001,0,12,12,13.0081912580352,698.4375
13,0,13,13,12.2103496922048,698.4375
14.001,0,14,14,11.0208900971792,698.4375
15.001,0,15,15,13.3179555340101,698.4375
16.001,0,16,16,7.77271514931053,698.4375
17,3,17,17,9.01970173449867,698.4375
18,2,18,18,19.0021624460864,698.4375
19,6,19,19,9.97657500189555,698.4375
20,10,20,20,9.00354469554664,698.4375
21.001,6,21,21,8.01650437921593,698.4375
22,9,22,22,12.9763518963042,698.4375
23,12,23,23,5.55475258520963,698.4375
24,12,24,24,13.0226502956592,698.4375
25,11,25,25,7.76972316476364,698.4375
26,20,26,26,7.77368450101663,698.4375
27.001,16,27,27,9.00474009518611,698.4375
28,8,28,28,13.3313054936421,698.4375
29,10,29,29,11.0838890795318,698.4375
30,18,30,30,8.02358452435088,698.4375
31.001,19,31,31,8.87788130250504,698.4375
32,18,32,32,10.00013000169,698.4375
33.001,21,33,33,7.77087378813223,698.4375
34.001,20,34,34,9.00426081621823,698.4375
35,14,35,35,5.9934024625692,698.4375
36.001,14,36,36,14.020746498594,698.4375
37,20,37,37,7.00264559950749,698.4375
38,27,38,38,17.7726987354281,698.4375
39,14,39,39,14.4321466519252,698.4375
40,24,40,40,8.87176736362902,698.4375
41.001,16,41,41,15.021083592931,697.661458333333
42.001,21,42,42,16.6445202078346,698.4375
43.001,29,43,43,8.00441843897832,698.4375
44,16,44,44,9.99261212876613,698.4375
45.001,20,45,45,13.3309870796073,698.4375
46.001,18,46,46,19.0351159819635,698.4375
47,18,47,47,16.6585613510937,698.4375
48,21,48,48,13.3182215912345,698.4375
49,23,49,49,10.0079633364268,698.4375
50.001,20,50,50,9.99028500285056,698.4375
51,17,51,51,13.0050303457377,698.4375
52,14,52,52,6.009602744225,698.4375
53,25,53,53,12.2030349835498,698.4375
54.001,17,54,54,11.107649227102,698.4375
55,19,55,55,10.0200220079763,698.4375
56.001,22,56,56,2.99613558432334,698.4375
57.001,12,57,57,9.99576479445659,698.4375
58,20,58,58,15.0231025270661,698.4375
59,12,59,59,9.99848134177842,698.4375
60.001,27,60,60,14.4298238262809,698.4375
61,16,61,61,4.99589187810863,698.4375
62.001,26,62,62,14.0296362035163,698.4375
63.001,21,63,63,4.44238416538819,698.4375
64,26,64,64,11.1072161806371,698.4375
65,32,65,65,4.44275471673385,698.4375
66,25,66,66,7.77490538217825,698.4375
67,25,67,67,16.012124380581,698.4375
68,28,68,68,5.55194000884535,698.4375
69,27,69,69,12.0082316427911,698.4375
70,38,70,70,9.00712283273613,698.4375
71.001,36,71,71,12.2073170880577,698.4375
72,36,72,72,8.88279825022199,698.4375
73.001,45,73,73,11.0912577597212,698.4375
74,48,74,74,9.01225215680718,698.4375
75,35,75,75,6.65523371461537,698.4375
76,51,76,76,8.00354637139717,698.4375
77.001,51,77,77,9.00423018734201,698.4375
78,50,78,78,13.3273153100644,698.4375
79.001,71,79,79,11.9971398818522,698.4375
80.001,57,80,80,12.217815663373,698.4375
81,44,81,81,14.0011999028317,698.4375
82.001,54,82,82,13.0104174412452,698.4375
83.001,40,83,83,14.9914473792701,698.4375
84,56,84,84,15.0068190985984,698.4375
85,58,85,85,14.013360337746,698.4375
86,54,86,86,14.4377469340611,698.4375
87.001,53,87,87,12.2168359549923,698.4375
