Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,697.2734375
1,0,1,1,6.35111033815746,698.4375
2,0,2,2,12.0036527115201,698.4375
3.001,0,3,3,11.1079650885544,698.4375
4,0,4,4,11.1097791720304,698.4375
5,0,5,5,18.8865994133378,698.4375
6.001,0,6,6,5.00344286903819,698.4375
7,0,7,7,12.9929824901571,698.4375
8,0,8,8,6.00050644274377,698.4375
9.001,0,9,9,15.0044263057602,698.4375
10,0,10,10,7.99040272728426,698.4375
11,0,11,11,12.0143054334796,698.4375
12,0,12,12,17.7754926394462,698.4375
13.001,0,13,13,12.9983336136307,698.4375
14,0,14,14,11.0068231296581,698.4375
15.001,0,15,15,21.1103534839805,698.4375
16,0,16,16,13.9981298498521,698.4375
17,1,17,17,13.9886510074377,698.4375
18.001,1,18,18,12.9900405359211,698.4375
19.001,3,19,19,11.0051922497034,698.4375
20,6,20,20,6.00945226747151,698.4375
21,6,21,21,9.98173785605136,698.4375
22.001,7,22,22,17.0194191572584,698.4375
23.001,3,23,23,11.096066078405,698.4375
24.001,9,24,24,13.3307767865852,698.4375
25,2,25,25,13.0065709196286,698.4375
26,8,26,26,9.0037950996345,698.4375
27,6,27,27,16.0072224587734,698.4375
28.001,8,28,28,14.4308617966356,698.4375
29.001,9,29,29,11.0049092900343,698.4375
30.001,5,30,30,13.3263532856235,698.4375
31.001,6,31,31,13.3187980850232,697.661458333333
32,12,32,32,14.0139817495916,697.661458333333
33,10,33,33,20.0184109325347,698.049479166667
34,8,34,34,11.1067918031876,698.4375
35,13,35,35,8.88803168761057,698.4375
36,5,36,36,5.55324417192577,699.213541666667
37.001,10,37,37,17.9924701512417,698.4375
38.001,10,38,38,13.9999230004235,698.4375
39,8,39,39,11.0253428530821,698.4375
40.001,13,40,40,6.99483920763261,698.4375
41.001,12,41,41,15.5432988009344,698.4375
42.001,9,42,42,12.2163963585366,698.4375
43.001,5,43,43,13.0060113784591,698.049479166667
44.001,12,44,44,12.2169852078964,698.4375
45,13,45,45,11.0039625269059,698.4375
46.001,10,46,46,5.99667124779035,698.4375
47.001,6,47,47,13.3291257726311,698.4375
48,11,48,48,14.4414085394493,698.4375
49,14,49,49,8.88080932591549,698.4375
50,12,50,50,12.9999259004224,698.4375
51,12,51,51,13.0212350300871,698.4375
52,18,52,52,11.092844893187,698.4375
53.001,14,53,53,24.4266889556502,698.4375
54,14,54,54,8.01877917895921,698.4375
55.001,13,55,55,5.53968251857899,698.049479166667
56,17,56,56,14.4444412345686,698.4375
57.001,10,57,57,17.0129672836636,698.4375
58,13,58,58,13.9842439523389,698.4375
59.001,12,59,59,11.0233816949131,698.4375
60.001,14,60,60,19.9606619709579,698.4375
61,7,61,61,7.0062397571277,698.4375
62.001,12,62,62,15.9974979913142,698.4375
63,15,63,63,11.9800544074171,698.4375
64.001,16,64,64,18.0358317870113,698.4375
65.001,12,65,65,13.321457993613,698.4375
66.001,21,66,66,18.0247768582694,698.4375
67,15,67,67,8.99289471388656,698.4375
68,23,68,68,12.2078075143938,697.661458333333
69,15,69,69,5.001205290475,698.4375
70.001,20,70,70,6.00308318352306,698.4375
71,22,71,71,14.0080406153132,698.4375
72.001,27,72,72,14.4432793532433,698.4375
73.001,25,73,73,18.0158341166051,698.825520833333
