Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,,,Events N,
0,0,0,0,,698.4375,,,0,0
1,0,1,1,8.40366942,698.0494792,,,0,0
2,0,2,2,11.03057897,697.2734375,,,0,0
3.001,0,3,3,12.20519056,698.4375,,,0,0
4.001,0,4,4,12.98484668,697.6614583,,,0,0
5.001,0,5,5,15.03289498,698.4375,,,0,0
6.001,0,6,6,12.2054587,698.4375,,,0,0
7,0,7,7,7.77651539,697.6614583,,,0,0
8.001,0,8,8,24.00716134,698.4375,,,0,0
9.001,0,9,9,13.99724954,698.4375,,,0,0
10,0,10,10,8.999681411,698.4375,,,0,0
11,0,11,11,8.887725584,698.4375,,,0,0
12,0,12,12,13.00492497,698.4375,,,0,0
13,0,13,13,9.997400676,698.4375,,,0,0
14.001,0,14,14,16.64725227,698.4375,,,0,0
15.001,0,15,15,14.01937197,698.4375,,,0,0
16,0.083333333,16,16,9.986406282,697.6614583,,,1,0.083333333
17,0.333333333,17,17,7.776825549,697.6614583,,,4,0.333333333
18,0.583333333,18,18,16.01695074,698.4375,,,7,0.583333333
19,0.833333333,19,19,18.99556643,698.4375,,,10,0.833333333
20,1.416666667,20,20,12.99095959,698.4375,,,17,1.416666667
21,1.416666667,21,21,13.0057017,698.4375,,,17,1.416666667
22,2,22,22,17.76852827,698.4375,,,24,2
23,0.666666667,23,23,13.99071576,698.4375,,,8,0.666666667
24,1.25,24,24,14.00174182,698.4375,,,15,1.25
25.001,1.166666667,25,25,13.01638112,698.4375,,,14,1.166666667
26.001,1.083333333,26,26,15.53312917,698.4375,,,13,1.083333333
27.001,1,27,27,7.775521149,698.4375,,,12,1
28,2.166666667,28,28,3.001939253,699.9895833,,,26,2.166666667
29,1.416666667,29,29,13.0064473,698.4375,,,17,1.416666667
30,1.083333333,30,30,15.99460982,698.4375,,,13,1.083333333
31,1.333333333,31,31,9.999773005,698.4375,,,16,1.333333333
32.001,1.5,32,32,15.00041701,698.4375,,,18,1.5
33,1.75,33,33,8.884189153,698.4375,,,21,1.75
34,1,34,34,22.01733645,698.4375,,,12,1
35,2.5,35,35,8.885614046,698.4375,,,30,2.5
36,2.5,36,36,11.99641787,698.4375,,,30,2.5
37.001,1.833333333,37,37,14.00681852,698.4375,,,22,1.833333333
38.001,1.666666667,38,38,10.00050003,698.4375,,,20,1.666666667
39.001,1.583333333,39,39,8.88814426,698.4375,,,19,1.583333333
40.001,1.583333333,40,40,13.30711536,698.4375,,,19,1.583333333
41.001,1.5,41,41,9.018381265,698.4375,,,18,1.5
42,2.25,42,42,12.21187334,698.4375,,,27,2.25
43,2.083333333,43,43,16.01548698,698.4375,,,25,2.083333333
44,2.5,44,44,7.997054685,698.4375,,,30,2.5
45.001,2.25,45,45,8.886342458,698.4375,,,27,2.25
46.001,2.083333333,46,46,15.00797374,698.4375,,,25,2.083333333
47,2.25,47,47,13.30575789,698.4375,,,27,2.25
48,1.416666667,48,48,11.11071236,698.4375,,,17,1.416666667
49.001,2.75,49,49,8.991998021,698.4375,,,33,2.75
50,1.916666667,50,50,11.01116422,698.4375,,,23,1.916666667
51,1.833333333,51,51,8.998526941,698.4375,,,22,1.833333333
52,2.083333333,52,52,12.21792016,698.4375,,,25,2.083333333
53,1.833333333,53,53,17.76923472,698.4375,,,22,1.833333333
54.001,2.333333333,54,54,13.00976643,698.8255208,,,28,2.333333333
55.001,2,55,55,8.007309072,698.4375,,,24,2
56,1.666666667,56,56,16.64808001,698.4375,,,20,1.666666667
57,1.75,57,57,18.001919,698.4375,,,21,1.75
57.999,1.666666667,58,58,6.992976255,698.4375,,,20,1.666666667
59,1.916666667,59,59,14.99080464,698.4375,,,23,1.916666667
60,2.416666667,60,60,6.005926648,698.4375,,,29,2.416666667
61,2.166666667,61,61,12.00625406,698.4375,,,26,2.166666667
62,2,62,62,15.01841408,698.4375,,,24,2
63.001,2.416666667,63,63,19.9863005,698.4375,,,29,2.416666667
64,2.333333333,64,64,17.76462406,698.4375,,,28,2.333333333
65,2.25,65,65,14.98393123,698.4375,,,27,2.25
66.001,2.166666667,66,66,15.01837949,698.4375,,,26,2.166666667
67,3.25,67,67,6.998477131,698.4375,,,39,3.25
68,3,68,68,9.003347445,698.4375,,,36,3
69,3.25,69,69,12.9901976,698.4375,,,39,3.25
70.001,3.75,70,70,14.0092419,698.4375,,,45,3.75
71,3.833333333,71,71,12.21990044,698.4375,,,46,3.833333333
72.001,3.5,72,72,11.01192151,698.4375,,,42,3.5
73,4.25,73,73,7.774604012,698.4375,,,51,4.25
74,3.916666667,74,74,15.53304645,698.4375,,,47,3.916666667
75.001,4.25,75,75,10.00211645,698.4375,,,51,4.25
76.001,4.666666667,76,76,13.00126632,698.4375,,,56,4.666666667
77.001,5.083333333,77,77,20.010007,698.4375,,,61,5.083333333
78.001,3.833333333,78,78,6.664881219,698.0494792,,,46,3.833333333
79,5.666666667,79,79,7.994229765,698.0494792,,,68,5.666666667
80,5.083333333,80,80,6.00563629,698.4375,,,61,5.083333333
81,4.666666667,81,81,17.00757177,698.0494792,,,56,4.666666667
82,5.25,82,82,18.8800027,698.0494792,,,63,5.25
83,3.666666667,83,83,11.98148262,698.4375,,,44,3.666666667
84,5.416666667,84,84,16.04067595,698.4375,,,65,5.416666667
85,4.833333333,85,85,15.53376514,698.4375,,,58,4.833333333
86,4.75,86,86,12.01232465,698.0494792,,,57,4.75
87.001,4.5,87,87,9.991557134,698.4375,,,54,4.5
88,3.916666667,88,88,17.7682165,698.4375,,,47,3.916666667
89.001,4.416666667,89,89,14.01963169,698.4375,,,53,4.416666667
90.001,5.083333333,90,90,8.991013482,698.4375,,,61,5.083333333
91.001,4.583333333,91,91,11.01246832,698.8255208,,,55,4.583333333
92,5.25,92,92,7.775601473,698.4375,,,63,5.25
93,4.333333333,93,93,14.43113413,698.4375,,,52,4.333333333
94,3.666666667,94,94,11.10682511,698.4375,,,44,3.666666667
95,3.5,95,95,15.00311465,698.4375,,,42,3.5
96,4.416666667,96,96,10.01509575,698.4375,,,53,4.416666667
97,4.333333333,97,97,8.879673761,698.4375,,,52,4.333333333
98.001,4.25,98,98,9.98886131,698.4375,,,51,4.25
99.001,3.333333333,99,99,19.01965682,698.4375,,,40,3.333333333
100,3.833333333,100,100,8.005906758,698.4375,,,46,3.833333333
101,4.083333333,101,101,11.99956562,698.4375,,,49,4.083333333
102.001,2.833333333,102,102,9.989983377,698.4375,,,34,2.833333333
103,3.5,103,103,9.00772773,698.4375,,,42,3.5
104.001,4.166666667,104,104,8.002444747,697.2734375,,,50,4.166666667
105.001,4.583333333,105,105,13.32386747,698.4375,,,55,4.583333333
106,3.916666667,106,106,15.02396021,698.4375,,,47,3.916666667
107,4.083333333,107,107,13.3149188,698.4375,,,49,4.083333333
108,3.166666667,108,108,15.55205116,698.4375,,,38,3.166666667
109.001,2.333333333,109,109,13.01561744,698.4375,,,28,2.333333333
110,4,110,110,19.98086056,698.4375,,,48,4
111,3.833333333,111,111,8.887168728,698.4375,,,46,3.833333333
112.001,2.916666667,112,112,13.0079036,698.4375,,,35,2.916666667
113,3.416666667,113,113,9.994646201,698.4375,,,41,3.416666667
114.001,3.25,114,114,15.00990053,698.4375,,,39,3.25
115,3.416666667,115,115,7.771566569,698.4375,,,41,3.416666667
116,3.25,116,116,13.32013012,698.4375,,,39,3.25
117.001,3.5,117,117,17.00766876,698.4375,,,42,3.5
118,4.333333333,118,118,13.01350542,698.4375,,,52,4.333333333
119,4.25,119,119,5.555519136,698.4375,,,51,4.25
120.001,3.916666667,120,120,16.63558769,698.4375,,,47,3.916666667
121.001,4.666666667,121,121,13.02281989,698.0494792,,,56,4.666666667
122.001,4.916666667,122,122,12.21349636,698.4375,,,59,4.916666667
123,3.833333333,123,123,15.00392353,698.4375,,,46,3.833333333
124.001,4.25,124,124,12.20849716,698.4375,,,51,4.25
125,4.166666667,125,125,16.03485979,698.4375,,,50,4.166666667
126.001,3.833333333,126,126,9.989981159,698.4375,,,46,3.833333333
127.001,2.833333333,127,127,14.43868982,698.4375,,,34,2.833333333
128,3.583333333,128,128,7.997797407,698.4375,,,43,3.583333333
129.001,4.083333333,129,129,17.00979594,698.4375,,,49,4.083333333
130.001,4,130,130,14.99851065,698.4375,,,48,4
131,3.166666667,131,131,13.32180701,698.4375,,,38,3.166666667
132,3.083333333,132,132,11.00754347,698.4375,,,37,3.083333333
133.001,3.416666667,133,133,6.66422978,698.4375,,,41,3.416666667
134,3,134,134,13.00097247,698.4375,,,36,3
135,3.333333333,135,135,11.0025768,698.4375,,,40,3.333333333
136,3.666666667,136,136,15.99399745,698.4375,,,44,3.666666667
137,3.666666667,137,137,8.99721806,698.4375,,,44,3.666666667
138,3.166666667,138,138,16.01221091,698.4375,,,38,3.166666667
139.001,3.583333333,139,139,15.53261044,698.4375,,,43,3.583333333
140,3.5,140,140,8.010508185,698.0494792,,,42,3.5
141,2.916666667,141,141,17.76542489,698.0494792,,,35,2.916666667
142.001,3.583333333,142,142,18.03229945,698.4375,,,43,3.583333333
143,4.083333333,143,143,16.64713403,698.4375,,,49,4.083333333
144.001,3.583333333,144,144,15.55156226,698.4375,,,43,3.583333333
145,3.916666667,145,145,16.64801164,698.4375,,,47,3.916666667
146,3.75,146,146,12.00771376,698.4375,,,45,3.75
147.001,3.5,147,147,10.01302194,698.4375,,,42,3.5
148,3.5,148,148,18.86503929,698.4375,,,42,3.5
149.001,3.416666667,149,149,15.54471571,698.4375,,,41,3.416666667
150.001,4.083333333,150,150,11.01152797,698.4375,,,49,4.083333333
151,3.416666667,151,151,8.991310797,698.4375,,,41,3.416666667
152,4,152,152,17.00201474,698.4375,,,48,4
153.001,3.083333333,153,153,15.0099546,698.4375,,,37,3.083333333
154,4.166666667,154,154,11.09957126,697.6614583,,,50,4.166666667
155.001,4.166666667,155,155,7.009246598,698.4375,,,50,4.166666667
156.001,3.25,156,156,9.990553377,698.4375,,,39,3.25
157,3.666666667,157,157,11.99541415,698.4375,,,44,3.666666667
158,4.083333333,158,158,17.00522571,698.4375,,,49,4.083333333
159.001,3.5,159,159,14.99479681,698.4375,,,42,3.5
160,3.75,160,160,9.017228316,698.4375,,,45,3.75
161,4.333333333,161,161,15.53598712,698.4375,,,52,4.333333333
162,3.333333333,162,162,17.0108308,698.4375,,,40,3.333333333
163,5,163,163,11.99272641,698.4375,,,60,5
164,4.666666667,164,164,21.02118305,698.4375,,,56,4.666666667
165,3.166666667,165,165,6.997868449,698.4375,,,38,3.166666667
166,4.166666667,166,166,10.00304593,698.4375,,,50,4.166666667
167,3.666666667,167,167,17.77449542,698.4375,,,44,3.666666667
168.001,3.333333333,168,168,15.0184622,698.4375,,,40,3.333333333
169,3.666666667,169,169,12.21002576,698.0494792,,,44,3.666666667
170.001,4.333333333,170,170,3.990846196,698.4375,,,52,4.333333333
171,4,171,171,12.02308794,698.4375,,,48,4
172.001,5.333333333,172,172,15.00201027,698.4375,,,64,5.333333333
173.001,5.166666667,173,173,6.664937486,698.4375,,,62,5.166666667
174.001,4.25,174,174,14.00302465,698.4375,,,51,4.25
175,4.083333333,175,175,15.55399843,698.4375,,,49,4.083333333
176.001,4.083333333,176,176,8.883630767,698.4375,,,49,4.083333333
177.001,5.083333333,177,177,16.02993109,698.4375,,,61,5.083333333
178.001,4,178,178,19.96152084,698.4375,,,48,4
179,4.083333333,179,179,11.00165575,698.4375,,,49,4.083333333
180,5,180,180,16.9865823,698.4375,,,60,5
181,4.583333333,181,181,10.00988075,698.4375,,,55,4.583333333
182,4.916666667,182,182,9.999948889,698.4375,,,59,4.916666667
183.001,6,183,183,11.98157234,698.4375,,,72,6
184,6.333333333,184,184,8.013901715,698.4375,,,76,6.333333333
185,5.916666667,185,185,10.98991565,698.4375,,,71,5.916666667
186,4.75,186,186,21.01522974,698.4375,,,57,4.75
187.001,4.5,187,187,12.21300141,698.4375,,,54,4.5
188.001,4.666666667,188,188,15.00987049,698.4375,,,56,4.666666667
189,5.583333333,189,189,12.99255527,698.0494792,,,67,5.583333333
190.001,5.083333333,190,190,9.997870454,698.4375,,,61,5.083333333
191.001,4.916666667,191,191,6.651337551,698.4375,,,59,4.916666667
192,5.416666667,192,192,8.003536763,698.4375,,,65,5.416666667
193.001,6.5,193,193,15.55027192,698.4375,,,78,6.5
194,5.75,194,194,13.32845956,698.4375,,,69,5.75
195,7.416666667,195,195,12.21709919,698.4375,,,89,7.416666667
196.001,4.416666667,196,196,8.020194047,698.4375,,,53,4.416666667
197,4.583333333,197,197,12.19654714,698.4375,,,55,4.583333333
198,8.25,198,198,11.00579015,698.4375,,,99,8.25
199.001,5.75,199,199,9.005547417,698.4375,,,69,5.75
200.001,5.583333333,200,200,3.331937252,698.4375,,,67,5.583333333
201,5.833333333,201,201,10.00255765,698.4375,,,70,5.833333333
202,5.666666667,202,202,8.885959484,698.4375,,,68,5.666666667
203,6.583333333,203,203,12.99063765,698.4375,,,79,6.583333333
204,6.333333333,204,204,6.002790697,698.4375,,,76,6.333333333
205,5.666666667,205,205,18.87817867,698.4375,,,68,5.666666667
206,5,206,206,11.0033208,698.4375,,,60,5
207.001,5.75,207,207,15.55242779,698.4375,,,69,5.75
208,4.75,208,208,12.0170534,698.4375,,,57,4.75
209,5.583333333,209,209,15.5281966,698.4375,,,67,5.583333333
210.001,5.166666667,210,210,14.43694044,698.4375,,,62,5.166666667
211.001,5.166666667,211,211,8.000251208,698.4375,,,62,5.166666667
212,3.916666667,212,212,15.98852983,698.4375,,,47,3.916666667
213,5.25,213,213,20.02473455,698.4375,,,63,5.25
214,5.25,214,214,10.99798957,698.4375,,,63,5.25
215,5.25,215,215,12.00618919,698.4375,,,63,5.25
216,4.916666667,216,216,12.21846029,698.4375,,,59,4.916666667
217.001,4.75,217,217,14.44431124,698.4375,,,57,4.75
218,3.5,218,218,12.99864814,698.4375,,,42,3.5
219,3.916666667,219,219,8.999077595,698.0494792,,,47,3.916666667
219.999,4,220,220,12.98613081,698.4375,,,48,4
221.001,3.166666667,221,221,9.009926236,697.6614583,,,38,3.166666667
222.001,3.583333333,222,222,15.55178338,698.4375,,,43,3.583333333
223.001,4.083333333,223,223,18.01044426,698.4375,,,49,4.083333333
224,2.833333333,224,224,15.55227921,698.0494792,,,34,2.833333333
225.001,3.833333333,225,225,12.99520087,698.4375,,,46,3.833333333
226,2.583333333,226,226,7.776832461,698.0494792,,,31,2.583333333
227,2.583333333,227,227,11.00333181,698.4375,,,31,2.583333333
228,2.833333333,228,228,8.000455226,698.4375,,,34,2.833333333
229,2.416666667,229,229,12.00054602,698.4375,,,29,2.416666667
230,2.333333333,230,230,10.00025801,698.4375,,,28,2.333333333
231,3,231,231,15.5392359,698.4375,,,36,3
232.001,2.666666667,232,232,10.00721721,698.4375,,,32,2.666666667
233,2.666666667,233,233,11.11074199,698.4375,,,32,2.666666667
234.001,2.416666667,234,234,14.00181323,698.4375,,,29,2.416666667
235,2.75,235,235,15.00115509,698.4375,,,33,2.75
236.001,3,236,236,12.00047642,698.4375,,,36,3
237.001,1.833333333,237,237,7.759160104,698.4375,,,22,1.833333333
238.001,2.5,238,238,15.03273528,698.4375,,,30,2.5
239,1,239,239,8.887553781,698.0494792,,,12,1
240,2.25,240,240,19.97010697,697.2734375,,,27,2.25
241,1.75,241,241,10.00162326,698.4375,,,21,1.75
242,2,242,242,11.00338574,698.4375,,,24,2
243.001,1.583333333,243,243,16.65841705,698.4375,,,19,1.583333333
244,1.166666667,244,244,20.00514332,698.4375,,,14,1.166666667
245,1.75,245,245,14.97581257,698.4375,,,21,1.75
246,2.083333333,246,246,17.02248159,698.4375,,,25,2.083333333
247,1.583333333,247,247,18.87848475,698.4375,,,19,1.583333333
248,1.666666667,248,248,15.99939842,698.4375,,,20,1.666666667
249,1.416666667,249,249,13.9968703,698.4375,,,17,1.416666667
250.001,2.083333333,250,250,16.99180315,698.4375,,,25,2.083333333
251.001,1.5,251,251,11.03163431,698.4375,,,18,1.5
251.999,2.25,252,252,16.63468925,698.4375,,,27,2.25
253,1.5,253,253,12.00405617,698.4375,,,18,1.5
254,1,254,254,11.11023957,698.4375,,,12,1
255.001,1.25,255,255,15.55530667,698.4375,,,15,1.25
256,1.916666667,256,256,12.1996258,698.4375,,,23,1.916666667
257,1.916666667,257,257,14.02493915,698.4375,,,23,1.916666667
258,1.166666667,258,258,9.999991111,698.0494792,,,14,1.166666667
259,1.083333333,259,259,21.99026491,698.4375,,,13,1.083333333
260.001,1.5,260,260,17.01758597,698.4375,,,18,1.5
261,1.5,261,261,13.99096464,698.4375,,,18,1.5
262,1.333333333,262,262,15.00098556,698.4375,,,16,1.333333333
263,1.75,263,263,14.00240281,698.4375,,,21,1.75
264.001,1.166666667,264,264,12.21326583,698.4375,,,14,1.166666667
265.001,1.666666667,265,265,16.00975795,698.4375,,,20,1.666666667
266,1.333333333,266,266,7.775818272,698.4375,,,16,1.333333333
267,0.916666667,267,267,15.55126168,698.4375,,,11,0.916666667
268,1.416666667,268,268,15.5289269,698.4375,,,17,1.416666667
269,1,269,269,9.012872184,698.4375,,,12,1
270,1.583333333,270,270,17.77402153,698.4375,,,19,1.583333333
271.001,1,271,271,18.04211029,698.4375,,,12,1
272.001,1.25,272,272,13.28535107,698.4375,,,15,1.25
273,1.583333333,273,273,11.0296123,698.4375,,,19,1.583333333
274,1.583333333,274,274,8.880148849,698.4375,,,19,1.583333333
275.001,2.083333333,275,275,14.44334194,698.4375,,,25,2.083333333
276,0.75,276,276,9.998982326,698.4375,,,9,0.75
277,1.25,277,277,14.44443642,698.4375,,,15,1.25
278.001,1.333333333,278,278,9.010309596,698.4375,,,16,1.333333333
279,1.333333333,279,279,15.5474726,698.0494792,,,16,1.333333333
280,1.25,280,280,16.66157378,698.4375,,,15,1.25
281,1,281,281,21.10344118,698.4375,,,12,1
282,1.166666667,282,282,8.888561,698.4375,,,14,1.166666667
283,0.916666667,283,283,10.99430825,698.4375,,,11,0.916666667
284,1.583333333,284,284,16.97556707,698.4375,,,19,1.583333333
285,0.75,285,285,25.06688095,698.4375,,,9,0.75
286.001,1.833333333,286,286,18.87667358,698.4375,,,22,1.833333333
287,1.416666667,287,287,5.55423735,698.4375,,,17,1.416666667
288,1.666666667,288,288,10.01121757,698.4375,,,20,1.666666667
289,1.166666667,289,289,7.765565994,698.4375,,,14,1.166666667
290.001,1.333333333,290,290,13.00982502,698.4375,,,16,1.333333333
291,0.666666667,291,291,15.54863123,698.4375,,,8,0.666666667
292,1.916666667,292,292,17.75635178,698.4375,,,23,1.916666667
293,1.25,293,293,8.023949886,698.4375,,,15,1.25
294,0.916666667,294,294,14.42455779,698.4375,,,11,0.916666667
295,0.833333333,295,295,16.65594949,698.4375,,,10,0.833333333
296.001,0.75,296,296,14.00714224,698.4375,,,9,0.75
297.001,1.25,297,297,9.995437638,698.4375,,,15,1.25
298,1.25,298,298,17.77619175,698.4375,,,15,1.25
299,1.5,299,299,15.53925833,698.4375,,,18,1.5
300,1,300,300,13.01108675,698.4375,,,12,1
301,0.833333333,301,301,11.1064464,698.4375,,,10,0.833333333
302.001,1.5,302,302,12.21816986,698.4375,,,18,1.5
303.001,1.333333333,303,303,15.54110061,698.4375,,,16,1.333333333
304,1.25,304,304,6.004146464,698.4375,,,15,1.25
305,0.833333333,305,305,14.01309103,698.4375,,,10,0.833333333
306,0.833333333,306,306,13.33201495,698.4375,,,10,0.833333333
307,1.25,307,307,12.20218488,697.6614583,,,15,1.25
308,0.833333333,308,308,18.02890213,698.4375,,,10,0.833333333
308.999,0.666666667,309,309,12.00197192,698.0494792,,,8,0.666666667
310.001,1.25,310,310,14.41732066,698.4375,,,15,1.25
311,0.916666667,311,311,16.04272177,698.0494792,,,11,0.916666667
312.001,0.75,312,312,19.98430344,698.4375,,,9,0.75
313,0.666666667,313,313,8.870986253,698.4375,,,8,0.666666667
314,1.25,314,314,16.02063618,698.4375,,,15,1.25
315.001,1.333333333,315,315,11.00941415,698.4375,,,16,1.333333333
316,0.333333333,316,316,13.99173368,698.4375,,,4,0.333333333
317.001,1,317,317,14.4400258,698.4375,,,12,1
318,1,318,318,16.00144973,698.4375,,,12,1
319,1.166666667,319,319,14.99862163,698.4375,,,14,1.166666667
320,1.083333333,320,320,25.00700446,698.4375,,,13,1.083333333
321,0.333333333,321,321,14.43804999,698.4375,,,4,0.333333333
322,1.083333333,322,322,12.00072484,698.4375,,,13,1.083333333
323.001,0.833333333,323,323,10.00132518,698.4375,,,10,0.833333333
324.001,0.666666667,324,324,10.0036123,698.4375,,,8,0.666666667
325,1.166666667,325,325,10.99813142,698.4375,,,14,1.166666667
326,1.166666667,326,326,17.99957881,698.4375,,,14,1.166666667
327,1,327,327,12.00120732,698.4375,,,12,1
328.001,1,328,328,8.881769657,698.4375,,,12,1
329,1.333333333,329,329,13.01566044,698.4375,,,16,1.333333333
330.001,0.333333333,330,330,12.21456912,698.4375,,,4,0.333333333
331.001,1,331,331,20.99378584,698.4375,,,12,1
332.001,1,332,332,9.999611015,698.4375,,,12,1
333,1.166666667,333,333,14.00261289,698.4375,,,14,1.166666667
334,0.916666667,334,334,17.98964696,698.4375,,,11,0.916666667
335,0.5,335,335,12.02336621,698.4375,,,6,0.5
336,0.916666667,336,336,7.769675733,698.4375,,,11,0.916666667
337,1.25,337,337,7.774400233,698.4375,,,15,1.25
338.001,0.833333333,338,338,13.31969249,698.4375,,,10,0.833333333
339,0.75,339,339,11.01583968,701.5416667,,,9,0.75
340.001,1.25,340,340,16.99513769,698.4375,,,15,1.25
341.001,0.833333333,341,341,6.656316834,698.0494792,,,10,0.833333333
342.001,0.666666667,342,342,14.01074484,698.4375,,,8,0.666666667
343.001,0.583333333,343,343,20.99907814,697.6614583,,,7,0.583333333
344,0.916666667,344,344,18.03630709,698.4375,,,11,0.916666667
