Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1.001,0,1,1,6.32689617341938,698.4375
1.999,0,2,2,9.99345872607164,698.4375
3,0,3,3,13.0114683081668,698.4375
4.001,0,4,4,12.2119872200444,698.4375
5,0,5,5,14.0174040088173,698.4375
6.001,0,6,6,11.1035902792953,698.4375
7.001,0,7,7,16.6473003073092,698.4375
8,0,8,8,8.00823566956258,698.4375
9,0,9,9,12.2193425304992,698.4375
10.001,0,10,10,8.88718649894176,698.4375
11,0,11,11,9.99585394191498,699.6015625
12.001,0,12,12,18.0354251821428,698.4375
13,0,13,13,17.7614826042374,698.4375
14,0,14,14,11.9867055448802,698.4375
15.001,0,15,15,14.0004620152465,698.4375
16.001,0,16,16,6.65798687111569,698.4375
17.001,2,17,17,10.0010081016166,698.4375
18.001,5,18,18,16.9844778856603,698.4375
19,9,19,19,14.0201174665528,697.661458333333
20.001,4,20,20,4.44307054829601,698.4375
21,7,21,21,20.9913221874077,698.4375
22,4,22,22,10.9914464563677,698.4375
23.001,11,23,23,16.035783851665,698.4375
24.001,5,24,24,6.66030237772795,698.4375
25,3,25,25,12.2179975101943,698.4375
26.001,10,26,26,9.99191454275201,698.4375
27.001,8,27,27,13.010572391125,698.4375
28,6,28,28,15.5493669075264,698.4375
29.001,6,29,29,15.0144273632534,698.4375
30,11,30,30,11.9968100482082,698.4375
31.001,11,31,31,13.3287586071847,698.4375
32,3,32,32,14.4421690004841,698.4375
33,10,33,33,7.00067836573364,698.4375
34,9,34,34,10.0141800789919,698.4375
35,10,35,35,16.6573663038137,698.049479166667
36,11,36,36,7.77391845914717,698.4375
37,5,37,37,7.77005175631475,698.4375
38.001,14,38,38,10.0015732474718,698.049479166667
39.001,15,39,39,15.536823325566,698.4375
40.001,13,40,40,9.99985444656306,698.4375
41.001,9,41,41,10.00120514522,698.4375
42,14,42,42,14.4399151244004,698.4375
43,8,43,43,12.2150180760058,698.4375
44,12,44,44,13.0089384416032,698.4375
45.001,11,45,45,9.99151498344239,698.4375
46,14,46,46,8.01220820163683,698.049479166667
47.001,9,47,47,8.87367349673316,698.049479166667
48,15,48,48,12.9965611099303,698.049479166667
49,10,49,49,8.00978234718061,698.049479166667
50,17,50,50,13.3249193870137,698.049479166667
51.001,6,51,51,11.1082797340322,698.4375
52.001,10,52,52,12.008717127763,698.049479166667
53.001,9,53,53,14.9970020992804,697.661458333333
54.001,6,54,54,13.999143252433,698.4375
55,15,55,55,9.98881142134016,698.4375
56.001,13,56,56,11.0281559850454,698.4375
57,7,57,57,17.766983348339,699.213541666667
58,5,58,58,14.4173158617646,698.4375
59,9,59,59,8.88501699592689,698.049479166667
60,6,60,60,17.9974461623896,698.4375
61,15,61,61,11.0067911901643,698.4375
62,12,62,62,7.77521973048645,698.4375
63,13,63,63,11.0024931649512,698.4375
64,13,64,64,8.88409641243529,698.4375
65,14,65,65,16.0018834216787,698.4375
66,18,66,66,12.2151143828863,698.4375
67,14,67,67,14.0091003115624,698.4375
68.001,13,68,68,18.8711123011013,698.4375
69.001,15,69,69,13.0022936045919,698.4375
70,13,70,70,7.01022441230535,698.049479166667
71,24,71,71,10.9888331477553,698.049479166667
72.001,25,72,72,10.0055771086804,698.4375
73.001,23,73,73,14.4334621834409,698.4375
74.001,27,74,74,23.3330325964688,698.4375
75.001,25,75,75,14.4360266369122,698.4375
76,19,76,76,17.0239561110395,698.4375
77,27,77,77,8.88683800416282,698.049479166667
78,26,78,78,11.1091818165356,698.4375
79,27,79,79,9.99111456877684,698.4375
80.001,32,80,80,11.005633783934,698.4375
81.001,25,81,81,5.55038937646593,698.4375
82.001,31,82,82,10.0162383255734,698.4375
83.001,28,83,83,11.1064945115591,698.4375
84,31,84,84,14.006171118995,698.4375
85.001,37,85,85,13.3299282772101,698.4375
86.001,24,86,86,12.2151238780131,698.4375
87,25,87,87,9.01084635575843,698.4375
88,22,88,88,14.4343740628066,698.4375
89.001,20,89,89,7.76927904975058,698.4375
90.001,28,90,90,17.0201978688109,698.4375
