Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,,,
0,0,0,0,,2.328125,,0,0
1,0,1,1,7.431247952,699.6015625,,0,0
2.001,0,2,2,13.99023202,699.6015625,,0,0
3,0,3,3,10.00842409,699.9895833,,0,0
3.999,0,4,4,13.30906204,699.6015625,,0,0
5,0,5,5,12.00700969,699.6015625,,0,0
6,0,6,6,13.01399264,699.9895833,,0,0
7,0,7,7,12.22141425,700.765625,,0,0
8.001,0,8,8,7.766327622,700.765625,,0,0
9,0,9,9,16.65949013,700.765625,,0,0
10.001,0,10,10,15.02881625,700.765625,,0,0
11.001,0,11,11,12.00257455,700.765625,,0,0
12.001,0,12,12,7.767093709,700.3776042,,0,0
13.001,0,13,13,10.0156334,700.765625,,0,0
14.001,0,14,14,7.771125694,699.9895833,,0,0
15.001,0.083333333,15,15,14.44361153,699.6015625,,1,0.083333333
16.001,0,16,16,7.985967059,699.9895833,,0,0
17.001,0.333333333,17,17,12.02297952,699.6015625,,4,0.333333333
18.001,0.5,18,18,8.881342708,699.9895833,,6,0.5
19,0.916666667,19,19,11.01036736,700.3776042,,11,0.916666667
20,0.666666667,20,20,13.97607017,700.3776042,,8,0.666666667
21.001,0.583333333,21,21,13.31062688,700.3776042,,7,0.583333333
22.001,1.666666667,22,22,10.99755964,700.3776042,,20,1.666666667
23.001,1.083333333,23,23,10.00109312,700.765625,,13,1.083333333
24.001,1.25,24,24,11.01030344,700.765625,,15,1.25
25.001,0.75,25,25,7.777645558,700.765625,,9,0.75
26,2,26,26,7.766387938,700.3776042,,24,2
27,1,27,27,12.03188087,699.6015625,,12,1
28,1.583333333,28,28,14.40513284,699.6015625,,19,1.583333333
29.001,1.083333333,29,29,8.881677953,699.9895833,,13,1.083333333
30.001,1.083333333,30,30,12.02339994,699.6015625,,13,1.083333333
31,0.916666667,31,31,8.883005378,699.6015625,,11,0.916666667
32,1.916666667,32,32,13.99136453,699.6015625,,23,1.916666667
33,1.833333333,33,33,12.018606,699.6015625,,22,1.833333333
34,1.75,34,34,11.10108437,700.3776042,,21,1.75
35,1.666666667,35,35,13.006351,701.5416667,,20,1.666666667
