Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %,Raw
0,0,0,0,,698.4375,,0
1.001,0,1,1,19.07362174,698.4375,0.133515352,0
2.001,0,2,2,21.09666224,698.4375,0.147676636,0
3.001,0,3,3,38.85326045,698.4375,0.271972823,0
4.001,0,4,4,34.02879176,698.4375,0.238201542,0
5.001,0,5,5,23.30181892,698.4375,0.163112732,0
6.001,0,6,6,16.00913641,698.4375,0.112063955,0
7.001,0,7,7,17.00303844,698.4375,0.119021269,0
7.999,0,8,8,28.01558787,698.4375,0.196109115,0
9.001,0,9,9,22.20916817,698.4375,0.155464177,0
10.001,0,10,10,24.01187868,698.4375,0.168083151,0
11,0,11,11,30.000333,698.4375,0.210002331,0
12,0,12,12,23.98923843,698.4375,0.167924669,0
13.001,0,13,13,21.00397185,698.4375,0.147027803,0
14,0,14,14,20.03666309,698.8255208,0.140256642,0
15.001,0,15,15,21.09792959,698.8255208,0.147685507,0
16,0.083333333,16,16,24.96660966,698.4375,0.174766268,1
17,0.833333333,17,17,25.99437482,698.4375,0.181960624,10
18,1.333333333,18,18,24.04031561,698.4375,0.168282209,16
19.001,1.5,19,19,31.01256009,698.4375,0.217087921,18
20,1.916666667,20,20,25.54736904,698.4375,0.178831583,23
21.001,2.583333333,21,21,21.02220155,698.0494792,0.147155411,31
22,3,22,22,30.07544727,698.4375,0.210528131,36
23,3.166666667,23,23,16.66493166,698.4375,0.116654522,38
24,2.75,24,24,21.09512804,698.4375,0.147665896,33
25.001,3.5,25,25,34.99755717,698.4375,0.2449829,42
25.999,1.916666667,26,26,19.99459346,698.4375,0.139962154,23
27,4.333333333,27,27,23.01611128,698.4375,0.161112779,52
28,3.333333333,28,28,25.98518325,698.4375,0.181896283,40
29.001,4.083333333,29,29,22.02339986,698.4375,0.154163799,49
30.001,3,30,30,28.84197261,698.4375,0.201893808,36
31,3.166666667,31,31,17.77613645,698.4375,0.124432955,38
32.001,4,32,32,35.55511309,698.4375,0.248885792,48
33,4.25,33,33,26.03217056,698.4375,0.182225194,51
34,4,34,34,26.00236622,698.4375,0.182016564,48
35,3.666666667,35,35,19.98903046,698.4375,0.139923213,44
36.001,3.666666667,36,36,26.65545657,698.4375,0.186588196,44
36.999,4.416666667,37,37,23.01838018,698.4375,0.161128661,53
38.001,4.5,38,38,19.97425319,698.4375,0.139819772,54
39,4.083333333,39,39,22.01135346,698.4375,0.154079474,49
40.001,4.416666667,40,40,24.00737266,698.4375,0.168051609,53
41.001,3.916666667,41,41,16.00553792,698.4375,0.112038765,47
41.999,4.083333333,42,42,25.9853988,698.4375,0.181897792,49
43,4.583333333,43,43,19.00031161,698.4375,0.133002181,55
44,4,44,44,27.0101342,698.4375,0.189070939,48
45.001,4.25,45,45,27.0227207,698.4375,0.189159045,51
45.999,4.416666667,46,46,15.53897892,698.4375,0.108772852,53
47,4.916666667,47,47,24.42790404,698.4375,0.170995328,59
48.001,4.083333333,48,48,29.94899354,698.4375,0.209642955,49
48.999,4.25,49,49,24.07371613,698.4375,0.168516013,51
50.001,4.083333333,50,50,29.97890817,698.4375,0.209852357,49
51,4.416666667,51,51,28.85435984,698.4375,0.201980519,53
52.001,4.666666667,52,52,33.28886311,699.2135417,0.233022042,56
53.001,4.166666667,53,53,29.03144977,698.4375,0.203220148,50
54.001,3.083333333,54,54,31.10904409,698.4375,0.217763309,37
55,3.75,55,55,35.9999964,698.8255208,0.251999975,45
56,3.25,56,56,24.41747399,698.4375,0.170922318,39
57,4.083333333,57,57,29.02243144,698.4375,0.20315702,49
58.001,3.166666667,58,58,23.30410998,698.4375,0.16312877,38
59.001,3,59,59,35.5479167,698.4375,0.248835417,36
60,3.083333333,60,60,24.0457109,698.4375,0.168319976,37
61.001,3.666666667,61,61,21.09302501,698.4375,0.147651175,44
62,4.083333333,62,62,32.02104103,698.4375,0.224147287,49
62.999,3.5,63,63,31.09984951,698.8255208,0.217698947,42
64.001,4.916666667,64,64,20.98525995,698.4375,0.14689682,59
65.001,4.333333333,65,65,22.01384891,698.4375,0.154096942,52
66,3.916666667,66,66,19.99211111,698.4375,0.139944778,47
67.001,3.25,67,67,25.5487085,698.4375,0.17884096,39
68.001,4.416666667,68,68,23.0042926,698.4375,0.161030048,53
68.999,3.583333333,69,69,26.01496381,698.4375,0.182104747,43
70.001,4.166666667,70,70,22.96178699,698.4375,0.160732509,50
71.001,5.75,71,71,25.02566632,698.4375,0.175179664,69
72,7,72,72,33.31871752,698.4375,0.233231023,84
73.001,7.75,73,73,28.01057119,698.4375,0.196073998,93
74.001,9.083333333,74,74,23.30652565,699.2135417,0.16314568,109
75,6.666666667,75,75,23.05258987,698.4375,0.161368129,80
76,8.75,76,76,27.72758161,698.4375,0.194093071,105
77,7.333333333,77,77,26.64146976,698.4375,0.186490288,88
78.001,9.166666667,78,78,37.76890209,698.4375,0.264382315,110
79.001,10.75,79,79,30.02740902,698.4375,0.210191863,129
80.001,10.91666667,80,80,18.88175788,698.4375,0.132172305,131
81.001,10,81,81,22.03413308,698.4375,0.154238932,120
81.999,10,82,82,19.97035069,698.4375,0.139792455,120
83.001,10.41666667,83,83,27.74277564,698.4375,0.194199429,125
84,8.416666667,84,84,30.05164977,698.4375,0.210361548,101
85,9.5,85,85,31.06286358,698.4375,0.217440045,114
86.001,8.25,86,86,25.52683786,698.4375,0.178687865,99
87,9.916666667,87,87,24.99718532,698.4375,0.174980297,119
88.001,9.333333333,88,88,13.0226529,698.4375,0.09115857,112
88.999,9.583333333,89,89,18.86912453,698.4375,0.132083872,115
90.001,7.333333333,90,90,22.00681551,698.4375,0.154047709,88
91,7,91,91,26.0115179,698.4375,0.182080625,84
92.001,4.75,92,92,22.21200963,698.4375,0.155484067,57
93,5.583333333,93,93,32.21939766,698.4375,0.225535784,67
94.001,5.166666667,94,94,16.99475542,698.4375,0.118963288,62
95.001,7.666666667,95,95,25.54498561,698.4375,0.178814899,92
96.001,6.416666667,96,96,28.05063139,698.4375,0.19635442,77
97,5.833333333,97,97,24.42975131,698.4375,0.171008259,70
98,6,98,98,26.98863509,700.3776042,0.188920446,72
99.001,4.916666667,99,99,35.53676845,698.4375,0.248757379,59
99.999,4.833333333,100,100,28.86877056,698.4375,0.202081394,58
101,4,101,101,20.03614922,698.4375,0.140253045,48
102,4.5,102,102,26.64212039,698.4375,0.186494843,54
103.001,4.583333333,103,103,21.10249895,698.4375,0.147717493,55
104,3.666666667,104,104,22.01043735,698.4375,0.154073061,44
105.001,3.583333333,105,105,28.86333522,698.4375,0.202043347,43
106,4.416666667,106,106,23.03684282,698.4375,0.1612579,53
107,3.583333333,107,107,26.60580441,698.4375,0.186240631,43
108.001,4.833333333,108,108,20.01505933,698.4375,0.140105415,58
109.001,3.5,109,109,23.05060992,698.4375,0.161354269,42
109.999,4.583333333,110,110,27.72150005,698.8255208,0.1940505,55
111.001,4.333333333,111,111,27.98100649,698.4375,0.195867045,52
112,4.583333333,112,112,27.02631011,698.4375,0.189184171,55
113,4.083333333,113,113,18.86411611,698.8255208,0.132048813,49
114.001,4.333333333,114,114,29.99166232,698.4375,0.209941636,52
115,4,115,115,19.01530352,698.4375,0.133107125,48
116.001,3.666666667,116,116,24.01598504,698.4375,0.168111895,44
117,3.75,117,117,24.96369779,698.4375,0.174745885,45
118.001,3.75,118,118,23.01568519,698.4375,0.161109796,45
