Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %
0,0,0,0,,698.4375,
1.001,0,1,1,19.073621742742,698.4375,0.133515352199194
2.001,0,2,2,21.0966622415492,698.4375,0.147676635690845
3.001,0,3,3,38.8532604490571,698.4375,0.2719728231434
4.001,0,4,4,34.0287917607087,698.4375,0.238201542324961
5.001,0,5,5,23.3018189177925,698.4375,0.163112732424548
6.001,0,6,6,16.0091364141516,698.4375,0.112063954899061
7.001,0,7,7,17.0030384429698,698.4375,0.119021269100788
7.999,0,8,8,28.0155878730926,698.4375,0.196109115111648
9.001,0,9,9,22.2091681667109,698.4375,0.155464177166976
10.001,0,10,10,24.0118786763812,698.4375,0.168083150734668
11,0,11,11,30.0003330036963,698.4375,0.210002331025874
12,0,12,12,23.9892384276414,698.4375,0.16792466899349
13.001,0,13,13,21.003971851077,698.4375,0.147027802957539
14,0,14,14,20.036663086115,698.825520833333,0.140256641602805
15.001,0,15,15,21.0979295935439,698.825520833333,0.147685507154808
16,1,16,16,24.9666096562457,698.4375,0.17476626759372
17,10,17,17,25.9943748172895,698.4375,0.181960623721027
18,16,18,18,24.0403156092768,698.4375,0.168282209264937
19.001,18,19,19,31.0125600868352,698.4375,0.217087920607846
20,23,20,20,25.5473690430755,698.4375,0.178831583301529
21.001,31,21,21,21.0222015470538,698.049479166667,0.147155410829377
22,36,22,22,30.075447267014,698.4375,0.210528130869098
23,38,23,23,16.6649316621147,698.4375,0.116654521634803
24,33,24,24,21.0951280357693,698.4375,0.147665896250385
25.001,42,25,25,34.9975571705095,698.4375,0.244982900193566
25.999,23,26,26,19.9945934619279,698.4375,0.139962154233495
27,52,27,27,23.0161112778945,698.4375,0.161112778945262
28,40,28,28,25.9851832485117,698.4375,0.181896282739582
29.001,49,29,29,22.0233998623538,698.4375,0.154163799036476
30.001,36,30,30,28.8419726134377,698.4375,0.201893808294064
31,38,31,31,17.7761364478458,698.4375,0.12443295513492
32.001,48,32,32,35.555113091926,698.4375,0.248885791643482
33,51,33,33,26.0321705563736,698.4375,0.182225193894615
34,48,34,34,26.0023662153256,698.4375,0.182016563507279
35,44,35,35,19.9890304642819,698.4375,0.139923213249973
36.001,44,36,36,26.6554565663218,698.4375,0.186588195964253
36.999,53,37,37,23.018380176571,698.4375,0.161128661235997
38.001,54,38,38,19.9742531876411,698.4375,0.139819772313488
39,49,39,39,22.0113534561127,698.4375,0.154079474192789
40.001,53,40,40,24.0073726641452,698.4375,0.168051608649016
41.001,47,41,41,16.005537916119,698.4375,0.112038765412833
41.999,49,42,42,25.9853988044118,698.4375,0.181897791630883
43,55,43,43,19.0003116051103,698.4375,0.133002181235772
44,48,44,44,27.0101342023527,698.4375,0.189070939416469
45.001,51,45,45,27.0227207035676,698.4375,0.189159044924973
45.999,53,46,46,15.5389789181563,698.4375,0.108772852427094
47,59,47,47,24.4279040391983,698.4375,0.170995328274388
48.001,49,48,48,29.9489935363417,698.4375,0.209642954754392
48.999,51,49,49,24.0737161261499,698.4375,0.168516012883049
50.001,49,50,50,29.9789081726057,698.4375,0.20985235720824
51,53,51,51,28.8543598382824,698.4375,0.201980518867977
52.001,56,52,52,33.2888631109796,699.213541666667,0.233022041776857
53.001,50,53,53,29.0314497695353,698.4375,0.203220148386747
54.001,37,54,54,31.1090440879595,698.4375,0.217763308615716
55,45,55,55,35.9999964000004,698.825520833333,0.251999974800002
56,39,56,56,24.4174739878985,698.4375,0.170922317915289
57,49,57,57,29.0224314372579,698.4375,0.203157020060805
58.001,38,58,58,23.3041099794191,698.4375,0.163128769855934
59.001,36,59,59,35.5479167032329,698.4375,0.24883541692263
60,37,60,60,24.0457108964141,698.4375,0.168319976274899
61.001,44,61,61,21.0930250139963,698.4375,0.147651175097974
62,49,62,62,32.0210410260582,698.4375,0.224147287182408
62.999,42,63,63,31.0998495100496,698.825520833333,0.217698946570347
64.001,59,64,64,20.9852599534087,698.4375,0.146896819673861
65.001,52,65,65,22.0138489123508,698.4375,0.154096942386455
66,47,66,66,19.9921111129548,698.4375,0.139944777790684
67.001,39,67,67,25.5487085016771,698.4375,0.17884095951174
68.001,53,68,68,23.0042926009993,698.4375,0.161030048206995
68.999,43,69,69,26.0149638071819,698.4375,0.182104746650273
70.001,50,70,70,22.9617869940844,698.4375,0.160732508958591
71.001,69,71,71,25.0256663233813,698.4375,0.175179664263669
72,84,72,72,33.3187175225801,698.4375,0.233231022658061
73.001,93,73,73,28.0105711895669,698.4375,0.196073998326969
74.001,109,74,74,23.3065256496084,699.213541666667,0.163145679547259
75,80,75,75,23.0525898732779,698.4375,0.161368129112945
76,105,76,76,27.7275816125319,698.4375,0.194093071287723
77,88,77,77,26.6414697566035,698.4375,0.186490288296225
78.001,110,78,78,37.7689020857876,698.4375,0.264382314600513
79.001,129,79,79,30.0274090189525,698.4375,0.210191863132667
80.001,131,80,80,18.8817578783302,698.4375,0.132172305148311
81.001,120,81,81,22.0341330755473,698.4375,0.154238931528831
81.999,120,82,82,19.9703506860148,698.4375,0.139792454802104
83.001,125,83,83,27.7427756425088,698.4375,0.194199429497562
84,101,84,84,30.0516497704605,698.4375,0.210361548393223
85,114,85,85,31.0628635811111,698.4375,0.217440045067778
86.001,99,86,86,25.5268378629597,698.4375,0.178687865040718
87,119,87,87,24.9971853169333,698.4375,0.174980297218533
88.001,112,88,88,13.0226529047278,698.4375,0.0911585703330944
88.999,115,89,89,18.8691245292292,698.4375,0.132083871704605
90.001,88,90,90,22.0068155107637,698.4375,0.154047708575346
91,84,91,91,26.0115179001262,698.4375,0.182080625300883
92.001,57,92,92,22.2120096337928,698.4375,0.15548406743655
93,67,93,93,32.2193976550278,698.4375,0.225535783585195
94.001,62,94,94,16.9947554184779,698.4375,0.118963287929345
95.001,92,95,95,25.5449856081772,698.4375,0.178814899257241
96.001,77,96,96,28.0506313896583,698.4375,0.196354419727608
97,70,97,97,24.4297513062421,698.4375,0.171008259143695
98,72,98,98,26.9886350857654,700.377604166667,0.188920445600358
99.001,59,99,99,35.5367684506347,698.4375,0.248757379154443
99.999,58,100,100,28.8687705634473,698.4375,0.202081393944131
101,48,101,101,20.0361492204235,698.4375,0.140253044542964
102,54,102,102,26.6421203930778,698.4375,0.186494842751545
103.001,55,103,103,21.1024989468187,698.4375,0.147717492627731
104,44,104,104,22.0104373493911,698.4375,0.154073061445738
105.001,43,105,105,28.8633352161109,698.4375,0.202043346512776
106,53,106,106,23.0368428227264,698.4375,0.161257899759085
107,43,107,107,26.6058044109763,698.4375,0.186240630876834
108.001,58,108,108,20.0150593306404,698.4375,0.140105415314483
109.001,42,109,109,23.0506099191385,698.4375,0.161354269433969
109.999,55,110,110,27.7215000525045,698.825520833333,0.194050500367532
111.001,52,111,111,27.9810064927927,698.4375,0.195867045449549
112,55,112,112,27.0263101128949,698.4375,0.189184170790264
113,49,113,113,18.8641161124075,698.825520833333,0.132048812786852
114.001,52,114,114,29.9916623178756,698.4375,0.209941636225129
115,48,115,115,19.0153035162699,698.4375,0.133107124613889
116.001,44,116,116,24.0159850396424,698.4375,0.168111895277497
117,45,117,117,24.9636977906728,698.4375,0.17474588453471
118.001,45,118,118,23.0156851894566,698.4375,0.161109796326196
119,52,119,119,22.0039915240625,698.4375,0.154027940668437
120.001,62,120,120,22.2196299320635,698.825520833333,0.155537409524444
121.001,60,121,121,25.015529640801,698.4375,0.175108707485607
122,42,122,122,29.0045043995332,698.4375,0.203031530796733
123.001,58,123,123,29.9831661179562,698.4375,0.209882162825693
124.001,50,124,124,25.5107416859938,698.4375,0.178575191801957
125.001,55,125,125,21.0528679620262,698.4375,0.147370075734184
126,39,126,126,27.7558105956808,698.4375,0.194290674169765
127.001,54,127,127,26.6533666367149,698.4375,0.186573566457005
128,56,128,128,24.0293638826646,698.4375,0.168205547178652
129,57,129,129,28.8847840401347,698.825520833333,0.202193488280943
130,42,130,130,26.6612810878869,698.825520833333,0.186628967615208
131,44,131,131,25.9776306622367,698.4375,0.181843414635657
132,51,132,132,30.0560485192788,698.4375,0.210392339634951
133.001,48,133,133,22.1778837042788,698.4375,0.155245185929951
134.001,43,134,134,27.0495195554502,698.4375,0.189346636888151
135.001,45,135,135,22.9392659993401,698.4375,0.160574861995381
136,38,136,136,28.0668327421256,698.4375,0.196467829194879
137,46,137,137,36.6296259748892,698.4375,0.256407381824224
138,61,138,138,20.0088519160877,698.4375,0.140061963412614
139.001,51,139,139,25.9856559179333,698.4375,0.181899591425533
140,59,140,140,20.030596736515,698.4375,0.140214177155605
141.001,49,141,141,24.4167043553296,698.4375,0.170916930487307
142,48,142,142,22.2069068587919,698.825520833333,0.155448348011544
143,48,143,143,27.9935390911778,698.4375,0.195954773638244
144,42,144,144,23.0307068414317,698.4375,0.161214947890022
145,62,145,145,24.4022637758266,698.4375,0.170815846430786
146,53,146,146,24.99487105246,698.4375,0.17496409736722
147.001,54,147,147,24.0267946814287,698.4375,0.168187562770001
148,57,148,148,19.9935687353901,698.4375,0.139954981147731
149,34,149,149,27.040062556684,698.4375,0.189280437896788
150.001,48,150,150,15.5315868655583,698.4375,0.108721108058908
151.001,40,151,151,22.0035755810319,698.825520833333,0.154025029067223
152,53,152,152,26.9888239280114,698.4375,0.18892176749608
153,50,153,153,8.00767535682952,698.4375,0.0560537274978066
154.001,47,154,154,18.9883392608599,698.4375,0.132918374826019
155,60,155,155,21.9977870226255,698.4375,0.153984509158379
156.001,43,156,156,37.0227578892745,698.4375,0.259159305224922
157.001,54,157,157,22.9819178270537,698.4375,0.160873424789376
158.001,57,158,158,29.9894047433042,698.4375,0.209925833203129
159.001,50,159,159,30.0068805777165,698.4375,0.210048164044015
160,57,160,160,28.9833519626327,698.825520833333,0.202883463738429
161.001,52,161,161,23.0104191177765,698.4375,0.161072933824436
162.001,47,162,162,21.988484630599,698.4375,0.153919392414193
163.001,46,163,163,26.0199338713388,698.4375,0.182139537099372
164.001,46,164,164,29.9937579657034,698.049479166667,0.209956305759924
165.001,48,165,165,28.9710637015749,698.4375,0.202797445911024
166,61,166,166,23.0140477747617,698.4375,0.161098334423332
167.001,55,167,167,30.0139444786048,698.825520833333,0.210097611350233
168.001,54,168,168,23.9784002570485,698.4375,0.167848801799339
168.999,61,169,169,23.056523066297,698.4375,0.161395661464079
170.001,68,170,170,32.1503126895067,698.4375,0.225052188826547
171.001,51,171,171,25.5458850188601,698.4375,0.178821195132021
172,55,172,172,17.012017289013,698.4375,0.119084121023091
173,62,173,173,29.0094773962654,698.4375,0.203066341773857
174.001,48,174,174,24.0135964983374,698.4375,0.168095175488362
174.999,56,175,175,24.9657295430562,698.4375,0.174760106801394
176,54,176,176,19.0006916251752,698.4375,0.133004841376226
177,38,177,177,28.0301492285102,698.825520833333,0.196211044599571
178,60,178,178,19.9665221323407,699.213541666667,0.139765654926385
179,60,179,179,30.0286262894417,698.4375,0.210200384026092
180.001,56,180,180,24.4386633428603,698.4375,0.171070643400022
181.001,49,181,181,19.013358785883,698.4375,0.133093511501181
182,53,182,182,32.9841873805698,698.4375,0.230889311663988
183.001,58,183,183,21.0047911928711,698.4375,0.147033538350098
184,49,184,184,20.0327916766956,698.4375,0.140229541736869
185.001,44,185,185,22.172917045685,698.4375,0.155210419319795
186.001,58,186,186,31.9978017510197,698.4375,0.223984612257138
186.999,45,187,187,21.0111464131722,698.825520833333,0.147078024892205
188.001,71,188,188,20.0067182559904,698.4375,0.140047027791933
189.001,43,189,189,21.9943342594948,698.4375,0.153960339816463
190.001,53,190,190,22.0009504410591,698.4375,0.154006653087413
191.001,46,191,191,30.9716485529147,698.4375,0.216801539870403
192,57,192,192,22.0008932362654,698.4375,0.154006252653858
193.001,71,193,193,22.0154812864406,698.4375,0.154108369005084
194.001,48,194,194,26.9913789535622,698.4375,0.188939652674936
195.001,56,195,195,23.014358658367,698.4375,0.161100510608569
196,47,196,196,27.75174663943,698.4375,0.19426222647601
197.001,46,197,197,22.0281850627878,698.4375,0.154197295439515
198.001,46,198,198,30.9890329812279,698.4375,0.216923230868596
199,37,199,199,37.9733958388753,698.4375,0.265813770872127
200,48,200,200,31.0375430120273,698.4375,0.217262801084191
201.001,47,201,201,23.9678136230856,698.4375,0.167774695361599
202.001,46,202,202,28.0480266360088,698.4375,0.196336186452062
203.001,41,203,203,17.7430034624362,698.4375,0.124201024237054
204.001,45,204,204,32.0113736410547,698.4375,0.224079615487383
205,41,205,205,17.9994582163077,698.4375,0.125996207514154
206.001,47,206,206,30.9796339886159,698.4375,0.216857437920311
207,49,207,207,29.0352691414261,698.4375,0.203246883989983
208,55,208,208,24.9967379257007,698.4375,0.174977165479905
209.001,54,209,209,28.0435235485473,698.4375,0.196304664839831
210,60,210,210,31.0670959399633,698.4375,0.217469671579743
211.001,45,211,211,24.4425134858791,698.4375,0.171097594401153
212.001,52,212,212,29.0067875882957,698.4375,0.20304751311807
213,43,213,213,30.9967019509124,698.825520833333,0.216976913656387
214.001,50,214,214,27.000639915166,698.825520833333,0.189004479406162
215,49,215,215,24.9894119861415,698.4375,0.17492588390299
216.001,46,216,216,20.0083534875811,698.4375,0.140058474413067
217,49,217,217,23.9958463190022,698.4375,0.167970924233015
218,54,218,218,28.9817241247669,698.4375,0.202872068873368
219,47,219,219,36.976852490341,698.4375,0.258837967432387
220.001,52,220,220,34.0160079333334,698.049479166667,0.238112055533334
221,47,221,221,21.0018796682303,698.4375,0.147013157677612
222.001,36,222,222,29.9813935471646,698.825520833333,0.209869754830152
223,41,223,223,23.007169033871,698.4375,0.161050183237097
224.001,53,224,224,26.0174212652792,698.4375,0.182121948856955
225,44,225,225,18.0191056577289,698.4375,0.126133739604102
226,49,226,226,19.9849668638147,698.4375,0.139894768046703
227,41,227,227,24.0043135751495,698.4375,0.168030195026046
228.001,54,228,228,23.0004163075352,698.4375,0.161002914152746
229.001,41,229,229,24.9875237294019,698.4375,0.174912666105813
230.001,36,230,230,17.0131767053583,698.4375,0.119092236937508
231.001,45,231,231,20.9954376913897,698.4375,0.146968063839728
232,54,232,232,17.9965392654992,698.4375,0.125975774858495
233,42,233,233,30.9731834177969,698.4375,0.216812283924578
234.001,43,234,234,16.9987998847281,698.4375,0.118991599193097
235,45,235,235,29.0362662966045,699.213541666667,0.203253864076231
236.001,47,236,236,19.99405510095,698.4375,0.13995838570665
237.001,45,237,237,24.4172219549893,698.825520833333,0.170920553684925
238.001,40,238,238,28.0187613626084,698.825520833333,0.196131329538259
239.001,38,239,239,25.5469178587729,698.4375,0.17882842501141
240,49,240,240,23.9822004108551,698.4375,0.167875402875985
241,56,241,241,28.9880366372798,698.4375,0.202916256460959
242,49,242,242,27.0346070004212,698.4375,0.189242249002949
243,41,243,243,26.9944526399825,698.4375,0.188961168479877
244.001,46,244,244,25.5212351656434,698.4375,0.178648646159504
245.001,51,245,245,23.3287894035751,698.4375,0.163301525825025
246,49,246,246,18.0290971599064,698.825520833333,0.126203680119345
247,52,247,247,29.9919711493233,698.4375,0.209943798045263
248,44,248,248,29.9937146504632,698.4375,0.209956002553243
249,65,249,249,25.9866376709096,698.4375,0.181906463696367
250.001,44,250,250,27.0184536038114,698.4375,0.18912917522668
251.001,52,251,251,29.0117874892569,698.4375,0.203082512424798
252.001,42,252,252,21.0701741039576,698.4375,0.147491218727703
252.999,40,253,253,27.049554784365,698.4375,0.189346883490555
254.001,50,254,254,22.0065909739967,698.4375,0.154046136817977
255,45,255,255,18.9671470046732,698.4375,0.132770029032712
256.001,39,256,256,18.0196251737768,698.4375,0.126137376216437
257.001,58,257,257,20.01977753823,698.4375,0.14013844276761
258.001,51,258,258,32.1675623853823,698.4375,0.225172936697676
259,31,259,259,24.4394316454647,698.825520833333,0.171076021518253
260,35,260,260,29.0192136213387,698.4375,0.203134495349371
261,54,261,261,21.0064447772577,698.4375,0.147045113440804
262,44,262,262,18.9705652709256,698.4375,0.132793956896479
263.001,35,263,263,35.989052130342,698.4375,0.251923364912394
264,51,264,264,32.0664802268062,698.825520833333,0.224465361587643
265,46,265,265,27.9893192757644,698.4375,0.195925234930351
266.001,43,266,266,22.2061622322256,698.4375,0.155443135625579
267.001,33,267,267,29.0118948768995,698.4375,0.203083264138297
268.001,48,268,268,37.7726784661848,698.4375,0.264408749263294
269.001,37,269,269,28.0350409977431,698.4375,0.196245286984202
270.001,34,270,270,28.8486578328378,698.4375,0.201940604829864
271.001,34,271,271,23.0374889056962,698.4375,0.161262422339874
272.001,40,272,272,29.9593152498907,698.049479166667,0.209715206749235
273,42,273,273,18.9892653682873,698.4375,0.132924857578011
274,45,274,274,23.0289012710952,698.4375,0.161202308897667
275,41,275,275,31.0703847412453,698.4375,0.217492693188717
276.001,56,276,276,24.0237883552293,698.825520833333,0.168166518486605
277.001,44,277,277,32.9992740159717,699.6015625,0.230994918111802
278.001,32,278,278,20.9934500435864,698.4375,0.146954150305105
279.001,52,279,279,29.988415475102,698.4375,0.209918908325714
280,53,280,280,19.033222489856,698.4375,0.133232557428992
281.001,47,281,281,17.7485912055731,698.4375,0.124240138439011
282.001,35,282,282,29.9998560006912,698.4375,0.209998992004838
283,45,283,283,23.0089573871108,698.4375,0.161062701709776
284,40,284,284,19.0211039147935,698.4375,0.133147727403554
285.001,46,285,285,19.9769532549282,698.4375,0.139838672784498
286.001,44,286,286,28.015935464092,698.4375,0.196111548248644
287.001,36,287,287,31.0325057739856,698.4375,0.217227540417899
288.001,43,288,288,22.0583222039071,698.4375,0.15440825542735
289.001,48,289,289,18.8351313312771,698.4375,0.131845919318939
290,44,290,290,26.0358513673328,698.4375,0.18225095957133
291,52,291,291,26.6431141537547,698.4375,0.186501799076283
292,42,292,292,23.3163227805137,698.4375,0.163214259463596
293,47,293,293,23.2989027326284,698.4375,0.163092319128399
294.001,42,294,294,11.0151656801084,698.4375,0.0771061597607586
295.001,49,295,295,19.9694157303969,698.4375,0.139785910112778
296.001,47,296,296,27.0597397875289,698.4375,0.189418178512702
297.001,49,297,297,26.6630641904383,698.4375,0.186641449333068
298,40,298,298,26.663241921371,698.4375,0.186642693449597
299.002,63,299,299,21.9769176433991,698.4375,0.153838423503794
300.001,41,300,300,22.0071281087944,698.4375,0.154049896761561
301.001,44,301,301,21.0927791423942,699.213541666667,0.14764945399676
302.001,53,302,302,21.0109214769837,698.825520833333,0.147076450338886
303,34,303,303,25.018809140712,698.4375,0.175131663984984
304.001,38,304,304,28.9582740229603,698.4375,0.202707918160722
305,41,305,305,20.0133869545339,698.4375,0.140093708681737
306,43,306,306,30.9711627503631,698.4375,0.216798139252542
307.001,37,307,307,32.0310220448504,698.4375,0.224217154313953
308,38,308,308,33.0338200249415,698.4375,0.231236740174591
309,39,309,309,27.7681329795895,698.4375,0.194376930857127
310,41,310,310,20.9799536542833,698.4375,0.146859675579983
311.001,45,311,311,24.991330507447,698.4375,0.174939313552129
312.001,38,312,312,25.0250701152415,698.4375,0.17517549080669
313,43,313,313,29.9513855732828,698.4375,0.20965969901298
314.001,38,314,314,35.0306658448806,698.4375,0.245214660914164
315,39,315,315,21.0402921594854,698.4375,0.147282045116398
316,39,316,316,16.6586316533325,698.4375,0.116610421573328
317.001,46,317,317,27.9940512641064,698.4375,0.195958358848745
318.001,44,318,318,28.9908215059112,698.4375,0.202935750541379
319.001,47,319,319,24.0278194093121,698.4375,0.168194735865185
320.001,42,320,320,17.7571144156361,698.4375,0.124299800909453
321,34,321,321,33.3035229798749,698.4375,0.233124660859124
322.001,40,322,322,21.9864519483095,698.4375,0.153905163638166
323.001,55,323,323,25.0476531601372,698.4375,0.17533357212096
324.001,39,324,324,24.4249831606395,698.4375,0.170974882124476
325.001,42,325,325,21.0344333674225,698.4375,0.147241033571957
326.001,48,326,326,22.1862681421275,698.4375,0.155303876994892
327.001,51,327,327,27.0515738254983,698.4375,0.189361016778488
328.001,47,328,328,26.6086804389501,698.4375,0.186260763072651
329.001,57,329,329,22.2180526343445,698.4375,0.155526368440412
330.001,50,330,330,22.210070845684,698.4375,0.155470495919788
331.001,48,331,331,24.4272991945542,698.4375,0.17099109436188
332.001,34,332,332,21.0382665029422,698.4375,0.147267865520595
333.001,43,333,333,23.3158878678997,698.4375,0.163211215075298
334,39,334,334,26.0221135921306,698.4375,0.182154795144914
335.001,42,335,335,18.8802899657145,698.4375,0.132162029760002
336,40,336,336,25.5234017412287,698.4375,0.178663812188601
337.001,41,337,337,19.9990378240691,698.4375,0.139993264768484
338.001,48,338,338,26.0026938790859,698.4375,0.182018857153601
339,49,339,339,32.0080276133254,698.4375,0.224056193293278
340.001,49,340,340,20.0308836163597,698.825520833333,0.140216185314518
341,36,341,341,18.8695706417896,698.4375,0.132086994492527
342.001,44,342,342,25.5268463623467,699.989583333333,0.178687924536427
343.001,49,343,343,36.9973657875559,698.825520833333,0.258981560512891
344.001,51,344,344,19.0083313516314,698.4375,0.13305831946142
345.001,41,345,345,17.7720314875968,698.825520833333,0.124404220413178
346.001,37,346,346,23.9953113161688,698.049479166667,0.167967179213182
347,41,347,347,24.0053411884144,698.4375,0.168037388318901
348.001,46,348,348,22.037501215819,698.4375,0.154262508510733
349,49,349,349,25.5448863080409,698.4375,0.178814204156286
350.001,51,350,350,18.8680250460824,698.4375,0.132076175322577
351.001,53,351,351,27.9931052981651,698.4375,0.195951737087155
352.001,51,352,352,21.0152192217604,698.4375,0.147106534552323
353.001,44,353,353,20.9963865218796,698.4375,0.146974705653157
354,53,354,354,33.2978969714231,698.4375,0.233085278799962
355.001,41,355,355,32.0486947868592,698.4375,0.224340863508014
356,38,356,356,27.9745934742067,698.4375,0.195822154319447
357.001,56,357,357,22.9752854854034,698.4375,0.160826998397823
358.001,35,358,358,20.016295265976,698.4375,0.140114066861832
359,50,359,359,26.0272844022389,698.4375,0.182190990815672
360,37,360,360,21.0952755909009,698.4375,0.147666929136306
361,52,361,361,33.3222851445698,698.4375,0.233255996011989
362.001,59,362,362,13.9994344228493,699.6015625,0.0979960409599452
363,41,363,363,25.047058413347,698.4375,0.175329408893429
364,41,364,364,16.9718098238825,698.4375,0.118802668767178
365,51,365,365,24.4330016553359,698.4375,0.171031011587351
366,38,366,366,11.9943362744112,698.4375,0.0839603539208786
367.001,42,367,367,28.0260081355498,698.4375,0.196182056948848
368,46,368,368,25.0137175226894,698.4375,0.175096022658826
369,43,369,369,21.0788300539296,698.4375,0.147551810377507
370,40,370,370,21.0348905729934,698.4375,0.147244234010954
371,39,371,371,20.9939369510085,698.4375,0.14695755865706
372,46,372,372,28.8556311708738,698.825520833333,0.201989418196117
373,56,373,373,17.7695781046813,698.4375,0.124387046732769
374.001,46,374,374,29.0660642574508,698.4375,0.203462449802155
375,46,375,375,19.9792748322407,698.4375,0.139854923825685
376,44,376,376,26.9720623378305,698.4375,0.188804436364813
377,43,377,377,19.0172524514239,699.6015625,0.133120767159968
378,42,378,378,25.0533988142327,698.825520833333,0.175373791699629
379,63,379,379,27.728067514517,698.825520833333,0.194096472601619
380.001,36,380,380,19.0008075343202,698.4375,0.133005652740241
381.001,33,381,381,27.0036265870506,698.825520833333,0.189025386109354
382.001,39,382,382,19.0009253450643,698.4375,0.13300647741545
383,48,383,383,27.7525568708171,698.4375,0.194267898095719
384.001,51,384,384,27.0197757738889,698.4375,0.189138430417222
385.001,50,385,385,13.3321482534886,698.4375,0.09332503777442
386.001,66,386,386,22.0067032418075,698.4375,0.154046922692652
387,43,387,387,28.0021757690573,698.4375,0.196015230383401
388,42,388,388,26.9723506433555,698.4375,0.188806454503488
389.001,36,389,389,22.025743689224,702.317708333333,0.154180205824568
390,44,390,390,36.6454245355775,698.4375,0.256517971749043
391,35,391,391,20.0212265043399,698.4375,0.140148585530379
392,43,392,392,15.5475554745108,698.4375,0.108832888321576
393.001,43,393,393,22.2191683209763,698.4375,0.155534178246834
393.999,42,394,394,31.0818975809292,698.4375,0.217573283066505
395.001,31,395,395,25.0487523867704,698.4375,0.175341266707393
396.001,42,396,396,18.8670387616652,698.4375,0.132069271331657
397.001,47,397,397,24.4338998592163,698.4375,0.171037299014514
398.001,48,398,398,24.4299167872616,698.4375,0.171009417510831
399.001,40,399,399,35.5553224706638,698.4375,0.248887257294647
400,51,400,400,35.5156714565099,698.4375,0.248609700195569
401,34,401,401,20.0210421152631,698.4375,0.140147294806842
402.001,49,402,402,23.0104651595546,698.4375,0.161073256116882
403.001,48,403,403,21.0089308965241,698.4375,0.147062516275669
404,42,404,404,17.7565153371346,698.4375,0.124295607359942
405,45,405,405,34.023864338447,698.4375,0.238167050369129
406.001,42,406,406,31.0857796546681,698.4375,0.217600457582677
407.001,43,407,407,27.773883262147,698.4375,0.194417182835029
408.001,55,408,408,12.0006204320763,698.4375,0.0840043430245344
409,39,409,409,25.0165809898801,698.825520833333,0.175116066929161
410,41,410,410,25.5195106644926,698.825520833333,0.178636574651448
411,34,411,411,25.0301964289719,698.4375,0.175211375002803
412,48,412,412,32.0427097277962,698.4375,0.224298968094573
413.001,41,413,413,22.1937993631711,698.049479166667,0.155356595542198
414,37,414,414,30.9846006534752,698.4375,0.216892204574327
415,41,415,415,31.9654293881168,698.4375,0.223758005716817
416,36,416,416,15.9959274368746,698.4375,0.111971492058122
417,52,417,417,31.0678708707041,698.4375,0.217475096094929
418,51,418,418,18.8696041534441,698.4375,0.132087229074108
419.001,39,419,419,23.0160744263794,698.4375,0.161112520984656
420,50,420,420,12.0075779824647,698.4375,0.0840530458772531
421.001,40,421,421,26.9751181510175,698.825520833333,0.188825827057123
422,41,422,422,27.9790269214197,698.4375,0.195853188449938
