Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %,Raw
0,0,0,0,697.2734375,,,0
1,0,1,1,698.4375,12.67421233,0.088719486,0
2,0,2,2,698.4375,16.0236477,0.112165534,0
3.001,0,3,3,698.4375,18.87015083,0.132091056,0
4.001,0,4,4,698.4375,17.01614492,0.119113014,0
5.001,0,5,5,698.4375,27.7667297,0.194367108,0
6,0,6,6,698.4375,23.32110271,0.163247719,0
7.001,0,7,7,698.4375,16.66212901,0.116634903,0
7.999,0,8,8,698.4375,26.99963011,0.188997411,0
9.001,0,9,9,698.4375,18.999981,0.132999867,0
10,0,10,10,698.4375,15.01300577,0.10509104,0
11,0,11,11,698.4375,22.21466923,0.155502685,0
12.001,0,12,12,698.4375,12.00709139,0.08404964,0
13,0,13,13,698.4375,27.7613184,0.194329229,0
14,0,14,14,698.4375,18.00625717,0.1260438,0
15,0,15,15,698.0494792,27.99755301,0.195982871,0
16,0.083333333,16,16,698.4375,19.99736701,0.139981569,1
17.001,0.25,17,17,698.4375,23.03016722,0.161211171,3
18,0.916666667,18,18,698.4375,20.97006942,0.146790486,11
19.001,1.166666667,19,19,698.4375,20.01609294,0.140112651,14
20,1.333333333,20,20,698.4375,18.88787944,0.132215156,16
21,1.5,21,21,698.4375,16.98078454,0.118865492,18
22,2.916666667,22,22,698.0494792,19.01462224,0.133102356,35
23,3.083333333,23,23,698.0494792,20.9687084,0.146780959,37
24,1.916666667,24,24,698.4375,18.99671737,0.132977022,23
25,2.333333333,25,25,698.8255208,23.00460322,0.161032223,28
26.001,2.083333333,26,26,698.8255208,16.00583253,0.112040828,25
27,1.833333333,27,27,698.4375,13.00713832,0.091049968,22
28,2.666666667,28,28,698.4375,17.76915974,0.124384118,32
29.001,1.833333333,29,29,698.4375,18.98196144,0.13287373,22
30,2.583333333,30,30,698.4375,26.05182228,0.182362756,31
31,2.333333333,31,31,698.4375,16.00067843,0.112004749,28
32,2.333333333,32,32,698.4375,24.40786519,0.170855056,28
33.001,3.25,33,33,698.4375,23.98480083,0.167893606,39
34.001,2.916666667,34,34,698.4375,28.03212201,0.196224854,35
35,2.416666667,35,35,698.4375,19.99624293,0.1399737,29
36,3.416666667,36,36,698.4375,22.01731001,0.15412117,41
37,2.833333333,37,37,699.2135417,23.02966682,0.161207668,34
38,3.416666667,38,38,698.4375,26.64470847,0.186512959,41
39,2.833333333,39,39,698.4375,14.4374984,0.101062489,34
40,2.083333333,40,40,698.4375,16.99152972,0.118940708,25
41.001,3.25,41,41,698.4375,11.99923325,0.083994633,39
42.001,3.583333333,42,42,698.4375,12.99497484,0.090964824,43
43,3.083333333,43,43,698.4375,20.01831876,0.140128231,37
44.001,2.75,44,44,698.4375,13.99850216,0.097989515,33
45,3.5,45,45,698.4375,17.9953572,0.1259675,42
46.001,3.083333333,46,46,698.8255208,13.32696453,0.093288752,37
47.001,3.25,47,47,698.4375,17.01069973,0.119074898,39
48.001,3.666666667,48,48,698.4375,19.98693743,0.139908562,44
49.001,3.5,49,49,697.6614583,21.0291485,0.14720404,42
50.001,2.5,50,50,698.4375,22.19793275,0.155385529,30
51,3.333333333,51,51,698.4375,27.77432759,0.194420293,40
52.001,2.75,52,52,698.4375,19.00048071,0.133003365,33
53,1.833333333,53,53,698.8255208,24.00956301,0.168066941,22
54,2.833333333,54,54,698.4375,23.30957311,0.163167012,34
55,2,55,55,698.4375,12.01504885,0.084105342,24
56,3.333333333,56,56,698.4375,16.9904225,0.118932957,40
57,1.75,57,57,698.4375,16.0082955,0.112058068,21
58.001,2.083333333,58,58,698.4375,16.9934881,0.118954417,25
59,2.666666667,59,59,698.4375,20.97074372,0.146795206,32
60.001,2.833333333,60,60,698.4375,24.00125527,0.168008787,34
61.001,2.583333333,61,61,698.4375,22.17714348,0.155240004,31
62,3.25,62,62,698.4375,21.0315726,0.147221008,39
63,2.75,63,63,698.4375,18.86075074,0.132025255,33
64,3,64,64,698.4375,21.00719707,0.147050379,36
65.001,3.666666667,65,65,698.4375,17.99939162,0.125995741,44
66,3.25,66,66,698.4375,21.10392405,0.147727468,39
67,3.666666667,67,67,698.4375,22.00093944,0.154006576,44
68.001,3.166666667,68,68,698.4375,18.98583467,0.132900843,38
69.001,3.5,69,69,699.9895833,28.01630549,0.196114138,42
70,3.666666667,70,70,698.4375,18.98928814,0.132925017,44
71.001,2.916666667,71,71,698.4375,19.01051091,0.133073576,35
72,3.75,72,72,698.4375,15.55012165,0.108850852,45
73.001,4.25,73,73,698.4375,21.0214545,0.147150181,51
74,4.583333333,74,74,698.4375,25.52323463,0.178662642,55
75,4.5,75,75,698.4375,21.00964763,0.147067533,54
76.001,4.5,76,76,698.4375,23.9849854,0.167894898,54
77,4.75,77,77,698.4375,22.0573668,0.154401568,57
77.999,6.666666667,78,78,698.4375,22.20769592,0.155453871,80
79,4.5,79,79,698.4375,23.3028894,0.163120226,54
80.001,6.083333333,80,80,698.4375,17.77231378,0.124406196,73
81,7,81,81,698.4375,16.00879203,0.112061544,84
82,7.75,82,82,698.4375,19.9921291,0.139944904,93
83,6,83,83,698.4375,27.77177907,0.194402454,72
83.999,5.333333333,84,84,698.8255208,17.77408274,0.124418579,64
85,5.25,85,85,698.4375,20.00525738,0.140036802,63
86.001,5.583333333,86,86,698.4375,23.31159656,0.163181176,67
87,6.583333333,87,87,698.4375,22.17726644,0.155240865,79
88,5.583333333,88,88,698.4375,23.05651151,0.161395581,67
89.001,4.666666667,89,89,698.4375,22.16845387,0.155179177,56
90,4.083333333,90,90,698.4375,28.046591,0.196326137,49
91,4.166666667,91,91,698.4375,23.30262824,0.163118398,50
92,4.5,92,92,698.4375,17.7728468,0.124409928,54
93,4.666666667,93,93,698.8255208,19.01814141,0.13312699,56
93.999,4.333333333,94,94,698.4375,20.0301213,0.140210849,52
95.001,4.5,95,95,698.4375,25.52020723,0.178641451,54
96.001,5.666666667,96,96,698.4375,19.99979334,0.139998553,68
97.001,5.833333333,97,97,698.4375,19.00550399,0.133038528,70
97.999,4,98,98,698.4375,23.32683033,0.163287812,48
99,3.75,99,99,698.4375,18.88060031,0.132164202,45
100.001,4.833333333,100,100,698.4375,23.99546246,0.167968237,58
101.002,3.5,101,101,698.4375,21.09679811,0.147677587,42
102,4.166666667,102,102,698.4375,23.29030837,0.163032159,50
103,4.166666667,103,103,698.4375,16.03422987,0.112239609,50
104.001,3.166666667,104,104,698.4375,16.61637628,0.116314634,38
105,4.333333333,105,105,698.4375,22.02036443,0.154142551,52
106.001,3.25,106,106,698.4375,17.7694597,0.124386218,39
107.001,4.25,107,107,698.4375,19.98427238,0.139889907,51
