Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,697.2734375,,
1,0,1,1,698.4375,12.6742123293893,0.0887194863057248
2,0,2,2,698.4375,16.0236476992746,0.112165533894922
3.001,0,3,3,698.4375,18.8701508291156,0.132091055803809
4.001,0,4,4,698.4375,17.0161449182985,0.119113014428089
5.001,0,5,5,698.4375,27.7667297045476,0.194367107931833
6,0,6,6,698.4375,23.3211027105785,0.163247718974049
7.001,0,7,7,698.4375,16.662129013532,0.116634903094724
7.999,0,8,8,698.4375,26.9996301050676,0.188997410735473
9.001,0,9,9,698.4375,18.999981000019,0.132999867000133
10,0,10,10,698.4375,15.0130057668959,0.105091040368271
11,0,11,11,698.4375,22.2146692346824,0.155502684642777
12.001,0,12,12,698.4375,12.0070913881739,0.084049639717217
13,0,13,13,698.4375,27.7613184005572,0.1943292288039
14,0,14,14,698.4375,18.0062571743681,0.126043800220577
15,0,15,15,698.049479166667,27.9975530138666,0.195982871097066
16,1,16,16,698.4375,19.9973670133432,0.139981569093403
17.001,3,17,17,698.4375,23.0301672160363,0.161211170512254
18,11,18,18,698.4375,20.970069419917,0.146790485939419
19.001,14,19,19,698.4375,20.0160929387227,0.140112650571059
20,16,20,20,698.4375,18.8878794366657,0.13221515605666
21,18,21,21,698.4375,16.9807845442098,0.118865491809468
22,35,22,22,698.049479166667,19.014622244506,0.133102355711542
23,37,23,23,698.049479166667,20.96870839646,0.14678095877522
24,23,24,24,698.4375,18.9967173672389,0.132977021570673
25,28,25,25,698.825520833333,23.0046032211045,0.161032222547732
26.001,25,26,26,698.825520833333,16.0058325253722,0.112040827677606
27,22,27,27,698.4375,13.0071383175086,0.0910499682225605
28,32,28,28,698.4375,17.7691597353062,0.124384118147143
29.001,22,29,29,698.4375,18.9819614420416,0.132873730094291
30,31,30,30,698.4375,26.0518222848891,0.182362755994224
31,28,31,31,698.4375,16.0006784287654,0.112004749001358
32,28,32,32,698.4375,24.407865190479,0.170855056333353
33.001,39,33,33,698.4375,23.9848008317129,0.167893605821991
34.001,35,34,34,698.4375,28.0321220086097,0.196224854060268
35,29,35,35,698.4375,19.9962429281343,0.13997370049694
36,41,36,36,698.4375,22.0173100091292,0.154121170063904
37,34,37,37,699.213541666667,23.0296668167934,0.161207667717554
38,41,38,38,698.4375,26.6447084663672,0.18651295926457
39,34,39,39,698.4375,14.4374984035459,0.101062488824821
40,25,40,40,698.4375,16.9915297224334,0.118940708057034
41.001,39,41,41,698.4375,11.9992332489954,0.0839946327429677
42.001,43,42,42,698.4375,12.9949748432281,0.0909648239025969
43,37,43,43,698.4375,20.0183187635005,0.140128231344503
44.001,33,44,44,698.4375,13.9985021602689,0.0979895151218819
45,42,45,45,698.4375,17.995357197843,0.125967500384901
46.001,37,46,46,698.825520833333,13.3269645250642,0.0932887516754493
47.001,39,47,47,698.4375,17.0106997301303,0.119074898110912
48.001,44,48,48,698.4375,19.9869374260067,0.139908561982047
49.001,42,49,49,697.661458333333,21.0291485027396,0.147204039519178
50.001,30,50,50,698.4375,22.1979327509188,0.155385529256431
51,40,51,51,698.4375,27.7743275890839,0.194420293123588
52.001,33,52,52,698.4375,19.000480712162,0.133003364985134
53,22,53,53,698.825520833333,24.0095630089465,0.168066941062625
54,34,54,54,698.4375,23.3095731084781,0.163167011759347
55,24,55,55,698.4375,12.015048848683,0.0841053419407808
56,40,56,56,698.4375,16.9904224988374,0.118932957491862
57,21,57,57,698.4375,16.0082954987274,0.112058068491092
58.001,25,58,58,698.4375,16.9934880953619,0.118954416667533
59,32,59,59,698.4375,20.9707437154426,0.146795206008098
60.001,34,60,60,698.4375,24.0012552656504,0.168008786859553
61.001,31,61,61,698.4375,22.1771434819047,0.155240004373333
62,39,62,62,698.4375,21.0315725967823,0.147221008177476
63,33,63,63,698.4375,18.8607507444172,0.13202525521092
64,36,64,64,698.4375,21.0071970657147,0.147050379460003
65.001,44,65,65,698.4375,17.9993916205632,0.125995741343943
66,39,66,66,698.4375,21.103924052531,0.147727468367717
67,44,67,67,698.4375,22.0009394401141,0.154006576080799
68.001,38,68,68,698.4375,18.9858346687536,0.132900842681275
69.001,42,69,69,699.989583333333,28.0163054897951,0.196114138428565
70,44,70,70,698.4375,18.9892881425588,0.132925016997911
71.001,35,71,71,698.4375,19.010510911483,0.133073576380381
72,45,72,72,698.4375,15.5501216519339,0.108850851563537
73.001,51,73,73,698.4375,21.0214544964591,0.147150181475214
74,55,74,74,698.4375,25.5232346327656,0.178662642429359
75,54,75,75,698.4375,21.0096476301918,0.147067533411342
76.001,54,76,76,698.4375,23.9849853991401,0.167894897793981
77,57,77,77,698.4375,22.0573667995723,0.154401567597006
