Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %,Raw
0,0,0,0,697.2734375,,,0
1.001,0,1,1,698.4375,21.25893274,0.148812529,0
2.001,0,2,2,698.4375,17.75760908,0.124303264,0
3,0,3,3,698.4375,23.32091624,0.163246414,0
4,0,4,4,698.4375,16.99399262,0.118957948,0
5.001,0,5,5,698.4375,11.00895138,0.07706266,0
6.001,0,6,6,698.4375,14.0001764,0.098001235,0
7,0,7,7,698.4375,14.02147529,0.098150327,0
8,0,8,8,698.4375,9.978756337,0.069851294,0
9,0,9,9,698.4375,28.87900585,0.202153041,0
10.001,0,10,10,698.4375,19.98795615,0.139915693,0
11,0,11,11,698.4375,18.01270256,0.126088918,0
12.001,0,12,12,698.4375,8.884190139,0.062189331,0
13.001,0,13,13,698.4375,11.99377044,0.083956393,0
14.001,0,14,14,698.4375,16.02363968,0.112165478,0
15,0,15,15,698.4375,14.98750492,0.104912534,0
16.001,0,16,16,698.4375,24.02127084,0.168148896,0
16.999,0.166666667,17,17,698.4375,18.88626789,0.132203875,2
18,0.416666667,18,18,698.4375,8.997337688,0.062981364,5
19.001,1,19,19,698.4375,21.09127126,0.147638899,12
20,1.166666667,20,20,698.4375,16.01193049,0.112083513,14
21.001,1.166666667,21,21,698.0494792,15.01685792,0.105118005,14
22,1.583333333,22,22,697.6614583,9.993727271,0.069956091,19
23,1.583333333,23,23,698.4375,9.991902118,0.069943315,19
24,1.666666667,24,24,698.4375,11.01445206,0.077101164,20
25,1.916666667,25,25,698.4375,15.55539136,0.10888774,23
26,1.25,26,26,698.0494792,16.65627315,0.116593912,15
27,2,27,27,698.4375,17.7632218,0.124342553,24
28.001,1.583333333,28,28,698.4375,18.01293869,0.126090571,19
29.001,2.083333333,29,29,698.4375,13.00239374,0.091016756,25
30,2.25,30,30,698.4375,11.10145285,0.07771017,27
31,2.5,31,31,698.4375,18.03896597,0.126272762,30
32,1.75,32,32,698.4375,21.06587098,0.147461097,21
33.001,2.5,33,33,698.4375,19.03414917,0.133239044,30
34,2,34,34,698.4375,16.66623705,0.116663659,24
35,2.5,35,35,698.4375,8.871919863,0.062103439,30
