Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,697.2734375,,
1.001,0,1,1,698.4375,21.2589327377998,0.148812529164598
2.001,0,2,2,698.4375,17.7576090799983,0.124303263559988
3,0,3,3,698.4375,23.3209162410414,0.16324641368729
4,0,4,4,698.4375,16.9939926236076,0.118957948365253
5.001,0,5,5,698.4375,11.0089513783657,0.0770626596485602
6.001,0,6,6,698.4375,14.0001764022227,0.0980012348155587
7,0,7,7,698.4375,14.0214752915565,0.0981503270408958
8,0,8,8,698.4375,9.97875633651027,0.0698512943555719
9,0,9,9,698.4375,28.8790058513309,0.202153040959316
10.001,0,10,10,698.4375,19.98795614598,0.13991569302186
11,0,11,11,698.4375,18.0127025578438,0.126088917904907
12.001,0,12,12,698.4375,8.88419013943737,0.0621893309760615
13.001,0,13,13,698.4375,11.9937704356357,0.0839563930494501
14.001,0,14,14,698.4375,16.0236396756134,0.112165477729294
15,0,15,15,698.4375,14.9875049171506,0.104912534420054
16.001,0,16,16,698.4375,24.0212708353247,0.168148895847273
16.999,2,17,17,698.4375,18.8862678946,0.1322038752622
18,5,18,18,698.4375,8.99733768777819,0.0629813638144473
19.001,12,19,19,698.4375,21.0912712552836,0.147638898786985
20,14,20,20,698.4375,16.0119304894077,0.112083513425854
21.001,14,21,21,698.049479166667,15.0168579247063,0.105118005472944
22,19,22,22,697.661458333333,9.99372727051654,0.0699560908936158
23,19,23,23,698.4375,9.99190211843868,0.0699433148290707
24,20,24,24,698.4375,11.0144520625513,0.0771011644378589
25,23,25,25,698.4375,15.5553913597579,0.108887739518305
26,15,26,26,698.049479166667,16.6562731522197,0.116593912065538
27,24,27,27,698.4375,17.7632218043548,0.124342552630483
28.001,19,28,28,698.4375,18.0129386938638,0.126090570857047
29.001,25,29,29,698.4375,13.0023937406877,0.0910167561848136
30,27,30,30,698.4375,11.1014528471341,0.0777101699299387
31,30,31,31,698.4375,18.0389659703926,0.126272761792749
32,21,32,32,698.4375,21.0658709828493,0.147461096879945
33.001,30,33,33,698.4375,19.0341491670206,0.133239044169144
34,24,34,34,698.4375,16.6662370481117,0.116663659336782
35,30,35,35,698.4375,8.87191986349664,0.0621034390444765
36.001,26,36,36,698.4375,15.5377630903989,0.108764341632792
36.999,19,37,37,698.4375,17.0325321363805,0.119227724954663
38.001,25,38,38,698.4375,9.96590001212518,0.0697613000848762
39,32,39,39,698.4375,15.0468287404059,0.105327801182841
40.001,27,40,40,698.825520833333,15.5387288387486,0.10877110187124
41.001,38,41,41,698.4375,11.1025411829336,0.077717788280535
42.001,23,42,42,698.4375,17.9983279553329,0.125988295687331
43.001,29,43,43,698.4375,17.9929359733369,0.125950551813358
44,29,44,44,698.4375,15.0241302556035,0.105168911789225
45,29,45,45,698.4375,17.7503712046378,0.124252598432465
46.001,33,46,46,698.4375,12.0135681238391,0.0840949768668734
47,35,47,47,698.4375,16.9881236027893,0.118916865219525
48.001,27,48,48,698.4375,21.9953018035348,0.153967112624743
49,27,49,49,698.4375,16.9953109936968,0.118967176955878
50,35,50,50,698.049479166667,15.0223517571795,0.105156462300257
51,27,51,51,698.4375,11.1059616468942,0.0777417315282592
52,17,52,52,698.049479166667,12.2153205661024,0.0855072439627166
53,23,53,53,698.4375,15.5359216030763,0.108751451221534
54.001,25,54,54,698.4375,12.0040813876718,0.0840285697137026
55,23,55,55,698.4375,22.0536631786125,0.154375642250288
56.001,26,56,56,698.4375,17.761147423407,0.124328031963849
57,30,57,57,698.4375,17.990065885618,0.125930461199326
58.001,22,58,58,698.4375,17.9898519245294,0.125928963471706
59.001,27,59,59,698.4375,12.0096293207894,0.0840674052455259
60.001,36,60,60,698.4375,22.1714078189909,0.155199854732936
61,24,61,61,698.4375,18.0328667028526,0.126230066919968
62.001,29,62,62,698.4375,12.2064961863022,0.0854454733041154
