Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Dead time t / %
0,0,0,0,715.8984375,,
1,0,1,1,698.4375,1.0601471293389,0.00742102990537233
2,0,2,2,698.4375,7.0061661268082,0.0490431628876574
3,0,3,3,698.4375,6.66069572298966,0.0466248700609276
4,0,4,4,698.825520833333,7.99284320819139,0.0559499024573397
5,0,5,5,698.4375,3.000258922345,0.021001812456415
6.001,0,6,6,698.4375,5.99611571623902,0.0419728100136731
7.001,0,7,7,698.4375,7.0101563144684,0.0490710942012788
8.001,0,8,8,698.4375,9.98316505599391,0.0698821553919574
9,0,9,9,698.4375,4.00896725796261,0.0280627708057383
10.001,0,10,10,698.4375,4.43145339263209,0.0310201737484246
11,0,11,11,698.4375,11.0293103923677,0.077205172746574
12.001,0,12,12,698.4375,11.0942281612337,0.0776595971286362
13.001,0,13,13,698.4375,4.44359867949578,0.0311051907564705
14,0,14,14,698.4375,14.0065284429072,0.0980456991003507
15.001,0,15,15,698.4375,6.00181735029367,0.0420127214520557
16,0,16,16,698.4375,12.0066985371139,0.084046889759797
17,0,17,17,698.4375,5.55391776691629,0.038877424368414
18.001,0,18,18,698.4375,7.77499778412563,0.0544249844888794
19.001,5,19,19,698.4375,4.43767944866271,0.0310637561406389
20,4,20,20,698.825520833333,2.00208236586874,0.0140145765610812
21,1,21,21,698.4375,4.44246458606059,0.0310972521024241
22.001,8,22,22,698.4375,3.33244431124541,0.0233271101787179
23,9,23,23,698.4375,4.99583097904799,0.0349708168533359
24.001,2,24,24,698.4375,8.01109135598236,0.0560776394918765
25.001,6,25,25,698.4375,4.001976576231,0.028013836033617
26.001,12,26,26,698.4375,4.99591484043498,0.0349714038830448
27,4,27,27,698.4375,4.99828958530391,0.0349880270971274
28,8,28,28,698.4375,4.00258126465758,0.028018068852603
29.001,6,29,29,698.4375,3.9958818441714,0.0279711729091998
30.001,11,30,30,698.4375,4.00575627176252,0.0280402939023377
31,9,31,31,698.4375,4.44362336159441,0.0311053635311608
32,5,32,32,698.4375,6.99264443731639,0.0489485110612147
33,16,33,33,698.4375,5.00737135136635,0.0350515994595644
34.001,15,34,34,698.4375,9.9955799545441,0.0699690596818087
35.001,14,35,35,698.4375,2.99798595303675,0.0209859016712572
36.001,9,36,36,698.4375,4.00421323316394,0.0280294926321475
37.001,9,37,37,698.4375,4.9967785768515,0.0349774500379605
38,8,38,38,698.4375,4.44338839913492,0.0311037187939444
39,9,39,39,698.4375,8.99472099824613,0.0629630469877229
40,9,40,40,698.4375,5.01017918104212,0.0350712542672949
41.001,10,41,41,698.4375,0,0
42.001,12,42,42,698.4375,3.0057948719336,0.0210405641035352
43,13,43,43,698.4375,7.76836166029421,0.0543785316220594
44,14,44,44,698.4375,4.44417976884932,0.0311092583819453
45.001,16,45,45,698.4375,3.33111185185169,0.0233177829629618
46,17,46,46,698.4375,7.02218378078187,0.0491552864654731
47,14,47,47,698.4375,2.22119972994654,0.0155483981096258
48,13,48,48,698.825520833333,8.99873387814335,0.0629911371470034
49,15,49,49,698.4375,10.0005880345764,0.070004116242035
50,18,50,50,698.4375,7.01256651920241,0.0490879656344169
51,15,51,51,698.4375,9.97336225756142,0.0698135358029299
52,11,52,52,698.4375,7.00479127723363,0.0490335389406354
53.001,10,53,53,698.4375,5.54890488477866,0.0388423341934506
54,3,54,54,698.4375,4.00933051397212,0.0280653135978048
55.001,17,55,55,698.4375,5.53486806368951,0.0387440764458265
56,13,56,56,698.4375,4.00885315129933,0.0280619720590953
57,10,57,57,698.4375,8.88883654351813,0.0622218558046269
58.001,6,58,58,698.4375,4.99252220024847,0.0349476554017393
59.001,8,59,59,698.4375,7.01285948042926,0.0490900163630048
60.001,12,60,60,698.4375,7.77055030260188,0.0543938521182132
61.001,16,61,61,698.4375,3.00184673611206,0.0210129271527844
