Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,699.6015625
1,0,1,1,529.417058876471,703.481770833333
2,0,2,2,590.502501642366,705.809895833333
3,0,3,3,585.098815575651,704.645833333333
4.001,0,4,4,587.80396737688,701.9296875
5.001,0,5,5,596.828590828714,704.2578125
6,0,6,6,502.870357357659,705.421875
7,0,7,7,550.914683649263,706.5859375
8.001,0,8,8,638.143749703818,704.645833333333
9.001,0,9,9,558.590430084599,707.75
10,0,10,10,587.463767063744,705.809895833333
11,0,11,11,570.955608401782,711.2421875
12,0,12,12,629.023615565617,705.809895833333
13,1,13,13,593.995485634309,706.5859375
14.001,2,14,14,591.997691209004,708.138020833333
15,6,15,15,589.489829302174,699.989583333333
16,18,16,16,530.123278214208,713.182291666667
17.001,56,17,17,507.579257890247,706.197916666667
18,119,18,18,592.964311876575,708.9140625
19.001,146,19,19,582.714174492258,711.630208333333
20,154,20,20,607.549744107156,703.481770833333
21,141,21,21,571.672888773044,708.9140625
22,152,22,22,600.777885432544,710.854166666667
23,144,23,23,586.186055454001,705.421875
24,159,24,24,575.491124125329,704.645833333333
25,155,25,25,591.397551192504,707.75
26.001,174,26,26,590.023435686503,706.197916666667
27.001,171,27,27,565.583455893099,707.75
28,163,28,28,531.991541334493,701.541666666667
29,161,29,29,563.998276950202,704.645833333333
30,165,30,30,570.652179946838,699.989583333333
31.001,187,31,31,563.816646826452,702.705729166667
32.001,209,32,32,571.946514286493,703.481770833333
33.001,204,33,33,571.15270704757,710.466145833333
34,191,34,34,619.649588157897,706.973958333333
35,203,35,35,584.330555795413,704.645833333333
36,210,36,36,530.658256083083,707.361979166667
37.001,205,37,37,594.880661331035,704.645833333333
38.001,183,38,38,599.952337119884,704.645833333333
39,218,39,39,585.234976840464,705.033854166667
40,200,40,40,585.998238009843,707.75
41,202,41,41,565.650328182311,705.421875
42,180,42,42,468.382047471075,705.033854166667
43.001,197,43,43,538.232424741513,703.481770833333
44.001,211,44,44,584.75316207275,703.481770833333
45,179,45,45,603.978709750481,707.361979166667
46,199,46,46,604.234028597898,710.854166666667
47,195,47,47,576.038251344223,705.809895833333
48.001,185,48,48,603.024182935548,701.9296875
49.001,222,49,49,556.275117893873,706.197916666667
50.001,185,50,50,620.2383679254,703.869791666667
51,187,51,51,606.127348021893,706.197916666667
52,200,52,52,555.24172059637,703.869791666667
53.001,205,53,53,557.409194089381,704.645833333333
54,176,54,54,514.170848422989,703.481770833333
55,164,55,55,567.165472723435,711.630208333333
56,175,56,56,494.186343736775,715.122395833333
57,184,57,57,594.764829986224,706.5859375
58,183,58,58,605.322885819922,715.122395833333
59,175,59,59,601.777883783096,706.197916666667
