Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,699.6015625,0
1,0,1,1,529.4170589,703.4817708,0
2,0,2,2,590.5025016,705.8098958,0
3,0,3,3,585.0988156,704.6458333,0
4.001,0,4,4,587.8039674,701.9296875,0
5.001,0,5,5,596.8285908,704.2578125,0
6,0,6,6,502.8703574,705.421875,0
7,0,7,7,550.9146836,706.5859375,0
8.001,0,8,8,638.1437497,704.6458333,0
9.001,0,9,9,558.5904301,707.75,0
10,0,10,10,587.4637671,705.8098958,0
11,0,11,11,570.9556084,711.2421875,0
12,0,12,12,629.0236156,705.8098958,0
13,0.333333333,13,13,593.9954856,706.5859375,1
14.001,0.666666667,14,14,591.9976912,708.1380208,2
15,2,15,15,589.4898293,699.9895833,6
16,6,16,16,530.1232782,713.1822917,18
17.001,18.66666667,17,17,507.5792579,706.1979167,56
18,39.66666667,18,18,592.9643119,708.9140625,119
19.001,48.66666667,19,19,582.7141745,711.6302083,146
20,51.33333333,20,20,607.5497441,703.4817708,154
21,47,21,21,571.6728888,708.9140625,141
22,50.66666667,22,22,600.7778854,710.8541667,152
23,48,23,23,586.1860555,705.421875,144
24,53,24,24,575.4911241,704.6458333,159
25,51.66666667,25,25,591.3975512,707.75,155
26.001,58,26,26,590.0234357,706.1979167,174
27.001,57,27,27,565.5834559,707.75,171
28,54.33333333,28,28,531.9915413,701.5416667,163
29,53.66666667,29,29,563.998277,704.6458333,161
30,55,30,30,570.6521799,699.9895833,165
31.001,62.33333333,31,31,563.8166468,702.7057292,187
32.001,69.66666667,32,32,571.9465143,703.4817708,209
33.001,68,33,33,571.152707,710.4661458,204
34,63.66666667,34,34,619.6495882,706.9739583,191
35,67.66666667,35,35,584.3305558,704.6458333,203
36,70,36,36,530.6582561,707.3619792,210
37.001,68.33333333,37,37,594.8806613,704.6458333,205
38.001,61,38,38,599.9523371,704.6458333,183
39,72.66666667,39,39,585.2349768,705.0338542,218
40,66.66666667,40,40,585.998238,707.75,200
41,67.33333333,41,41,565.6503282,705.421875,202
42,60,42,42,468.3820475,705.0338542,180
43.001,65.66666667,43,43,538.2324247,703.4817708,197
44.001,70.33333333,44,44,584.7531621,703.4817708,211
45,59.66666667,45,45,603.9787098,707.3619792,179
46,66.33333333,46,46,604.2340286,710.8541667,199
47,65,47,47,576.0382513,705.8098958,195
48.001,61.66666667,48,48,603.0241829,701.9296875,185
49.001,74,49,49,556.2751179,706.1979167,222
50.001,61.66666667,50,50,620.2383679,703.8697917,185
51,62.33333333,51,51,606.127348,706.1979167,187
52,66.66666667,52,52,555.2417206,703.8697917,200
53.001,68.33333333,53,53,557.4091941,704.6458333,205
54,58.66666667,54,54,514.1708484,703.4817708,176
55,54.66666667,55,55,567.1654727,711.6302083,164
56,58.33333333,56,56,494.1863437,715.1223958,175
57,61.33333333,57,57,594.76483,706.5859375,184
58,61,58,58,605.3228858,715.1223958,183
59,58.33333333,59,59,601.7778838,706.1979167,175
60,55.33333333,60,60,566.6640222,712.0182292,166
61.001,65.33333333,61,61,592.3835684,705.0338542,196
62.001,63.33333333,62,62,609.6593833,712.7942708,190
63,58.66666667,63,63,562.7453562,701.9296875,176
64,57,64,64,589.2659947,704.2578125,171
65,50.66666667,65,65,633.7564666,706.9739583,152
66,58,66,66,530.6810236,705.0338542,174
67.001,54.33333333,67,67,583.3164285,706.1979167,163
68,46.33333333,68,68,629.5889484,703.09375,139
69,66.33333333,69,69,608.1948109,706.9739583,199
70,64,70,70,576.075754,706.5859375,192
71,61.66666667,71,71,615.7353728,711.6302083,185
72,71,72,72,606.2233153,705.421875,213
73,62.33333333,73,73,546.939971,711.6302083,187
74.001,69.66666667,74,74,525.587169,702.3177083,209
75,65.33333333,75,75,592.0754896,707.3619792,196
76,81.33333333,76,76,587.9488893,705.0338542,244
77.001,75,77,77,585.0981121,710.078125,225
78,85.33333333,78,78,541.7447645,705.0338542,256
79,83,79,79,603.9703451,705.8098958,249
80,86.66666667,80,80,530.7447203,705.421875,260
81,85.66666667,81,81,560.8885597,707.3619792,257
82,81,82,82,565.2938873,706.9739583,243
83,95.33333333,83,83,509.1245319,705.8098958,286
84,82,84,84,568.1886834,710.8541667,246
85.001,91.33333333,85,85,588.6351962,707.3619792,274
86,88.66666667,86,86,586.2312271,704.6458333,266
87.001,76,87,87,565.2819061,705.421875,228
88,71.66666667,88,88,571.0483678,713.1822917,215
89.001,79,89,89,570.9260676,701.9296875,237
90,74.33333333,90,90,564.3796017,703.4817708,223
91,70.66666667,91,91,574.3075574,705.8098958,212
92.001,76.66666667,92,92,589.3501919,703.4817708,230
93,70.66666667,93,93,565.8512666,712.0182292,212
94.001,69.66666667,94,94,567.5432439,699.2135417,209
95,74.66666667,95,95,587.022483,708.9140625,224
96.001,71.33333333,96,96,526.5001752,702.3177083,214
97,69.33333333,97,97,601.8285595,712.7942708,208
98,70,98,98,590.0315077,712.0182292,210
99.001,63,99,99,587.5511697,707.3619792,189
100,69.66666667,100,100,636.4742653,703.8697917,209
101.001,68.33333333,101,101,580.298371,711.6302083,205
102.001,75.33333333,102,102,565.7958609,706.5859375,226
103,59,103,103,651.1925289,705.0338542,177
104,69.33333333,104,104,568.9394968,709.3020833,208
105,58,105,105,467.4228999,716.6744792,174
106,65.33333333,106,106,577.772762,706.5859375,196
107.001,66,107,107,601.2367208,710.4661458,198
108,66.33333333,108,108,593.3928205,710.078125,199
109,54,109,109,587.4655725,705.8098958,162
109.999,69,110,110,596.1547618,704.2578125,207
111,73.66666667,111,111,539.3978522,706.5859375,221
112,71.33333333,112,112,606.6629006,706.1979167,214
113.001,64,113,113,598.5581523,711.2421875,192
114,73.66666667,114,114,597.7783496,705.0338542,221
115.001,67.33333333,115,115,597.7775891,708.5260417,202
116,62.33333333,116,116,609.7707262,706.9739583,187
117,66.33333333,117,117,575.3600028,709.3020833,199
118,69,118,118,606.2745211,710.4661458,207
119,56.66666667,119,119,583.4828904,705.8098958,170
120.001,63.33333333,120,120,493.2348508,710.4661458,190
121,70.33333333,121,121,580.7565915,703.8697917,211
122,69,122,122,630.5652387,707.3619792,207
123.001,67.66666667,123,123,609.6881107,705.8098958,203
124.001,68.33333333,124,124,542.798676,699.2135417,205
125.001,72.33333333,125,125,555.4431325,703.4817708,217
126,70.33333333,126,126,584.5240654,702.3177083,211
127,72.66666667,127,127,605.8201926,706.1979167,218
128,73.66666667,128,128,595.5100321,709.3020833,221
129.001,59.33333333,129,129,612.0180545,705.0338542,178
130,78,130,130,567.0442294,711.2421875,234
131,64,131,131,616.0300022,701.9296875,192
132,59,132,132,607.4692509,702.3177083,177
133.001,71.33333333,133,133,598.8081829,712.0182292,214
134,77,134,134,527.6689183,706.1979167,231
135,71,135,135,596.6819869,710.078125,213
136.001,68,136,136,546.1854773,705.421875,204
137.001,69.33333333,137,137,592.2197875,704.6458333,208
137.999,66,138,138,590.9010241,703.09375,198
139,72.66666667,139,139,548.3949069,706.1979167,218
140,63,140,140,555.983145,705.0338542,189
141.001,72.33333333,141,141,605.3629167,707.75,217
142.001,62,142,142,554.1449089,704.6458333,186
143.001,69,143,143,529.3656858,704.6458333,207
144,69.33333333,144,144,584.4109138,703.09375,208
145,72.33333333,145,145,527.8419607,709.3020833,217
146,67.33333333,146,146,589.0241637,701.9296875,202
147.001,68.66666667,147,147,588.8534842,703.8697917,206
148.001,68,148,148,625.4511041,708.5260417,204
149.001,66.33333333,149,149,620.9652533,705.0338542,199
150.001,73,150,150,511.9491827,708.5260417,219
151.001,61,151,151,579.8944292,702.3177083,183
152.001,64.33333333,152,152,601.4731209,708.5260417,193
153.001,73,153,153,611.4107457,708.9140625,219
154,72.66666667,154,154,521.9412439,707.3619792,218
155,74.33333333,155,155,551.8789224,704.2578125,223
156.001,78,156,156,571.009852,710.078125,234
157,69.66666667,157,157,574.091187,710.4661458,209
