Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V
0,0,0,0,,698.4375
1,0,1,1,8.47381057622654,699.6015625
2.001,0,2,2,9.00523023772207,699.6015625
3.001,0,3,3,10.0007190516998,699.6015625
4,0,4,4,8.00480448365109,699.6015625
5.001,0,5,5,9.99972667413757,699.6015625
6,0,6,6,8.88373928135213,699.213541666667
7,0,7,7,2.22090275921627,699.6015625
8,0,8,8,7.77427503497035,698.4375
9.001,0,9,9,8.00092170618055,699.213541666667
10,0,10,10,5.00187370188873,699.6015625
11.001,0,11,11,13.3265723189768,698.4375
12,0,12,12,13.0078229046949,698.4375
13.001,0,13,13,6.00830889036449,699.6015625
14.001,0,14,14,3.32984402677594,698.825520833333
15,0,15,15,3.33170487003075,698.4375
16,1,16,16,9.99610707163488,698.4375
17.001,2,17,17,9.99685432317298,698.4375
18,4,18,18,7.01246465592591,698.4375
19.001,6,19,19,8.88371165914975,698.4375
20,7,20,20,8.88614603181374,698.825520833333
21,4,21,21,8.88768312654472,698.825520833333
22,9,22,22,3.00211979678851,698.4375
23,16,23,23,8.99820215920859,698.4375
24.001,12,24,24,8.01313593373617,699.213541666667
25,10,25,25,7.76826165724765,699.213541666667
26,9,26,26,9.01183253611993,698.825520833333
27,10,27,27,7.75542921592057,698.825520833333
28,8,28,28,13.0038543424271,699.6015625
29.001,13,29,29,8.00993231607193,699.6015625
30,11,30,30,7.99896893290455,699.6015625
31,14,31,31,12.2068619209717,699.6015625
32,15,32,32,2.9992927667656,699.6015625
33.001,14,33,33,8.00094011046298,699.6015625
34.001,14,34,34,11.0988394942436,699.6015625
35.001,10,35,35,8.01590114309756,699.6015625
36,22,36,36,9.98693154524352,699.6015625
37.001,11,37,37,9.01355368066962,699.6015625
38.001,23,38,38,7.7659648823068,699.6015625
39,11,39,39,6.00978031648705,698.4375
40,13,40,40,12.9954801719962,699.213541666667
41.001,14,41,41,7.77204201077383,698.825520833333
42.001,21,42,42,7.00202638643623,698.4375
43,16,43,43,11.1016303188188,699.213541666667
44,18,44,44,4.00733663190569,698.4375
45,16,45,45,5.54579741690066,698.825520833333
46,17,46,46,8.01527711818727,698.4375
47,13,47,47,8.88052737899893,699.6015625
48.001,17,48,48,8.87297569991419,699.213541666667
48.999,19,49,49,9.00653514189896,699.6015625
50,16,50,50,7.99284799960995,699.6015625
51,20,51,51,8.01169386837027,699.6015625
52.001,25,52,52,8.98670327383603,699.6015625
53.001,20,53,53,4.00594763044692,699.6015625
54.001,25,54,54,5.55385730940939,699.6015625
55.001,20,55,55,7.00773443649756,699.6015625
56,17,56,56,9.98038742976857,698.825520833333
57,21,57,57,7.00967334922193,698.825520833333
58.001,22,58,58,11.1065796266234,698.4375
59,18,59,59,14.9894099818478,698.4375
60.001,17,60,60,9.98971059808397,698.4375
61.001,23,61,61,8.01912320310244,699.6015625
62,11,62,62,11.1027248529389,699.6015625
63.001,21,63,63,4.99643304644814,699.6015625
64,18,64,64,7.00017920458764,699.6015625
65.001,18,65,65,11.1060023500301,699.6015625
66,23,66,66,7.01388328056555,699.6015625
