Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
0,0,0,0,,698.4375,0
1,0,1,1,5.28356134,698.8255208,0
2,0,2,2,11.99815468,698.8255208,0
3,0,3,3,5.552452352,699.2135417,0
4,0,4,4,13.00182546,698.8255208,0
5,0,5,5,6.015924151,698.8255208,0
6,0,6,6,9.991123442,699.2135417,0
7,0,7,7,11.98598,698.8255208,0
8.001,0,8,8,5.000930673,699.6015625,0
9.001,0,9,9,10.01019639,699.6015625,0
10,0,10,10,7.767946147,699.6015625,0
11,0,11,11,9.006206177,699.6015625,0
12.001,0,12,12,13.99809066,699.9895833,0
13.001,0,13,13,5.998260504,699.6015625,0
14,0,14,14,15.54494354,699.6015625,0
15,0,15,15,11.00952765,699.6015625,0
16,0,16,16,3.330624056,699.6015625,0
17,0.25,17,17,7.005341573,699.6015625,3
18,0.166666667,18,18,5.551837058,699.6015625,2
19,0.583333333,19,19,7.777261886,699.6015625,7
20,0.583333333,20,20,14.00847793,699.9895833,7
21.001,0.833333333,21,21,8.884119104,699.6015625,10
22,0.666666667,22,22,6.004556257,699.2135417,8
23.002,1,23,23,10.99911897,699.6015625,12
24.001,0.666666667,24,24,14.00651583,699.6015625,8
25.001,0.833333333,25,25,11.999844,699.2135417,10
26,0.833333333,26,26,7.776663987,699.2135417,10
27.001,1.083333333,27,27,5.001398891,699.6015625,13
27.999,0.833333333,28,28,13.32968988,698.8255208,10
28.999,1.333333333,29,29,8.003333388,699.2135417,16
30.001,1.083333333,30,30,7.776279548,698.8255208,13
31.001,1.166666667,31,31,13.99787092,698.8255208,14
32,1.166666667,32,32,11.01094819,699.9895833,14
33,1.166666667,33,33,9.990725277,699.6015625,14
34.001,1.333333333,34,34,11.00282663,699.6015625,16
35,1.333333333,35,35,8.884001701,699.6015625,16
36,1.166666667,36,36,12.21331736,699.6015625,14
37.001,1.583333333,37,37,11.02161228,699.9895833,19
38,1.416666667,38,38,15.53361346,699.6015625,17
39.001,1.333333333,39,39,6.666148188,699.6015625,16
40.001,1.666666667,40,40,9.99968601,699.6015625,20
41,1.75,41,41,10.98996616,699.6015625,21
42.001,1.833333333,42,42,9.003002501,698.8255208,22
43.001,1.333333333,43,43,8.005455718,699.6015625,16
44.001,1.083333333,44,44,9.007117424,699.6015625,13
45,1.583333333,45,45,5.995243973,699.6015625,19
46.001,1.75,46,46,5.551430226,699.2135417,21
47.001,0.916666667,47,47,8.879794992,698.8255208,11
48,1,48,48,10.00780709,698.8255208,12
49,2.166666667,49,49,4.439113562,698.8255208,26
50,1.083333333,50,50,8.886912045,698.8255208,13
51,1.416666667,51,51,9.01042416,698.8255208,17
52,1.916666667,52,52,8.883720538,699.6015625,23
53,1.666666667,53,53,9.004088757,699.6015625,20
54.001,1.416666667,54,54,8.887836174,699.6015625,17
55,1.916666667,55,55,7.777003534,699.9895833,23
56.001,1.083333333,56,56,11.10966068,699.6015625,13
57,1.5,57,57,7.993288835,699.6015625,18
58,1.333333333,58,58,9.005199602,699.6015625,16
59,2,59,59,7.001365266,699.6015625,24
60,1.25,60,60,12.99623499,699.6015625,15
61,1.583333333,61,61,8.996245867,699.6015625,19
62,1.666666667,62,62,11.00924667,699.6015625,20
63.001,2.083333333,63,63,11.10288511,698.8255208,25
64,1.916666667,64,64,15.02524692,699.6015625,23
65.001,0.916666667,65,65,4.992900595,699.6015625,11
66.001,2.166666667,66,66,6.66419055,698.4375,26
67,1.75,67,67,8.008124242,699.2135417,21
68,2.083333333,68,68,6.000673276,699.6015625,25
69.001,1.833333333,69,69,15.53439598,699.6015625,22
70.001,1.916666667,70,70,4.441635357,699.6015625,23
71.001,2.5,71,71,13.00280601,699.6015625,30
72.001,4.083333333,72,72,12.2069432,699.9895833,49
73,1.916666667,73,73,8.002730532,699.6015625,23
73.999,1.916666667,74,74,13.3274352,699.6015625,23
75,3.5,75,75,9.999949,699.9895833,42
76,3.416666667,76,76,8.995660493,699.6015625,41
77,3.583333333,77,77,11.99896809,699.6015625,43
78,2.5,78,78,18.02661088,698.8255208,30
79,3,79,79,12.21066008,698.4375,36
80.001,4.083333333,80,80,11.10971993,698.8255208,49
81,3.333333333,81,81,7.770952291,698.8255208,40
82,4.416666667,82,82,13.04202663,699.6015625,53
83,3.416666667,83,83,3.330242498,699.6015625,41
84,2.916666667,84,84,6.650361458,699.6015625,35
85,3.083333333,85,85,7.772665091,699.6015625,37
86,3.083333333,86,86,13.03560937,699.6015625,37
87,3.75,87,87,8.885109756,699.9895833,45
88,3.25,88,88,6.993361901,699.9895833,39
89,2.5,89,89,13.00839041,699.6015625,30
90.001,2.666666667,90,90,2.219482887,699.6015625,32
91.001,2.583333333,91,91,10.00359129,699.6015625,31
92,2.416666667,92,92,6.007932273,699.2135417,29
93,2.666666667,93,93,7.76732727,699.2135417,32
94,2.5,94,94,7.774600558,698.4375,30
95.001,2.5,95,95,7.01132118,698.4375,30
96.001,2.5,96,96,5.546919618,699.6015625,30
97.001,2.166666667,97,97,15.54520072,699.6015625,26
98.001,2.666666667,98,98,7.007829147,699.9895833,32
99,2.166666667,99,99,16.66178661,699.6015625,26
100.001,2.166666667,100,100,4.437319588,699.9895833,26
101,2.166666667,101,101,6.008648247,699.6015625,26
102,2.166666667,102,102,10.01393138,699.6015625,26
103.001,3.166666667,103,103,6.664960437,699.9895833,38
104.001,1.75,104,104,8.885757153,699.6015625,21
105.001,2.583333333,105,105,5.547624302,698.8255208,31
106,1.583333333,106,106,14.00646398,699.6015625,19
107.001,2.583333333,107,107,9.011203629,699.6015625,31
108,1.916666667,108,108,4.438526902,699.2135417,23
109.001,3.75,109,109,11.98205208,699.2135417,45
109.999,3.083333333,110,110,9.000743461,699.2135417,37
111,1.916666667,111,111,5.005401329,698.8255208,23
112.001,2.083333333,112,112,8.010286008,698.4375,25
113,1.916666667,113,113,8.877127681,698.8255208,23
114,1.5,114,114,8.016150941,699.2135417,18
115,1.5,115,115,7.763990656,698.8255208,18
116.001,2.5,116,116,9.98658358,699.2135417,30
117.001,2.166666667,117,117,12.02708379,698.8255208,26
118,2.083333333,118,118,12.21128905,699.6015625,25
119,2.5,119,119,8.884485146,699.6015625,30
120.001,3.166666667,120,120,15.00372543,699.9895833,38
121,2.333333333,121,121,9.994086832,699.6015625,28
122,3.083333333,122,122,6.665482433,699.6015625,37
123.001,2,123,123,9.990187416,699.9895833,24
124.001,2.5,124,124,4.006199594,699.6015625,30
125.001,2.25,125,125,7.767237636,699.6015625,27
126,2.416666667,126,126,8.015308438,699.6015625,29
127,2.75,127,127,8.874091834,699.9895833,33
128,2.583333333,128,128,13.32859576,699.6015625,31
129,2.916666667,129,129,5.553992415,699.6015625,35
130,1.666666667,130,130,7.012948708,699.6015625,20
131,2,131,131,6.657488948,699.6015625,24
132,3.083333333,132,132,13.01538809,699.6015625,37
133.001,2.416666667,133,133,3.332607936,699.6015625,29
133.999,2.416666667,134,134,7.773491993,699.6015625,29
135.001,1.416666667,135,135,12.00314362,699.6015625,17
136,1.833333333,136,136,8.006660741,699.6015625,22
137.001,2.916666667,137,137,11.00928523,699.6015625,35
138,3.25,138,138,14.42697498,699.6015625,39
139,2.916666667,139,139,9.998470234,698.8255208,35
140,2.5,140,140,12.00618799,699.6015625,30
141,2.333333333,141,141,6.658383637,699.6015625,28
142,2.583333333,142,142,10.01181494,699.6015625,31
142.999,2.25,143,143,11.10238833,699.6015625,27
144.001,3.083333333,144,144,10.00930064,699.6015625,37
145,2.083333333,145,145,5.992852325,699.6015625,25
146.001,2.166666667,146,146,6.003893525,699.6015625,26
147,2.333333333,147,147,8.886077926,699.6015625,28
148,2.5,148,148,13.0096076,699.6015625,30
148.999,2.333333333,149,149,6.998018161,699.6015625,28
150,1.666666667,150,150,9.00712734,699.6015625,20
151,2.833333333,151,151,3.331339342,699.9895833,34
152.001,2.666666667,152,152,7.992601249,699.6015625,32
153.001,2.416666667,153,153,8.88456112,699.9895833,29
154,2.25,154,154,8.010196179,699.6015625,27
155,1.416666667,155,155,12.2143277,699.9895833,17
156.001,1.75,156,156,8.886737311,699.6015625,21
157,1.583333333,157,157,5.001700578,699.9895833,19
158.001,2.583333333,158,158,9.001192658,699.6015625,31
159,1.833333333,159,159,14.99943452,699.6015625,22
160,2.25,160,160,11.01197663,699.6015625,27
161,1.5,161,161,11.1073741,699.6015625,18
162.001,2.416666667,162,162,9.993934792,699.6015625,29
163,2.25,163,163,5.551886992,699.6015625,27
164.001,2.083333333,164,164,14.03912142,699.6015625,25
165.001,2.25,165,165,11.10318221,699.6015625,27
166,2,166,166,7.761417572,699.6015625,24
167.001,1.833333333,167,167,9.005405044,699.6015625,22
168,1.916666667,168,168,8.996909562,699.6015625,23
169.001,2.166666667,169,169,7.001664296,699.6015625,26
170.001,2,170,170,5.997586571,699.9895833,24
171,1.666666667,171,171,7.012154869,699.6015625,20
172.001,1.833333333,172,172,8.991065578,699.9895833,22
173,2.166666667,173,173,9.994587931,699.6015625,26
174,1.833333333,174,174,6.664917496,699.9895833,22
175,1.916666667,175,175,5.007451087,699.6015625,23
176.001,1.833333333,176,176,8.876993717,699.9895833,22
177.001,1.25,177,177,10.01008817,699.6015625,15
178.001,1.75,178,178,9.991912102,699.6015625,21
179.001,1.333333333,179,179,12.21557966,699.6015625,16
180.001,2.083333333,180,180,13.99620283,699.6015625,25
181.001,1.416666667,181,181,5.005511569,699.6015625,17
182,1.833333333,182,182,4.992949955,699.9895833,22
183,1.833333333,183,183,14.0333812,699.6015625,22
184.001,1.833333333,184,184,5.550311744,699.6015625,22
185.001,1.666666667,185,185,5.555145092,699.6015625,20
186.001,1.166666667,186,186,9.993759896,699.6015625,14
187,1.416666667,187,187,5.550255678,699.6015625,17
188,1.833333333,188,188,7.007460142,699.6015625,22
189,1.666666667,189,189,7.769098831,699.6015625,20
190,2,190,190,7.776992302,699.6015625,24
191.001,1.666666667,191,191,11.10977423,699.6015625,20
192,1.416666667,192,192,10.00797435,699.6015625,17
193,2.166666667,193,193,8.888784199,699.9895833,26
194.001,2,194,194,11.10181642,699.6015625,24
195,1.666666667,195,195,7.0049518,699.6015625,20
196.001,2.25,196,196,7.00653219,699.6015625,27
197,1.916666667,197,197,12.19420536,699.2135417,23
198,2.25,198,198,8.026457612,699.9895833,27
199,2.166666667,199,199,11.1021714,699.6015625,26
200.001,2.083333333,200,200,4.440802986,699.6015625,25
201.001,2.166666667,201,201,6.00451179,699.6015625,26
202,1.75,202,202,12.2069432,699.2135417,21
203.001,2.333333333,203,203,14.00200509,699.6015625,28
204,2.083333333,204,204,4.444188163,699.6015625,25
205,2.083333333,205,205,4.441681225,699.6015625,25
206,2.833333333,206,206,7.008802355,698.8255208,34
207.001,1.416666667,207,207,8.887829262,699.6015625,17
208.001,1.916666667,208,208,15.0148542,699.2135417,23
209.001,2.083333333,209,209,13.32223147,698.8255208,25
210,2,210,210,11.09830244,699.6015625,24
211,1.583333333,211,211,6.997036056,698.4375,19
212,2,212,212,3.332529083,698.4375,24
213.001,1.833333333,213,213,5.00553913,699.6015625,22
214.001,1.916666667,214,214,8.01082583,699.6015625,23
215,1.833333333,215,215,8.991157197,698.8255208,22
215.999,1.5,216,216,25.54482957,698.8255208,18
217.001,2.166666667,217,217,10.99826337,699.2135417,26
218,1.25,218,218,5.549267619,698.8255208,15
219.001,1.916666667,219,219,8.009031785,699.6015625,23
220,1.75,220,220,8.87966489,699.6015625,21
221,1.916666667,221,221,4.003023083,699.6015625,23
222,2.25,222,222,9.996929943,699.6015625,27
223,2.333333333,223,223,11.99930884,699.6015625,28
224.001,1.5,224,224,14.40865175,699.6015625,18
225,2.333333333,225,225,12.03264577,699.2135417,28
226.001,1.916666667,226,226,15.53129223,699.6015625,23
227.001,1.666666667,227,227,5.555245079,699.6015625,20
228.001,2.416666667,228,228,12.0002436,699.9895833,29
229,2.333333333,229,229,7.772086883,699.6015625,28
230.001,2.166666667,230,230,9.000119702,699.6015625,26
230.999,2.083333333,231,231,7.775357914,699.2135417,25
232.001,2.333333333,232,232,8.004048448,699.6015625,28
233,2.75,233,233,12.21905206,699.6015625,33
234.001,1.666666667,234,234,10.99606671,699.6015625,20
235,2.5,235,235,5.010699848,699.6015625,30
235.999,2.5,236,236,7.770849634,699.6015625,30
237,1.5,237,237,9.992434617,700.765625,18
238.001,1.583333333,238,238,10.99791589,699.6015625,19
239.001,2,239,239,8.992759929,699.2135417,24
240,1.666666667,240,240,15.02339894,699.6015625,20
241,2.083333333,241,241,12.21906427,699.6015625,25
241.999,1.833333333,242,242,8.88105777,698.4375,22
243.001,2.25,243,243,8.001944473,699.6015625,27
244,2.083333333,244,244,7.773330569,699.2135417,25
245.001,1.833333333,245,245,5.548276217,698.8255208,22
