Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
0,0,0,0,699.6015625,,0
1,0,1,1,699.6015625,1.056764418,0
1.999,0,2,2,698.8255208,10.00054703,0
3.001,0,3,3,698.4375,3.996701522,0
4.001,0,4,4,699.9895833,6.018660254,0
5,0,5,5,699.6015625,8.865921227,0
6,0,6,6,699.6015625,13.01749421,0
7.001,0,7,7,699.6015625,11.09639113,0
8,0,8,8,699.9895833,12.21788623,0
9,0,9,9,699.6015625,8.021511287,0
10,0,10,10,699.6015625,6.661268819,0
11,0,11,11,699.2135417,5.547447653,0
12.001,0,12,12,699.6015625,9.994978079,0
13.001,0,13,13,699.6015625,6.665079637,0
14,0,14,14,699.6015625,12.21098134,0
15.001,0,15,15,699.6015625,14.3971243,0
16.001,0,16,16,699.6015625,3.003953804,0
17.001,0.166666667,17,17,699.6015625,8.000589643,2
18.001,0.5,18,18,699.6015625,5.997594365,6
19,0.416666667,19,19,699.2135417,14.99893658,5
20,0.416666667,20,20,699.2135417,13.01141752,5
21,1.083333333,21,21,699.2135417,7.004407874,13
22,1.166666667,22,22,699.6015625,12.99797102,14
23,0.833333333,23,23,699.6015625,3.330865162,10
24,0.666666667,24,24,699.6015625,7.996522312,8
24.999,0.666666667,25,25,699.6015625,11.10351877,8
26,1.333333333,26,26,699.6015625,12.01718818,16
27.001,1,27,27,699.2135417,11.09120609,12
28,1.25,28,28,699.2135417,7.005316335,15
29,1.333333333,29,29,698.8255208,13.32976244,16
30.001,1.166666667,30,30,698.8255208,6.006413047,14
31,1.75,31,31,699.6015625,9.994738326,21
32,1.583333333,32,32,699.6015625,7.772807499,19
33.001,1.416666667,33,33,699.6015625,11.00165135,17
34.001,1.75,34,34,699.2135417,7.777582474,21
35,1.25,35,35,699.6015625,7.771143811,15
36,1.833333333,36,36,699.2135417,7.001935335,22
37,1.75,37,37,699.6015625,13.02884978,21
38.001,1.25,38,38,699.6015625,6.652696743,15
39.001,1.083333333,39,39,699.6015625,9.004431081,13
40.001,1.416666667,40,40,699.6015625,12.98203287,17
41,1.166666667,41,41,699.6015625,9.000070201,14
42.001,1.583333333,42,42,699.6015625,15.54541304,19
43,0.916666667,43,43,699.6015625,6.0077897,11
44.001,2,44,44,698.8255208,11.10599248,24
45,1.75,45,45,698.8255208,8.886021666,21
46.001,1.833333333,46,46,699.6015625,5.000487548,22
47.001,1.083333333,47,47,699.6015625,10.00658934,13
48,1.333333333,48,48,699.9895833,11.09445956,16
49.001,1.833333333,49,49,699.6015625,9.999096748,22
49.999,1.416666667,50,50,699.6015625,9.019633035,17
51.002,1.833333333,51,51,699.6015625,8.874158771,22
52,2.25,52,52,699.6015625,8.886188475,27
53,1.333333333,53,53,698.8255208,8.003686498,16
54.001,1.416666667,54,54,699.6015625,5.551965285,17
54.999,2,55,55,699.6015625,9.990891637,24
56.001,1.5,56,56,699.6015625,12.01445098,18
57.001,0.75,57,57,699.6015625,9.996879863,9
58,1.333333333,58,58,699.6015625,7.005099713,16
59.001,1.583333333,59,59,699.2135417,9.993878194,19
60,1.583333333,60,60,698.8255208,9.008308363,19
60.999,2.166666667,61,61,698.8255208,8.876794749,26
62.001,1.583333333,62,62,699.6015625,6.66514183,19
63.001,1.416666667,63,63,699.6015625,8.021914265,17
64,1.083333333,64,64,699.9895833,9.984124133,13
65,1.666666667,65,65,699.6015625,10.99718912,20
66,1.416666667,66,66,699.6015625,9.001128742,17
67,2,67,67,698.8255208,8.883343708,24
68,1.916666667,68,68,699.2135417,4.44209063,23
69.001,1.916666667,69,69,699.6015625,14.03006362,23
70.001,1.083333333,70,70,699.2135417,9.993424327,13
71,2.333333333,71,71,699.6015625,7.774455494,28
72.001,2.333333333,72,72,699.6015625,5.548779263,28
73.001,3.333333333,73,73,699.6015625,2.216651285,40
74.001,2.916666667,74,74,699.6015625,6.009572648,35
75,2.916666667,75,75,698.8255208,9.002110995,35
76.001,3.833333333,76,76,698.8255208,15.55533605,46
77.001,3.5,77,77,699.6015625,9.998414696,42
78,2.916666667,78,78,699.6015625,11.10119281,35
79.001,5.083333333,79,79,699.6015625,10.00698588,61
80,3.5,80,80,699.6015625,6.000996766,42
81,3.333333333,81,81,699.6015625,7.007858613,40
82,4.5,82,82,698.8255208,7.757575328,54
83,3.666666667,83,83,699.6015625,11.0147697,44
