Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
0,0,0,0,699.6015625,,0
1,0,1,1,699.6015625,7.409139343,0
2,0,2,2,699.6015625,14.01245848,0
3.001,0,3,3,699.6015625,17.99315181,0
4,0,4,4,699.6015625,10.00847418,0
5.001,0,5,5,699.6015625,12.00250372,0
6.001,0,6,6,698.8255208,11.10736053,0
7.001,0,7,7,699.6015625,13.32799177,0
8.001,0,8,8,698.4375,17.76548406,0
9,0,9,9,699.2135417,14.44356178,0
10,0,10,10,699.9895833,18.01675558,0
11.001,0,11,11,698.8255208,14.99497968,0
12.001,0,12,12,699.6015625,8.885266662,0
13,0,13,13,699.2135417,12.22032128,0
14.001,0,14,14,699.6015625,19.99624071,0
15.001,0,15,15,699.6015625,15.01279541,0
16.001,0.166666667,16,16,699.9895833,13.00312465,2
17,0.333333333,17,17,699.6015625,16.65425924,4
18,0.5,18,18,699.6015625,8.017374452,6
19.001,1.166666667,19,19,699.6015625,14.42985426,14
20,0.75,20,20,699.2135417,14.42875237,9
21.001,1.75,21,21,699.6015625,19.03281257,21
22,1.5,22,22,699.6015625,22.21293721,18
23.001,2.083333333,23,23,699.6015625,7.763617802,25
24.001,1.5,24,24,698.8255208,16.66085203,18
25,2.25,25,25,698.8255208,9.007789035,27
26,2.083333333,26,26,699.2135417,16.66176255,25
27.001,1.5,27,27,699.6015625,16.03574367,18
28,1,28,28,698.4375,17.76270119,12
29.001,1.75,29,29,698.4375,6.657529577,21
29.999,1.833333333,30,30,698.8255208,18.01339837,22
31,2.166666667,31,31,698.8255208,13.32536329,26
32.001,1.75,32,32,698.4375,14.00304566,21
33,2.333333333,33,33,699.6015625,16.0165499,28
34,3,34,34,699.6015625,12.20854594,36
35,1.333333333,35,35,698.4375,12.99693402,16
36.001,2.25,36,36,699.2135417,18.00850362,27
37,2.75,37,37,699.2135417,16.98744458,33
38,2.5,38,38,699.9895833,17.01263358,30
39,2,39,39,699.2135417,11.10130373,24
40,2.083333333,40,40,699.6015625,16.02542915,25
41.001,1.916666667,41,41,699.2135417,18.86819467,23
42.001,2.083333333,42,42,699.6015625,9.004337389,25
43,2.75,43,43,699.6015625,18.87837363,33
44.001,2.25,44,44,699.6015625,13.00816523,27
45.001,2.166666667,45,45,699.2135417,17.76295558,26
46.001,3,46,46,699.6015625,13.33264152,36
47,2.833333333,47,47,699.6015625,14.00839523,34
48,1.833333333,48,48,699.6015625,21.0875844,22
48.999,2.5,49,49,699.6015625,17.012511,30
50,2.333333333,50,50,699.6015625,15.00898438,28
51.001,2.583333333,51,51,699.2135417,13.99025858,31
52,2.166666667,52,52,699.6015625,12.99479429,26
53.001,2.583333333,53,53,699.2135417,11.0001716,31
54.001,2.25,54,54,699.6015625,13.02611737,27
55,2.333333333,55,55,699.6015625,13.30568855,28
56,2.416666667,56,56,698.8255208,19.98172782,29
57,1.5,57,57,699.6015625,8.001593117,18
58,1.916666667,58,58,698.8255208,23.995628,23
59.001,1.833333333,59,59,699.6015625,15.01542234,22
60,2,60,60,698.4375,19.99243286,24
61,1.5,61,61,699.2135417,15.99943362,18
62.001,2.25,62,62,698.8255208,14.00234539,27
63.001,2.916666667,63,63,698.4375,13.32785855,35
64.001,2.083333333,64,64,699.2135417,12.00894066,25
65,2,65,65,699.6015625,14.43852305,24
66,3,66,66,699.2135417,18.01363272,36
67,2.916666667,67,67,699.2135417,13.32083543,35
68,2.5,68,68,699.6015625,8.882249901,30
69,3,69,69,699.6015625,12.01124974,36
70.001,2.583333333,70,70,699.2135417,22.01116847,31
71,3,71,71,698.8255208,11.99343479,36
72.001,3.416666667,72,72,699.9895833,7.999664814,41
73,3.583333333,73,73,699.6015625,14.00474481,43
74.001,3.25,74,74,698.8255208,14.00733284,39
75,4.166666667,75,75,699.6015625,14.01169276,50
76,4.583333333,76,76,699.6015625,12.18636992,55
77,4.833333333,77,77,699.6015625,15.01352118,58
78,5.166666667,78,78,699.6015625,7.002548227,62
79.001,4.5,79,79,699.6015625,12.00908247,54
80,4.25,80,80,699.6015625,13.98367825,51
81,5,81,81,699.6015625,15.0048961,60
82.001,5,82,82,699.2135417,19.01530161,60
83,4.75,83,83,699.6015625,14.43265297,57
84,4.833333333,84,84,698.8255208,6.996050729,58
85,4.583333333,85,85,699.6015625,16.02302669,55
86,4.75,86,86,699.2135417,9.989851421,57
87,4.083333333,87,87,699.6015625,15.55443736,49
87.999,4.333333333,88,88,699.2135417,16.99818459,52
89,3.416666667,89,89,698.4375,18.01357142,41
90,4.333333333,90,90,699.2135417,12.21335397,52
91.001,2.333333333,91,91,698.8255208,18.87136578,28
92,4.416666667,92,92,699.2135417,16.02155219,53
92.999,4.25,93,93,698.8255208,17.0045181,51
94.001,3.166666667,94,94,699.6015625,16.63768567,38
95.001,3.5,95,95,699.6015625,10.99447308,42
96.001,3.333333333,96,96,699.2135417,12.2193181,40
97,4.25,97,97,699.6015625,21.01438645,51
98.001,3.083333333,98,98,699.6015625,15.01285701,37
99,3.166666667,99,99,699.6015625,13.99775196,38
100,3.416666667,100,100,699.6015625,7.771850447,41
101.001,2.916666667,101,101,700.3776042,9.994403134,35
102,2.333333333,102,102,699.6015625,10.99854049,28
103.002,2.916666667,103,103,699.9895833,19.04118227,35
104.001,2.083333333,104,104,699.6015625,11.09543449,25
105.001,3,105,105,699.6015625,9.997681649,36
106,2.166666667,106,106,698.8255208,15.99374485,26
107.001,3.583333333,107,107,698.8255208,20.04041952,43
108,3.416666667,108,108,698.4375,9.989662919,41
109.001,2.75,109,109,698.8255208,12.20606275,33
110.001,3,110,110,699.6015625,13.02173066,36
111.001,2,111,111,699.2135417,13.31731852,24
112.001,2.083333333,112,112,699.6015625,19.02083542,25
113.001,2.916666667,113,113,699.2135417,15.53005865,35
114,2.916666667,114,114,699.6015625,10.01981619,35
115,3.166666667,115,115,699.6015625,9.994087498,38
116,3.75,116,116,699.6015625,5.549141365,45
117,3.083333333,117,117,699.6015625,15.03887097,37
118.001,2.666666667,118,118,699.6015625,18.87134483,32
119,2.583333333,119,119,699.6015625,18.87168211,31
120.001,3,120,120,698.8255208,22.19908584,36
121,2.666666667,121,121,699.2135417,14.00923208,32
122.001,2.916666667,122,122,699.2135417,21.09371114,35
123,3.083333333,123,123,698.8255208,13.02031821,37
124.001,2.833333333,124,124,699.2135417,9.994186715,34
125,2.583333333,125,125,699.2135417,14.42185821,31
126,3.583333333,126,126,699.2135417,10.01184401,43
127.001,2.583333333,127,127,698.8255208,10.99508959,31
128,3.583333333,128,128,698.8255208,8.885542001,43
129.001,2.583333333,129,129,699.6015625,12.00786155,31
130,3.166666667,130,130,699.6015625,17.97171432,38
131.001,3.5,131,131,699.6015625,12.01078088,42
132,3.333333333,132,132,699.6015625,15.01487373,40
133,2.583333333,133,133,699.6015625,17.77611077,31
133.999,3.583333333,134,134,699.6015625,15.98920729,43
135,2.75,135,135,699.9895833,15.54377338,33
136.001,2.916666667,136,136,699.2135417,20.00872981,35
137.001,3,137,137,699.2135417,17.74370592,36
138,3.583333333,138,138,699.2135417,17.02265886,43
139,2.333333333,139,139,698.8255208,6.65321977,28
140,2.416666667,140,140,699.2135417,16.01185358,29
141,3.5,141,141,699.6015625,12.22076931,42
142,2.583333333,142,142,699.2135417,12.02491081,31
143.001,2.416666667,143,143,698.8255208,12.20129835,29
144.001,3.5,144,144,698.8255208,16.64775482,42
145,3.5,145,145,699.6015625,21.01907271,42
146.001,3.083333333,146,146,699.6015625,15.99940482,37
147.001,3.416666667,147,147,699.6015625,15.99701816,41
148.001,3.166666667,148,148,699.6015625,12.20417496,38
149,3.166666667,149,149,699.6015625,13.01335821,38
150.001,4.083333333,150,150,699.2135417,16.02101156,49
151,3.75,151,151,698.4375,14.43206013,45
152,3,152,152,699.2135417,14.98949686,36
153,3.583333333,153,153,698.4375,17.00788315,43
154,2.916666667,154,154,698.8255208,16.6599268,35
155.001,2.75,155,155,699.2135417,16.00495193,33
156.001,3.666666667,156,156,699.2135417,9.007549227,44
157.001,4.416666667,157,157,699.6015625,13.32905767,53
158.001,4.25,158,158,699.6015625,9.99194871,51
159.001,3.583333333,159,159,699.6015625,16.01503812,43
160.001,3.833333333,160,160,699.6015625,11.09992978,46
161.001,4.5,161,161,699.6015625,18.04826286,54
162.001,3.416666667,162,162,699.6015625,12.20044984,41
163,3.5,163,163,699.6015625,6.658864697,42
164,3,164,164,699.6015625,14.03194231,36
165,3.666666667,165,165,699.6015625,14.43238058,44
166.001,4.25,166,166,699.6015625,15.54141977,51
167.001,4.333333333,167,167,699.6015625,18.00482529,52
168,3.833333333,168,168,699.6015625,14.43555054,46
168.999,5.5,169,169,699.6015625,12.01098044,66
170.001,3.583333333,170,170,699.6015625,18.88773464,43
171.001,4.333333333,171,171,699.6015625,15.01005824,52
172,4.916666667,172,172,699.6015625,16.64145671,59
173,3.583333333,173,173,699.6015625,16.65302784,43
174,4.333333333,174,174,699.6015625,14.00449684,52
175.001,4.666666667,175,175,699.6015625,9.994988069,56
176.001,4.5,176,176,699.6015625,13.00526713,54
177,6.166666667,177,177,699.6015625,11.11057163,74
178.001,4.416666667,178,178,699.6015625,12.22167089,53
179,5.416666667,179,179,699.2135417,9.99600271,65
180.001,5,180,180,699.6015625,10.01058319,60
181,5.666666667,181,181,698.8255208,16.64744627,68
182.001,5.666666667,182,182,698.8255208,7.01007488,68
183.001,5.5,183,183,698.8255208,14.42145664,66
184.001,5.5,184,184,698.8255208,16.00969067,66
185.001,6.25,185,185,699.2135417,18.01446021,75
186.001,6.666666667,186,186,699.6015625,18.87813674,80
187,6.666666667,187,187,698.4375,13.31855861,80
188.001,5.916666667,188,188,699.2135417,11.00552367,71
189.001,7.333333333,189,189,698.8255208,7.772600362,88
190,7.083333333,190,190,698.4375,12.02400713,85
191.001,7.416666667,191,191,699.2135417,16.97396703,89
192,8.333333333,192,192,699.2135417,16.65647845,100
193.001,6.833333333,193,193,699.6015625,18.86772978,82
194,8.5,194,194,699.6015625,12.00359748,102
195.001,5.583333333,195,195,699.6015625,13.30343755,67
196.001,7.583333333,196,196,699.6015625,11.10916948,91
197.001,7.833333333,197,197,699.6015625,22.04241622,94
198.001,6.666666667,198,198,699.6015625,16.6559088,80
199,7,199,199,699.6015625,8.999640014,84
200,5.75,200,200,699.2135417,14.43201047,69
201.001,7.083333333,201,201,699.6015625,19.99537907,85
202,7.833333333,202,202,699.6015625,16.00843004,94
203,7,203,203,699.6015625,18.9813091,84
204.001,5.916666667,204,204,699.6015625,14.01835844,71
205,6.166666667,205,205,699.6015625,19.9953633,74
206,6.166666667,206,206,699.6015625,12.20626863,74
207,6.583333333,207,207,699.6015625,17.01434309,79
207.999,4.583333333,208,208,699.6015625,10.00366034,55
209,5.666666667,209,209,699.6015625,22.02527841,68
210.001,6,210,210,698.8255208,16.65031606,72
211,4.416666667,211,211,699.6015625,12.21592288,53
212.001,4.916666667,212,212,700.3776042,10.01154331,59
213,5.666666667,213,213,699.6015625,10.99897819,68
214.001,4.75,214,214,699.6015625,23.97590182,57
215,4.5,215,215,698.4375,6.999231484,54
216.001,4.5,216,216,699.6015625,9.995947643,54
217.001,3.5,217,217,698.8255208,13.01416853,42
218.001,4.25,218,218,698.4375,19.99832681,51
219.001,3.75,219,219,698.4375,14.01146558,45
220,3,220,220,698.4375,11.99434467,36
221,4.166666667,221,221,699.2135417,13.32529078,50
222.001,3.166666667,222,222,699.2135417,14.00070004,38
223,1.916666667,223,223,698.8255208,14.03206326,23
224.001,3.416666667,224,224,699.6015625,12.18898692,41
225,2.583333333,225,225,699.2135417,16.00794795,31
226,3.083333333,226,226,699.6015625,21.08225653,37
227,2.666666667,227,227,699.6015625,18.99178985,32
228,2,228,228,699.6015625,15.02860394,24
229.001,2.333333333,229,229,699.6015625,17.75229928,28
230,2.083333333,230,230,699.6015625,12.0102195,25
231.001,3,231,231,699.9895833,17.74829786,36
232.001,2.166666667,232,232,699.6015625,16.04147845,26
233,2.583333333,233,233,699.2135417,12.20707731,31
234.001,2.333333333,234,234,699.6015625,8.887664366,28
235.001,2.25,235,235,698.4375,15.54844301,27
236.001,2.583333333,236,236,699.2135417,19.00265467,31
237.001,2.166666667,237,237,698.4375,13.32441338,26
238,3.083333333,238,238,699.6015625,21.05004016,37
239.001,1.666666667,239,239,698.4375,12.18848585,20
240.001,2.333333333,240,240,699.2135417,11.99445976,28
241.001,1.75,241,241,698.8255208,14.02926224,21
242.001,1.916666667,242,242,699.6015625,14.43364327,23
243.001,1.833333333,243,243,698.4375,24.42834888,22
244.001,2.25,244,244,699.6015625,20.01425015,27
