Time t / s,Events N,Raw,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s
0,0,0,0,0,699.6015625,
1.001,0,0,1,1,698.8255208,16.90888647
2,0,0,2,2,699.2135417,15.01197355
3.001,0,0,3,3,699.6015625,12.01777429
4.001,0,0,4,4,699.6015625,13.31652935
5.001,0,0,5,5,699.6015625,11.0116834
6.001,0,0,6,6,699.6015625,13.30651922
7,0,0,7,7,699.6015625,18.02870711
8.001,0,0,8,8,699.6015625,19.96472234
9.001,0,0,9,9,699.2135417,21.10626371
10.001,0,0,10,10,699.2135417,9.008294838
11,0,0,11,11,699.6015625,11.11001245
12,0,0,12,12,698.4375,18.03315576
13,0.083333333,1,13,13,698.4375,14.42629616
14.001,0.083333333,1,14,14,699.2135417,9.003778886
15,0,0,15,15,699.2135417,14.43389808
16.001,0.083333333,1,16,16,699.9895833,17.76585294
17,0.25,3,17,17,699.6015625,10.99598207
18,0.666666667,8,18,18,699.6015625,13.01541806
19.001,0.833333333,10,19,19,699.6015625,12.21209704
20,1.833333333,22,20,20,699.2135417,12.21984343
21,0.833333333,10,21,21,699.2135417,9.998765708
22.001,1.333333333,16,22,22,699.6015625,15.54732929
23,1.666666667,20,23,23,699.2135417,17.76205244
24.001,1.583333333,19,24,24,699.2135417,12.01387122
25,1.75,21,25,25,699.6015625,7.767232465
26,1.583333333,19,26,26,698.4375,13.00597755
27.001,1.25,15,27,27,699.2135417,14.02456402
28.001,1.5,18,28,28,699.6015625,10.98787927
29.001,1.416666667,17,29,29,699.2135417,9.001383513
30.001,1.916666667,23,30,30,699.9895833,20.01050552
31.001,1.916666667,23,31,31,699.6015625,15.96645448
32,2.083333333,25,32,32,699.6015625,15.03116411
33.001,2.166666667,26,33,33,700.3776042,19.0094496
34.001,2.5,30,34,34,699.2135417,12.21988144
35.001,2.833333333,34,35,35,698.4375,13.30903695
36,2.416666667,29,36,36,699.2135417,18.88674419
37,1.5,18,37,37,699.2135417,15.01525249
38.001,1.916666667,23,38,38,699.2135417,14.43781428
39,2,24,39,39,699.6015625,15.54964496
40,1.666666667,20,40,40,699.6015625,15.54698053
41,2.416666667,29,41,41,700.3776042,18.0185519
41.999,2.25,27,42,42,699.6015625,18.85758321
43,2,24,43,43,699.6015625,9.993984732
44.001,1.833333333,22,44,44,699.6015625,9.002167722
45,2.833333333,34,45,45,699.6015625,7.776446277
46.001,2.416666667,29,46,46,698.8255208,15.55401052
47,2.416666667,29,47,47,699.2135417,12.0088998
48,2.833333333,34,48,48,699.6015625,8.881258901
49.001,2,24,49,49,699.6015625,16.03746994
50.001,2.25,27,50,50,698.4375,6.657794046
51.001,2.5,30,51,51,698.8255208,11.00991663
52.001,2.333333333,28,52,52,699.6015625,14.42685971
53.001,1.75,21,53,53,699.6015625,11.11066668
54.001,2,24,54,54,699.6015625,16.64450543
55.001,2,24,55,55,699.6015625,18.88470068
56.001,2.333333333,28,56,56,699.6015625,15.99928643
57.001,2.083333333,25,57,57,699.6015625,19.0359246
58.001,2,24,58,58,699.6015625,13.32976244
59.001,1.75,21,59,59,699.2135417,14.42455299
60,2.333333333,28,60,60,698.8255208,6.999790706
61.001,2,24,61,61,698.8255208,12.01258078
62.001,2.333333333,28,62,62,698.4375,9.999081196
63,3.583333333,43,63,63,699.6015625,12.02823749
64.001,1.5,18,64,64,699.2135417,17.74279293
65.001,2.333333333,28,65,65,698.8255208,18.02414154
66.001,2.583333333,31,66,66,699.2135417,11.08568793
67.001,2.666666667,32,67,67,699.6015625,12.99383443
68.001,2.083333333,25,68,68,699.6015625,13.98980423
69.001,2.416666667,29,69,69,699.2135417,9.022122244
70.001,2.916666667,35,70,70,699.6015625,12.198787
71.001,2.583333333,31,71,71,699.6015625,14.0220272
72.001,3.083333333,37,72,72,698.4375,15.54809247
73,3,36,73,73,698.4375,11.10965575
74.001,3.916666667,47,74,74,698.8255208,11.00664031
75.001,3.666666667,44,75,75,698.4375,11.10496513
76.001,4.583333333,55,76,76,699.2135417,13.9902432
77.001,3.583333333,43,77,77,699.6015625,12.00168984
78,3.916666667,47,78,78,699.6015625,15.01842009
79,5,60,79,79,699.6015625,15.01853437
80.001,5.5,66,80,80,699.6015625,8.883344695
81,4.75,57,81,81,699.6015625,19.96760589
82,4.25,51,82,82,699.2135417,15.98354813
83.001,5,60,83,83,699.2135417,15.00981492
84,5.583333333,67,84,84,699.2135417,16.64744996
85.001,4.583333333,55,85,85,698.8255208,8.016366213
