Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
0,0.333333333,0,0,699.6015625,,1
1.001,0,1,1,712.0182292,1479.517114,0
2.001,0,2,2,713.5703125,1566.091986,0
2.999,0.666666667,3,3,714.734375,1558.337773,2
4,0,4,4,713.5703125,1402.482905,0
5.001,0,5,5,726.7630208,1650.226365,0
6,0,6,6,712.7942708,1570.911128,0
7.001,0,7,7,719.7786458,1451.050479,0
7.999,1,8,8,718.6145833,1575.014333,3
9,0,9,9,720.5546875,1609.873714,0
10.001,0.666666667,10,10,716.2864583,1603.1583,2
11,0.333333333,11,11,719.0026042,1658.285449,1
12,0.333333333,12,12,717.0625,1600.6788,1
13,1,13,13,712.7942708,1448.894139,3
14,1.333333333,14,14,712.7942708,1600.781874,4
15,4.333333333,15,15,715.8984375,1633.85148,13
16,15.33333333,16,16,720.5546875,1379.911814,46
17,50.66666667,17,17,720.5546875,1593.148705,152
18,82.33333333,18,18,713.1822917,1327.465542,247
19,112.3333333,19,19,726.375,1577.542197,337
20,111.3333333,20,20,722.1067708,1617.419185,334
21.001,128.3333333,21,21,719.0026042,1671.364357,385
22,142.3333333,22,22,718.6145833,1358.283474,427
23,144.3333333,23,23,719.7786458,1593.781431,433
24,145,24,24,720.9427083,1586.918274,435
25,143.3333333,25,25,717.0625,1476.644881,430
26.001,143,26,26,717.8385417,1556.064551,429
27,174,27,27,719.390625,1556.91672,522
28,182,28,28,714.3463542,1519.985984,546
29.001,200.3333333,29,29,712.0182292,1377.356499,601
30,246.6666667,30,30,719.7786458,1461.308429,740
31,262,31,31,716.2864583,1642.501233,786
32,332,32,32,716.2864583,1557.717027,996
33,406.6666667,33,33,710.8541667,1390.810564,1220
34,486,34,34,712.7942708,1590.460117,1458
35,533.6666667,35,35,721.3307292,1479.128801,1601
36.001,549.6666667,36,36,725.2109375,1669.27602,1649
37.001,599,37,37,722.8828125,1555.21462,1797
38,593.3333333,38,38,716.2864583,1445.298452,1780
39,538.6666667,39,39,722.8828125,1500.585088,1616
40.001,483.6666667,40,40,720.5546875,1671.639034,1451
41,407.6666667,41,41,717.4505208,1650.246811,1223
42,332.6666667,42,42,719.7786458,1414.9619,998
43,289.6666667,43,43,725.9869792,1545.231229,869
44.001,269,44,44,711.2421875,1507.203472,807
45.001,237.3333333,45,45,721.3307292,1413.956542,712
46,225,46,46,715.1223958,1595.438202,675
47.001,214.6666667,47,47,717.4505208,1595.459613,644
48,210,48,48,711.2421875,1506.793176,630
49,211.3333333,49,49,716.2864583,1488.302294,634
50.001,201,50,50,715.8984375,1433.70687,603
51.001,187.6666667,51,51,719.390625,1662.304368,563
52,180,52,52,716.2864583,1631.623629,540
53.001,181,53,53,720.1666667,1592.008539,543
54.001,170.6666667,54,54,716.2864583,1590.874248,512
55.001,181.3333333,55,55,722.1067708,1210.605101,544
56,162.3333333,56,56,719.390625,1444.415125,487
57.001,156.6666667,57,57,722.8828125,1598.186189,470
58.001,173.6666667,58,58,716.2864583,1130.822013,521
59.001,161.3333333,59,59,714.734375,1575.153105,484
60.001,155,60,60,725.2109375,1638.524967,465
61.001,152.6666667,61,61,715.8984375,1696.774909,458
62,159.3333333,62,62,713.9583333,1557.448153,478
63.001,171.6666667,63,63,720.1666667,1635.526341,515
64.001,185.6666667,64,64,719.7786458,1684.130147,557
65.001,165.3333333,65,65,713.9583333,1624.713412,496
66.001,164,66,66,719.7786458,1578.708091,492
67.001,168.6666667,67,67,725.5989583,1485.247476,506
68.001,165.6666667,68,68,724.8229167,1561.695654,497
69,188.6666667,69,69,712.7942708,1471.138902,566
70,185.6666667,70,70,720.5546875,1668.388892,557
71.001,208.6666667,71,71,715.1223958,1507.241364,626
72.001,202.6666667,72,72,719.7786458,1535.405951,608
73.001,198.6666667,73,73,715.5104167,1592.271269,596
74.001,235,74,74,711.6302083,1475.245918,705
75,215.6666667,75,75,717.0625,1617.463637,647
76,239.3333333,76,76,716.2864583,1629.164527,718
77.001,254,77,77,718.6145833,1529.482695,762
78.001,258,78,78,715.5104167,1413.838406,774
79.001,261,79,79,711.6302083,1517.824894,783
80,294.6666667,80,80,719.7786458,1469.805453,884
