Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Dead time t / %,Raw
0,0,0,0,,720.9427083,,0
1.001,0.333333333,1,1,1680.322673,716.2864583,11.76225871,1
2.001,0,2,2,1722.920215,719.0026042,12.06044151,0
3,0,3,3,1928.738876,725.5989583,13.50117213,0
4.001,0.333333333,4,4,1874.976225,725.2109375,13.12483357,1
5,1.333333333,5,5,1940.076188,716.2864583,13.58053332,4
6,0.333333333,6,6,1830.394207,725.2109375,12.81275945,1
7,0,7,7,1933.54642,720.9427083,13.53482494,0
8,0,8,8,1885.271775,720.9427083,13.19690243,0
9,0.666666667,9,9,1883.713172,720.9427083,13.18599221,2
10,0.333333333,10,10,1936.21237,733.7473958,13.55348659,1
11,0.333333333,11,11,1564.499388,716.2864583,10.95149572,1
12,0.666666667,12,12,1633.992555,724.8229167,11.43794788,2
13,1,13,13,1886.232167,726.7630208,13.20362517,3
14,2,14,14,1710.927917,723.6588542,11.97649542,6
15.001,4.333333333,15,15,1968.987989,717.4505208,13.78291592,13
16,24,16,16,1745.05462,723.2708333,12.21538234,72
17,50.66666667,17,17,1817.61999,724.4348958,12.72333993,152
18.001,83,18,18,1961.02358,721.71875,13.72716506,249
19,117.6666667,19,19,1870.933757,714.3463542,13.0965363,353
20,129.6666667,20,20,1832.62953,725.9869792,12.82840671,389
21,140.3333333,21,21,1845.246032,729.4791667,12.91672223,421
22,156.6666667,22,22,1842.747293,716.2864583,12.89923105,470
22.999,171.6666667,23,23,1910.301096,724.046875,13.37210767,515
24,173.6666667,24,24,1806.612843,722.8828125,12.6462899,521
25,164.3333333,25,25,1969.354204,725.9869792,13.78547943,493
26,177,26,26,1650.881658,710.4661458,11.55617161,531
27,205.3333333,27,27,1836.187842,721.3307292,12.85331489,616
28,218,28,28,1718.582694,719.390625,12.03007886,654
29,239.6666667,29,29,1906.746948,722.8828125,13.34722864,719
30,293.3333333,30,30,1647.87921,724.046875,11.53515447,880
31.001,344,31,31,1948.760991,724.046875,13.64132694,1032
32,373,32,32,1825.336227,713.5703125,12.77735359,1119
33,502.3333333,33,33,1945.920947,721.3307292,13.62144663,1507
34,568,34,34,1953.764503,734.1354167,13.67635152,1704
35,636.3333333,35,35,1877.185231,725.2109375,13.14029662,1909
36,661.6666667,36,36,1902.113878,724.046875,13.31479715,1985
36.999,711.6666667,37,37,1865.514815,727.1510417,13.0586037,2135
38,688.3333333,38,38,1765.287424,724.046875,12.35701197,2065
38.999,632.3333333,39,39,1954.271597,718.2265625,13.67990118,1897
40,544.3333333,40,40,1300.947909,725.2109375,9.106635365,1633
41,470.3333333,41,41,1893.630183,720.1666667,13.25541128,1411
42.001,420.3333333,42,42,1865.194122,725.2109375,13.05635886,1261
43.001,351.6666667,43,43,1690.750942,724.046875,11.83525659,1055
44.001,318.6666667,44,44,1802.896431,720.9427083,12.62027502,956
45.001,274,45,45,1968.888451,717.0625,13.78221916,822
46,275.6666667,46,46,1947.607264,723.6588542,13.63325085,827
47.001,244,47,47,1913.671507,708.9140625,13.39570055,732
48,256.6666667,48,48,1825.202886,715.1223958,12.7764202,770
49,246.3333333,49,49,1721.309737,720.9427083,12.04916816,739
50.001,225.6666667,50,50,1849.800776,741.1197917,12.94860544,677
51,233.3333333,51,51,1773.820684,721.71875,12.41674479,700
52.001,210.6666667,52,52,1700.586537,729.0911458,11.90410576,632
52.999,213.3333333,53,53,1682.686762,710.8541667,11.77880733,640
54,204.3333333,54,54,1802.739283,724.046875,12.61917498,613
