Angle,K-N dcs,K-N DCS,DCS_fit(1 sigma),DCS_act(1 sigma),DCS_act(2 sigma),Energy
20,5.95E-30,1.48E-04,2.23E-04,2.24E-04,0.00022152,5.88E+02
30,4.82E-30,1.20E-04,2.02E-04,2.04E-04,0.000200114,5.45E+02
35,4.25E-30,1.06E-04,0.000176345,1.77E-04,0.000176014,5.21E+02
40,3.67E-30,9.15E-05,1.72E-04,1.75E-04,0.000168264,4.92E+02
45,3.20E-30,7.97E-05,0.000147565,1.47E-04,0.00014363,4.66E+02
50,2.69E-30,6.70E-05,1.31E-04,1.32E-04,0.00014385,4.35E+02
60,2.12E-30,5.27E-05,1.07E-04,1.08E-04,0.000104473,3.93E+02
70,1.68E-30,4.18E-05,1.05E-04,1.00E-04,0.000106512,3.56E+02
75,1.58E-30,3.94E-05,9.80E-05,9.89E-05,9.72E-05,3.36E+02
80,1.45E-30,3.62E-05,9.18E-05,9.21E-05,8.75E-05,3.17E+02
85,1.38E-30,3.43E-05,8.68E-05,8.86E-05,8.18E-05,3.04E+02
90,1.30E-30,3.23E-05,9.54E-05,9.58E-05,9.61E-05,2.91E+02
95,,,8.39E-05,8.55E-05,8.45E-05,2.75E+02
100,1.21E-30,3.02E-05,7.75E-05,7.97E-05,7.60E-05,2.61E+02
110,1.17E-30,2.93E-05,9.64E-05,9.83E-05,9.07E-05,2.41E+02
115,1.17E-30,2.92E-05,9.15E-05,9.25E-05,9.10E-05,2.34E+02
120,1.18E-30,2.95E-05,8.73E-05,8.68E-05,8.79E-05,2.26E+02
130,1.18E-30,2.95E-05,9.33E-05,9.51E-05,9.63E-05,2.15E+02
140,1.19E-30,2.97E-05,9.89E-05,1.02E-04,9.76E-05,2.05E+02
