theta,N_fit (range),N_fit(1 sigma),N_act(2 sigma),N_act(1 sigma),Energy,Energy error
20,2208,1479.24,2058.96,1490.04,5.88E+02,1.690434
30,2129.04,1340.52,1860,1356,5.45E+02,1.503378
35,0,1172.04,1636,1176,5.21E+02,1.725591
40,1701.96,1143.12,1563.96,1164,4.92E+02,1.867344
45,0,980.76,1335,978.96,4.66E+02,2.445631
50,1203,870.12,1337.04,879,4.35E+02,2.703204
60,1053,712.08,971.04,717,3.93E+02,2.470558
70,975.96,694.8,990,666.96,3.56E+02,2.606401
75,,651.48,903,657,3.36E+02,2.353271
80,901.44,610.08,813,612,3.17E+02,2.006823
85,,576.72,759.96,588.96,3.04E+02,1.429565
90,921,597.12,822.96,606,2.91E+02,1.497008
95,,557.52,785.04,567.96,2.75E+02,1.950586
100,795.96,515.16,705.96,530.04,2.61E+02,2.203005
110,990.84,640.44,843.24,653.4,2.41E+02,2.255651
115,,607.92,846,615,2.34E+02,1.572928
120,1005.96,580.44,816.96,576.96,2.26E+02,1.142489
130,819,620.16,894.96,631.92,2.15E+02,1.2267739
140,1131,657,906.96,678,2.05E+02,2.060022
